lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,468,53,58,[8; 9],14,1.257981,0.716981,3,[X3 >= 1.250000 OR X4 >= 211.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.4673913043478261; 'recall': 0.6466165413533834; 'f1-score': 0.5425867507886436; 'support': 133}; '1.0': {'precision': 0.8345070422535211; 'recall': 0.7074626865671642; 'f1-score': 0.765751211631664; 'support': 335}; 'accuracy': 0.6901709401709402; 'macro avg': {'precision': 0.6509491733006736; 'recall': 0.6770396139602738; 'f1-score': 0.6541689812101539; 'support': 468}; 'weighted avg': {'precision': 0.7301771423786121; 'recall': 0.6901709401709402; 'f1-score': 0.7023305422040536; 'support': 468}},{'0.0': {'precision': 0.5; 'recall': 0.6; 'f1-score': 0.5454545454545454; 'support': 15}; '1.0': {'precision': 0.8285714285714286; 'recall': 0.7631578947368421; 'f1-score': 0.7945205479452055; 'support': 38}; 'accuracy': 0.7169811320754716; 'macro avg': {'precision': 0.6642857142857144; 'recall': 0.6815789473684211; 'f1-score': 0.6699875466998755; 'support': 53}; 'weighted avg': {'precision': 0.7355795148247979; 'recall': 0.7169811320754716; 'f1-score': 0.7240301698818111; 'support': 53}}
5,1,CNF,1,469,52,29,[16; 17],14,0.518132,0.673077,3,[X1 OR X2 >= 1.650000 OR X5 >= 61.500000],{'0.0': {'precision': 0.4642857142857143; 'recall': 0.291044776119403; 'f1-score': 0.3577981651376147; 'support': 134}; '1.0': {'precision': 0.7532467532467533; 'recall': 0.8656716417910447; 'f1-score': 0.8055555555555556; 'support': 335}; 'accuracy': 0.7014925373134329; 'macro avg': {'precision': 0.6087662337662338; 'recall': 0.5783582089552238; 'f1-score': 0.5816768603465852; 'support': 469}; 'weighted avg': {'precision': 0.6706864564007421; 'recall': 0.7014925373134329; 'f1-score': 0.6776248725790011; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.21428571428571427; 'f1-score': 0.2608695652173913; 'support': 14}; '1.0': {'precision': 0.7441860465116279; 'recall': 0.8421052631578947; 'f1-score': 0.7901234567901234; 'support': 38}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.5387596899224806; 'recall': 0.5281954887218044; 'f1-score': 0.5254965110037574; 'support': 52}; 'weighted avg': {'precision': 0.633571854502087; 'recall': 0.6730769230769231; 'f1-score': 0.6476320244436186; 'support': 52}}
5,1,CNF,2,469,52,29,[16; 17],14,0.527152,0.711538,5,[(NOT X1) OR X2 >= 1.650000 OR X4 < 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.3333333333333333; 'recall': 0.09701492537313433; 'f1-score': 0.15028901734104047; 'support': 134}; '1.0': {'precision': 0.7186046511627907; 'recall': 0.9223880597014925; 'f1-score': 0.8078431372549019; 'support': 335}; 'accuracy': 0.6865671641791045; 'macro avg': {'precision': 0.525968992248062; 'recall': 0.5097014925373134; 'f1-score': 0.4790660772979712; 'support': 469}; 'weighted avg': {'precision': 0.6085271317829458; 'recall': 0.6865671641791045; 'f1-score': 0.6199705315652271; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.07142857142857142; 'f1-score': 0.11764705882352941; 'support': 14}; '1.0': {'precision': 0.7346938775510204; 'recall': 0.9473684210526315; 'f1-score': 0.8275862068965517; 'support': 38}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.5340136054421769; 'recall': 0.5093984962406015; 'f1-score': 0.4726166328600406; 'support': 52}; 'weighted avg': {'precision': 0.6266352694924124; 'recall': 0.7115384615384616; 'f1-score': 0.6364487439538149; 'support': 52}}
5,1,CNF,3,469,52,29,[16; 17],14,0.536355,0.692308,4,[(NOT X1) OR X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000],{'0.0': {'precision': 0.49122807017543857; 'recall': 0.42105263157894735; 'f1-score': 0.45344129554655865; 'support': 133}; '1.0': {'precision': 0.7830985915492957; 'recall': 0.8273809523809523; 'f1-score': 0.8046309696092617; 'support': 336}; 'accuracy': 0.7121535181236673; 'macro avg': {'precision': 0.6371633308623672; 'recall': 0.6242167919799498; 'f1-score': 0.6290361325779101; 'support': 469}; 'weighted avg': {'precision': 0.7003293392193959; 'recall': 0.7121535181236673; 'f1-score': 0.7050398680093908; 'support': 469}},{'0.0': {'precision': 0.4444444444444444; 'recall': 0.26666666666666666; 'f1-score': 0.33333333333333337; 'support': 15}; '1.0': {'precision': 0.7441860465116279; 'recall': 0.8648648648648649; 'f1-score': 0.8; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5943152454780362; 'recall': 0.5657657657657658; 'f1-score': 0.5666666666666667; 'support': 52}; 'weighted avg': {'precision': 0.6577221228384018; 'recall': 0.6923076923076923; 'f1-score': 0.6653846153846155; 'support': 52}}
5,1,CNF,4,469,52,29,[16; 17],14,0.562408,0.692308,3,[X3 >= 1.250000 OR X4 < 211.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.25609756097560976; 'recall': 0.15789473684210525; 'f1-score': 0.19534883720930232; 'support': 133}; '1.0': {'precision': 0.710594315245478; 'recall': 0.8184523809523809; 'f1-score': 0.7607192254495158; 'support': 336}; 'accuracy': 0.6311300639658849; 'macro avg': {'precision': 0.4833459381105439; 'recall': 0.4881735588972431; 'f1-score': 0.478034031329409; 'support': 469}; 'weighted avg': {'precision': 0.5817071759749184; 'recall': 0.6311300639658849; 'f1-score': 0.6003903093813956; 'support': 469}},{'0.0': {'precision': 0.4; 'recall': 0.13333333333333333; 'f1-score': 0.2; 'support': 15}; '1.0': {'precision': 0.723404255319149; 'recall': 0.918918918918919; 'f1-score': 0.8095238095238095; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5617021276595745; 'recall': 0.5261261261261262; 'f1-score': 0.5047619047619047; 'support': 52}; 'weighted avg': {'precision': 0.6301145662847791; 'recall': 0.6923076923076923; 'f1-score': 0.6336996336996337; 'support': 52}}
5,1,CNF,5,469,52,29,[16; 17],14,0.666520,0.730769,3,[X1 OR X2 >= 1.650000 OR X9 < 0.895000],{'0.0': {'precision': 0.45714285714285713; 'recall': 0.24060150375939848; 'f1-score': 0.31527093596059114; 'support': 133}; '1.0': {'precision': 0.7468671679197995; 'recall': 0.8869047619047619; 'f1-score': 0.8108843537414966; 'support': 336}; 'accuracy': 0.7036247334754797; 'macro avg': {'precision': 0.6020050125313283; 'recall': 0.5637531328320802; 'f1-score': 0.5630776448510438; 'support': 469}; 'weighted avg': {'precision': 0.6647065424755919; 'recall': 0.7036247334754797; 'f1-score': 0.6703372651170607; 'support': 469}},{'0.0': {'precision': 0.5714285714285714; 'recall': 0.26666666666666666; 'f1-score': 0.36363636363636365; 'support': 15}; '1.0': {'precision': 0.7555555555555555; 'recall': 0.918918918918919; 'f1-score': 0.8292682926829269; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.6634920634920635; 'recall': 0.5927927927927928; 'f1-score': 0.5964523281596452; 'support': 52}; 'weighted avg': {'precision': 0.7024420024420024; 'recall': 0.7307692307692307; 'f1-score': 0.6949513900733414; 'support': 52}}
5,1,CNF,6,469,52,29,[16; 17],14,0.545664,0.653846,5,[(NOT X1) OR X3 >= 1.250000 OR X4 < 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.36363636363636365; 'recall': 0.12030075187969924; 'f1-score': 0.18079096045197737; 'support': 133}; '1.0': {'precision': 0.7247058823529412; 'recall': 0.9166666666666666; 'f1-score': 0.80946123521682; 'support': 336}; 'accuracy': 0.6908315565031983; 'macro avg': {'precision': 0.5441711229946524; 'recall': 0.5184837092731829; 'f1-score': 0.4951260978343987; 'support': 469}; 'weighted avg': {'precision': 0.6223130337616729; 'recall': 0.6908315565031983; 'f1-score': 0.6311816050596258; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.6938775510204082; 'recall': 0.918918918918919; 'f1-score': 0.7906976744186046; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.3469387755102041; 'recall': 0.4594594594594595; 'f1-score': 0.3953488372093023; 'support': 52}; 'weighted avg': {'precision': 0.4937205651491366; 'recall': 0.6538461538461539; 'f1-score': 0.5626118067978533; 'support': 52}}
5,1,CNF,7,469,52,29,[16; 17],14,0.538213,0.634615,3,[(NOT X1) OR X2 < 1.650000 OR X4 >= 211.500000],{'0.0': {'precision': 0.1875; 'recall': 0.06766917293233082; 'f1-score': 0.09944751381215469; 'support': 133}; '1.0': {'precision': 0.7054631828978623; 'recall': 0.8839285714285714; 'f1-score': 0.784676354029062; 'support': 336}; 'accuracy': 0.652452025586354; 'macro avg': {'precision': 0.4464815914489311; 'recall': 0.47579887218045114; 'f1-score': 0.44206193392060833; 'support': 469}; 'weighted avg': {'precision': 0.5585781011805581; 'recall': 0.652452025586354; 'f1-score': 0.5903577276988942; 'support': 469}},{'0.0': {'precision': 0.16666666666666666; 'recall': 0.06666666666666667; 'f1-score': 0.09523809523809522; 'support': 15}; '1.0': {'precision': 0.6956521739130435; 'recall': 0.8648648648648649; 'f1-score': 0.7710843373493975; 'support': 37}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.43115942028985504; 'recall': 0.4657657657657658; 'f1-score': 0.4331612162937464; 'support': 52}; 'weighted avg': {'precision': 0.5430602006688964; 'recall': 0.6346153846153846; 'f1-score': 0.5761286905865218; 'support': 52}}
5,1,CNF,8,469,52,29,[16; 17],14,0.559705,0.711538,4,[(NOT X1) OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.4537037037037037; 'recall': 0.3684210526315789; 'f1-score': 0.4066390041493776; 'support': 133}; '1.0': {'precision': 0.7673130193905817; 'recall': 0.8244047619047619; 'f1-score': 0.7948350071736011; 'support': 336}; 'accuracy': 0.6950959488272921; 'macro avg': {'precision': 0.6105083615471427; 'recall': 0.5964129072681704; 'f1-score': 0.6007370056614894; 'support': 469}; 'weighted avg': {'precision': 0.6783790343450492; 'recall': 0.6950959488272921; 'f1-score': 0.6847495734801646; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.3333333333333333; 'f1-score': 0.4; 'support': 15}; '1.0': {'precision': 0.7619047619047619; 'recall': 0.8648648648648649; 'f1-score': 0.810126582278481; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6309523809523809; 'recall': 0.5990990990990991; 'f1-score': 0.6050632911392405; 'support': 52}; 'weighted avg': {'precision': 0.6863553113553114; 'recall': 0.7115384615384616; 'f1-score': 0.6918208373904577; 'support': 52}}
5,1,CNF,9,469,52,29,[16; 17],14,0.685883,0.730769,5,[X1 OR X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5178571428571429; 'recall': 0.21804511278195488; 'f1-score': 0.3068783068783069; 'support': 133}; '1.0': {'precision': 0.7481840193704601; 'recall': 0.9196428571428571; 'f1-score': 0.8251001335113485; 'support': 336}; 'accuracy': 0.720682302771855; 'macro avg': {'precision': 0.6330205811138014; 'recall': 0.568843984962406; 'f1-score': 0.5659892201948277; 'support': 469}; 'weighted avg': {'precision': 0.6828674424487731; 'recall': 0.720682302771855; 'f1-score': 0.6781417050631725; 'support': 469}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.13333333333333333; 'f1-score': 0.2222222222222222; 'support': 15}; '1.0': {'precision': 0.7346938775510204; 'recall': 0.972972972972973; 'f1-score': 0.8372093023255813; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.7006802721088435; 'recall': 0.5531531531531532; 'f1-score': 0.5297157622739017; 'support': 52}; 'weighted avg': {'precision': 0.7150706436420722; 'recall': 0.7307692307692307; 'f1-score': 0.659809183064997; 'support': 52}}
5,1,CNF,0,468,53,14,[33; 34],14,0.284665,0.716981,5,[(NOT X1) OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.45544554455445546; 'recall': 0.3458646616541353; 'f1-score': 0.3931623931623931; 'support': 133}; '1.0': {'precision': 0.7629427792915532; 'recall': 0.835820895522388; 'f1-score': 0.7977207977207978; 'support': 335}; 'accuracy': 0.6965811965811965; 'macro avg': {'precision': 0.6091941619230044; 'recall': 0.5908427785882617; 'f1-score': 0.5954415954415955; 'support': 468}; 'weighted avg': {'precision': 0.6755557446333609; 'recall': 0.6965811965811965; 'f1-score': 0.6827501400150973; 'support': 468}},{'0.0': {'precision': 0.5; 'recall': 0.26666666666666666; 'f1-score': 0.3478260869565218; 'support': 15}; '1.0': {'precision': 0.7555555555555555; 'recall': 0.8947368421052632; 'f1-score': 0.8192771084337349; 'support': 38}; 'accuracy': 0.7169811320754716; 'macro avg': {'precision': 0.6277777777777778; 'recall': 0.5807017543859649; 'f1-score': 0.5835515976951283; 'support': 53}; 'weighted avg': {'precision': 0.6832285115303983; 'recall': 0.7169811320754716; 'f1-score': 0.6858475740533916; 'support': 53}}
5,1,CNF,1,469,52,14,[33; 34],14,0.268791,0.673077,3,[X3 >= 1.250000 OR X5 >= 61.500000 OR X6 < 59.500000],{'0.0': {'precision': 0.38235294117647056; 'recall': 0.09701492537313433; 'f1-score': 0.15476190476190477; 'support': 134}; '1.0': {'precision': 0.7218390804597701; 'recall': 0.9373134328358209; 'f1-score': 0.8155844155844155; 'support': 335}; 'accuracy': 0.697228144989339; 'macro avg': {'precision': 0.5520960108181203; 'recall': 0.5171641791044777; 'f1-score': 0.48517316017316015; 'support': 469}; 'weighted avg': {'precision': 0.6248430406645417; 'recall': 0.697228144989339; 'f1-score': 0.626777983920841; 'support': 469}},{'0.0': {'precision': 0.2; 'recall': 0.07142857142857142; 'f1-score': 0.10526315789473682; 'support': 14}; '1.0': {'precision': 0.723404255319149; 'recall': 0.8947368421052632; 'f1-score': 0.8; 'support': 38}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.4617021276595745; 'recall': 0.4830827067669173; 'f1-score': 0.45263157894736844; 'support': 52}; 'weighted avg': {'precision': 0.5824877250409165; 'recall': 0.6730769230769231; 'f1-score': 0.6129554655870446; 'support': 52}}
