lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,468,53,58,[8; 9],14,1.227558,0.603774,3,[X2 >= 1.650000 OR X3 >= 1.250000 OR X9 < 0.895000],{'0.0': {'precision': 0.45145631067961167; 'recall': 0.6940298507462687; 'f1-score': 0.5470588235294118; 'support': 134}; '1.0': {'precision': 0.8435114503816794; 'recall': 0.6616766467065869; 'f1-score': 0.7416107382550337; 'support': 334}; 'accuracy': 0.6709401709401709; 'macro avg': {'precision': 0.6474838805306455; 'recall': 0.6778532487264277; 'f1-score': 0.6443347808922227; 'support': 468}; 'weighted avg': {'precision': 0.7312563462789505; 'recall': 0.6709401709401709; 'f1-score': 0.6859057028421419; 'support': 468}},{'0.0': {'precision': 0.38461538461538464; 'recall': 0.6666666666666666; 'f1-score': 0.4878048780487804; 'support': 15}; '1.0': {'precision': 0.8148148148148148; 'recall': 0.5789473684210527; 'f1-score': 0.6769230769230768; 'support': 38}; 'accuracy': 0.6037735849056604; 'macro avg': {'precision': 0.5997150997150997; 'recall': 0.6228070175438596; 'f1-score': 0.5823639774859286; 'support': 53}; 'weighted avg': {'precision': 0.6930602590979948; 'recall': 0.6037735849056604; 'f1-score': 0.6233990583737476; 'support': 53}}
5,1,CNF,1,469,52,29,[16; 17],14,0.594897,0.750000,4,[(NOT X1) OR X2 >= 1.650000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.456; 'recall': 0.4222222222222222; 'f1-score': 0.43846153846153846; 'support': 135}; '1.0': {'precision': 0.7732558139534884; 'recall': 0.7964071856287425; 'f1-score': 0.7846607669616519; 'support': 334}; 'accuracy': 0.6886993603411514; 'macro avg': {'precision': 0.6146279069767442; 'recall': 0.6093147039254824; 'f1-score': 0.6115611527115952; 'support': 469}; 'weighted avg': {'precision': 0.6819348440521644; 'recall': 0.6886993603411514; 'f1-score': 0.6850085370095936; 'support': 469}},{'0.0': {'precision': 0.5454545454545454; 'recall': 0.42857142857142855; 'f1-score': 0.4799999999999999; 'support': 14}; '1.0': {'precision': 0.8048780487804879; 'recall': 0.868421052631579; 'f1-score': 0.8354430379746836; 'support': 38}; 'accuracy': 0.75; 'macro avg': {'precision': 0.6751662971175166; 'recall': 0.6484962406015038; 'f1-score': 0.6577215189873418; 'support': 52}; 'weighted avg': {'precision': 0.7350332594235033; 'recall': 0.75; 'f1-score': 0.7397468354430379; 'support': 52}}
5,1,CNF,2,469,52,29,[16; 17],14,0.574572,0.673077,4,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 < 211.500000 OR X5 >= 61.500000],{'0.0': {'precision': 0.30666666666666664; 'recall': 0.17164179104477612; 'f1-score': 0.2200956937799043; 'support': 134}; '1.0': {'precision': 0.7182741116751269; 'recall': 0.844776119402985; 'f1-score': 0.776406035665295; 'support': 335}; 'accuracy': 0.652452025586354; 'macro avg': {'precision': 0.5124703891708968; 'recall': 0.5082089552238805; 'f1-score': 0.4982508647225996; 'support': 469}; 'weighted avg': {'precision': 0.6006719845298526; 'recall': 0.652452025586354; 'f1-score': 0.6174602236980404; 'support': 469}},{'0.0': {'precision': 0.375; 'recall': 0.2; 'f1-score': 0.26086956521739135; 'support': 15}; '1.0': {'precision': 0.7272727272727273; 'recall': 0.8648648648648649; 'f1-score': 0.7901234567901235; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.5511363636363636; 'recall': 0.5324324324324324; 'f1-score': 0.5254965110037575; 'support': 52}; 'weighted avg': {'precision': 0.6256555944055944; 'recall': 0.6730769230769231; 'f1-score': 0.6374540649902969; 'support': 52}}
5,1,CNF,3,469,52,29,[16; 17],14,0.605307,0.653846,4,[(NOT X1) OR X2 < 1.650000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.25; 'recall': 0.06716417910447761; 'f1-score': 0.10588235294117648; 'support': 134}; '1.0': {'precision': 0.7113163972286374; 'recall': 0.9194029850746268; 'f1-score': 0.8020833333333334; 'support': 335}; 'accuracy': 0.67590618336887; 'macro avg': {'precision': 0.4806581986143187; 'recall': 0.4932835820895522; 'f1-score': 0.4539828431372549; 'support': 469}; 'weighted avg': {'precision': 0.5795117123061696; 'recall': 0.67590618336887; 'f1-score': 0.6031687675070029; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.6938775510204082; 'recall': 0.918918918918919; 'f1-score': 0.7906976744186046; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.3469387755102041; 'recall': 0.4594594594594595; 'f1-score': 0.3953488372093023; 'support': 52}; 'weighted avg': {'precision': 0.4937205651491366; 'recall': 0.6538461538461539; 'f1-score': 0.5626118067978533; 'support': 52}}
5,1,CNF,4,469,52,29,[16; 17],14,0.623988,0.615385,3,[X3 >= 1.250000 OR X5 >= 61.500000 OR X9 >= 0.895000],{'0.0': {'precision': 0.36470588235294116; 'recall': 0.23134328358208955; 'f1-score': 0.28310502283105027; 'support': 134}; '1.0': {'precision': 0.7317708333333334; 'recall': 0.8388059701492537; 'f1-score': 0.7816411682892906; 'support': 335}; 'accuracy': 0.6652452025586354; 'macro avg': {'precision': 0.5482383578431372; 'recall': 0.5350746268656716; 'f1-score': 0.5323730955601704; 'support': 469}; 'weighted avg': {'precision': 0.6268951330532213; 'recall': 0.6652452025586354; 'f1-score': 0.6392022695869363; 'support': 469}},{'0.0': {'precision': 0.14285714285714285; 'recall': 0.06666666666666667; 'f1-score': 0.09090909090909091; 'support': 15}; '1.0': {'precision': 0.6888888888888889; 'recall': 0.8378378378378378; 'f1-score': 0.7560975609756098; 'support': 37}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.41587301587301584; 'recall': 0.45225225225225224; 'f1-score': 0.42350332594235035; 'support': 52}; 'weighted avg': {'precision': 0.5313797313797314; 'recall': 0.6153846153846154; 'f1-score': 0.5642162715333447; 'support': 52}}
5,1,CNF,5,469,52,29,[16; 17],14,0.637498,0.730769,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5182481751824818; 'recall': 0.5298507462686567; 'f1-score': 0.5239852398523985; 'support': 134}; '1.0': {'precision': 0.8102409638554217; 'recall': 0.8029850746268656; 'f1-score': 0.8065967016491754; 'support': 335}; 'accuracy': 0.7249466950959488; 'macro avg': {'precision': 0.6642445695189517; 'recall': 0.6664179104477612; 'f1-score': 0.665290970750787; 'support': 469}; 'weighted avg': {'precision': 0.7268144528060102; 'recall': 0.7249466950959488; 'f1-score': 0.7258505697072392; 'support': 469}},{'0.0': {'precision': 0.5454545454545454; 'recall': 0.4; 'f1-score': 0.4615384615384615; 'support': 15}; '1.0': {'precision': 0.7804878048780488; 'recall': 0.8648648648648649; 'f1-score': 0.8205128205128206; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.6629711751662971; 'recall': 0.6324324324324324; 'f1-score': 0.6410256410256411; 'support': 52}; 'weighted avg': {'precision': 0.7126897492751152; 'recall': 0.7307692307692307; 'f1-score': 0.7169625246548323; 'support': 52}}
5,1,CNF,6,469,52,29,[16; 17],14,0.585481,0.596154,2,[X4 >= 211.500000 OR X6 < 59.500000],{'0.0': {'precision': 0.2558139534883721; 'recall': 0.08208955223880597; 'f1-score': 0.12429378531073446; 'support': 134}; '1.0': {'precision': 0.7112676056338029; 'recall': 0.9044776119402985; 'f1-score': 0.7963206307490145; 'support': 335}; 'accuracy': 0.6695095948827292; 'macro avg': {'precision': 0.4835407795610875; 'recall': 0.49328358208955225; 'f1-score': 0.46030720802987446; 'support': 469}; 'weighted avg': {'precision': 0.5811379907351084; 'recall': 0.6695095948827292; 'f1-score': 0.6043129606237916; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.6739130434782609; 'recall': 0.8378378378378378; 'f1-score': 0.746987951807229; 'support': 37}; 'accuracy': 0.5961538461538461; 'macro avg': {'precision': 0.33695652173913043; 'recall': 0.4189189189189189; 'f1-score': 0.3734939759036145; 'support': 52}; 'weighted avg': {'precision': 0.47951505016722407; 'recall': 0.5961538461538461; 'f1-score': 0.5315106580166822; 'support': 52}}
5,1,CNF,7,469,52,29,[16; 17],14,0.549824,0.615385,4,[(NOT X1) OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000],{'0.0': {'precision': 0.4714285714285714; 'recall': 0.4925373134328358; 'f1-score': 0.4817518248175182; 'support': 134}; '1.0': {'precision': 0.7933130699088146; 'recall': 0.7791044776119403; 'f1-score': 0.786144578313253; 'support': 335}; 'accuracy': 0.697228144989339; 'macro avg': {'precision': 0.632370820668693; 'recall': 0.6358208955223881; 'f1-score': 0.6339482015653857; 'support': 469}; 'weighted avg': {'precision': 0.7013460703430309; 'recall': 0.697228144989339; 'f1-score': 0.6991752201716145; 'support': 469}},{'0.0': {'precision': 0.35294117647058826; 'recall': 0.4; 'f1-score': 0.37500000000000006; 'support': 15}; '1.0': {'precision': 0.7428571428571429; 'recall': 0.7027027027027027; 'f1-score': 0.7222222222222223; 'support': 37}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.5478991596638656; 'recall': 0.5513513513513514; 'f1-score': 0.5486111111111112; 'support': 52}; 'weighted avg': {'precision': 0.6303813833225599; 'recall': 0.6153846153846154; 'f1-score': 0.6220619658119659; 'support': 52}}
5,1,CNF,8,469,52,29,[16; 17],14,0.558737,0.615385,2,[X4 < 211.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.27102803738317754; 'recall': 0.21641791044776118; 'f1-score': 0.24066390041493774; 'support': 134}; '1.0': {'precision': 0.7099447513812155; 'recall': 0.7671641791044777; 'f1-score': 0.7374461979913917; 'support': 335}; 'accuracy': 0.6098081023454158; 'macro avg': {'precision': 0.49048639438219654; 'recall': 0.4917910447761194; 'f1-score': 0.48905504920316467; 'support': 469}; 'weighted avg': {'precision': 0.5845399759532046; 'recall': 0.6098081023454158; 'f1-score': 0.5955083986838334; 'support': 469}},{'0.0': {'precision': 0.2222222222222222; 'recall': 0.13333333333333333; 'f1-score': 0.16666666666666669; 'support': 15}; '1.0': {'precision': 0.6976744186046512; 'recall': 0.8108108108108109; 'f1-score': 0.75; 'support': 37}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.4599483204134367; 'recall': 0.4720720720720721; 'f1-score': 0.45833333333333337; 'support': 52}; 'weighted avg': {'precision': 0.5605247465712582; 'recall': 0.6153846153846154; 'f1-score': 0.5817307692307693; 'support': 52}}
5,1,CNF,9,469,52,29,[16; 17],14,0.568778,0.692308,4,[(NOT X1) OR X3 >= 1.250000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.4217687074829932; 'recall': 0.4626865671641791; 'f1-score': 0.44128113879003555; 'support': 134}; '1.0': {'precision': 0.7763975155279503; 'recall': 0.746268656716418; 'f1-score': 0.7610350076103501; 'support': 335}; 'accuracy': 0.6652452025586354; 'macro avg': {'precision': 0.5990831115054718; 'recall': 0.6044776119402986; 'f1-score': 0.6011580732001929; 'support': 469}; 'weighted avg': {'precision': 0.6750749989436768; 'recall': 0.6652452025586354; 'f1-score': 0.6696767593759746; 'support': 469}},{'0.0': {'precision': 0.45454545454545453; 'recall': 0.3333333333333333; 'f1-score': 0.3846153846153846; 'support': 15}; '1.0': {'precision': 0.7560975609756098; 'recall': 0.8378378378378378; 'f1-score': 0.7948717948717948; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.6053215077605322; 'recall': 0.5855855855855856; 'f1-score': 0.5897435897435896; 'support': 52}; 'weighted avg': {'precision': 0.6691113764284496; 'recall': 0.6923076923076923; 'f1-score': 0.6765285996055226; 'support': 52}}
5,1,CNF,0,468,53,14,[33; 34],14,0.281227,0.660377,4,[X1 OR X2 >= 1.650000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5; 'recall': 0.21641791044776118; 'f1-score': 0.3020833333333333; 'support': 134}; '1.0': {'precision': 0.7439024390243902; 'recall': 0.9131736526946108; 'f1-score': 0.8198924731182795; 'support': 334}; 'accuracy': 0.7136752136752137; 'macro avg': {'precision': 0.6219512195121951; 'recall': 0.564795781571186; 'f1-score': 0.5609879032258064; 'support': 468}; 'weighted avg': {'precision': 0.6740671252866376; 'recall': 0.7136752136752137; 'f1-score': 0.6716308818123334; 'support': 468}},{'0.0': {'precision': 0.2; 'recall': 0.06666666666666667; 'f1-score': 0.1; 'support': 15}; '1.0': {'precision': 0.7083333333333334; 'recall': 0.8947368421052632; 'f1-score': 0.7906976744186046; 'support': 38}; 'accuracy': 0.660377358490566; 'macro avg': {'precision': 0.4541666666666667; 'recall': 0.4807017543859649; 'f1-score': 0.4453488372093023; 'support': 53}; 'weighted avg': {'precision': 0.5644654088050315; 'recall': 0.660377358490566; 'f1-score': 0.5952172005265467; 'support': 53}}
5,1,CNF,1,469,52,14,[33; 34],14,0.270250,0.692308,4,[X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5362318840579711; 'recall': 0.5481481481481482; 'f1-score': 0.5421245421245422; 'support': 135}; '1.0': {'precision': 0.8157099697885196; 'recall': 0.8083832335329342; 'f1-score': 0.81203007518797; 'support': 334}; 'accuracy': 0.7334754797441365; 'macro avg': {'precision': 0.6759709269232453; 'recall': 0.6782656908405411; 'f1-score': 0.677077308656256; 'support': 469}; 'weighted avg': {'precision': 0.7352631860494493; 'recall': 0.7334754797441365; 'f1-score': 0.7343387170567061; 'support': 469}},{'0.0': {'precision': 0.4444444444444444; 'recall': 0.5714285714285714; 'f1-score': 0.5; 'support': 14}; '1.0': {'precision': 0.8235294117647058; 'recall': 0.7368421052631579; 'f1-score': 0.7777777777777778; 'support': 38}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.6339869281045751; 'recall': 0.6541353383458646; 'f1-score': 0.6388888888888888; 'support': 52}; 'weighted avg': {'precision': 0.7214680744092508; 'recall': 0.6923076923076923; 'f1-score': 0.702991452991453; 'support': 52}}
