lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,468,53,58,[8; 9],14,1.046943,0.773585,3,[X2 >= 1.650000 OR X4 >= 211.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.4900662251655629; 'recall': 0.5522388059701493; 'f1-score': 0.519298245614035; 'support': 134}; '1.0': {'precision': 0.8107255520504731; 'recall': 0.7694610778443114; 'f1-score': 0.7895545314900153; 'support': 334}; 'accuracy': 0.7072649572649573; 'macro avg': {'precision': 0.650395888608018; 'recall': 0.6608499419072303; 'f1-score': 0.6544263885520252; 'support': 468}; 'weighted avg': {'precision': 0.7189128387971014; 'recall': 0.7072649572649573; 'f1-score': 0.7121734581836449; 'support': 468}},{'0.0': {'precision': 0.6153846153846154; 'recall': 0.5333333333333333; 'f1-score': 0.5714285714285715; 'support': 15}; '1.0': {'precision': 0.825; 'recall': 0.868421052631579; 'f1-score': 0.8461538461538461; 'support': 38}; 'accuracy': 0.7735849056603774; 'macro avg': {'precision': 0.7201923076923077; 'recall': 0.7008771929824562; 'f1-score': 0.7087912087912088; 'support': 53}; 'weighted avg': {'precision': 0.7656748911465892; 'recall': 0.7735849056603774; 'f1-score': 0.7684014099108439; 'support': 53}}
5,1,CNF,1,469,52,29,[16; 17],14,0.566420,0.673077,5,[(NOT X1) OR X2 >= 1.650000 OR X4 < 211.500000 OR X5 >= 61.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.33962264150943394; 'recall': 0.13333333333333333; 'f1-score': 0.19148936170212763; 'support': 135}; '1.0': {'precision': 0.71875; 'recall': 0.8952095808383234; 'f1-score': 0.7973333333333333; 'support': 334}; 'accuracy': 0.67590618336887; 'macro avg': {'precision': 0.5291863207547169; 'recall': 0.5142714570858283; 'f1-score': 0.49441134751773047; 'support': 469}; 'weighted avg': {'precision': 0.6096195236754234; 'recall': 0.67590618336887; 'f1-score': 0.622943277533306; 'support': 469}},{'0.0': {'precision': 0.2857142857142857; 'recall': 0.14285714285714285; 'f1-score': 0.19047619047619047; 'support': 14}; '1.0': {'precision': 0.7333333333333333; 'recall': 0.868421052631579; 'f1-score': 0.7951807228915663; 'support': 38}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.5095238095238095; 'recall': 0.5056390977443609; 'f1-score': 0.49282845668387837; 'support': 52}; 'weighted avg': {'precision': 0.6128205128205128; 'recall': 0.6730769230769231; 'f1-score': 0.632375656472042; 'support': 52}}
5,1,CNF,2,469,52,29,[16; 17],14,0.574362,0.692308,4,[X2 >= 1.650000 OR X3 >= 1.250000 OR X5 >= 61.500000 OR X6 < 59.500000],{'0.0': {'precision': 0.375; 'recall': 0.06716417910447761; 'f1-score': 0.1139240506329114; 'support': 134}; '1.0': {'precision': 0.7191011235955056; 'recall': 0.9552238805970149; 'f1-score': 0.8205128205128204; 'support': 335}; 'accuracy': 0.7014925373134329; 'macro avg': {'precision': 0.5470505617977528; 'recall': 0.5111940298507462; 'f1-score': 0.4672184355728659; 'support': 469}; 'weighted avg': {'precision': 0.6207865168539326; 'recall': 0.7014925373134329; 'f1-score': 0.6186303148328464; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7058823529411765; 'recall': 0.972972972972973; 'f1-score': 0.8181818181818183; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.35294117647058826; 'recall': 0.4864864864864865; 'f1-score': 0.40909090909090917; 'support': 52}; 'weighted avg': {'precision': 0.5022624434389141; 'recall': 0.6923076923076923; 'f1-score': 0.5821678321678323; 'support': 52}}
5,1,CNF,3,469,52,29,[16; 17],14,0.673820,0.615385,3,[X3 >= 1.250000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.45023696682464454; 'recall': 0.7089552238805971; 'f1-score': 0.5507246376811594; 'support': 134}; '1.0': {'precision': 0.8488372093023255; 'recall': 0.6537313432835821; 'f1-score': 0.7386172006745363; 'support': 335}; 'accuracy': 0.6695095948827292; 'macro avg': {'precision': 0.649537088063485; 'recall': 0.6813432835820896; 'f1-score': 0.6446709191778479; 'support': 469}; 'weighted avg': {'precision': 0.7349514257372738; 'recall': 0.6695095948827292; 'f1-score': 0.6849336112478571; 'support': 469}},{'0.0': {'precision': 0.391304347826087; 'recall': 0.6; 'f1-score': 0.47368421052631576; 'support': 15}; '1.0': {'precision': 0.7931034482758621; 'recall': 0.6216216216216216; 'f1-score': 0.696969696969697; 'support': 37}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.5922038980509745; 'recall': 0.6108108108108108; 'f1-score': 0.5853269537480064; 'support': 52}; 'weighted avg': {'precision': 0.6771998616076578; 'recall': 0.6153846153846154; 'f1-score': 0.6325604220341062; 'support': 52}}
5,1,CNF,4,469,52,29,[16; 17],14,0.557316,0.711538,4,[X1 OR X3 >= 1.250000 OR X5 >= 61.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.4642857142857143; 'recall': 0.291044776119403; 'f1-score': 0.3577981651376147; 'support': 134}; '1.0': {'precision': 0.7532467532467533; 'recall': 0.8656716417910447; 'f1-score': 0.8055555555555556; 'support': 335}; 'accuracy': 0.7014925373134329; 'macro avg': {'precision': 0.6087662337662338; 'recall': 0.5783582089552238; 'f1-score': 0.5816768603465852; 'support': 469}; 'weighted avg': {'precision': 0.6706864564007421; 'recall': 0.7014925373134329; 'f1-score': 0.6776248725790011; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.3333333333333333; 'f1-score': 0.4; 'support': 15}; '1.0': {'precision': 0.7619047619047619; 'recall': 0.8648648648648649; 'f1-score': 0.810126582278481; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6309523809523809; 'recall': 0.5990990990990991; 'f1-score': 0.6050632911392405; 'support': 52}; 'weighted avg': {'precision': 0.6863553113553114; 'recall': 0.7115384615384616; 'f1-score': 0.6918208373904577; 'support': 52}}
5,1,CNF,5,469,52,29,[16; 17],14,0.580535,0.596154,4,[X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5434782608695652; 'recall': 0.5597014925373134; 'f1-score': 0.551470588235294; 'support': 134}; '1.0': {'precision': 0.8217522658610272; 'recall': 0.8119402985074626; 'f1-score': 0.8168168168168168; 'support': 335}; 'accuracy': 0.7398720682302772; 'macro avg': {'precision': 0.6826152633652962; 'recall': 0.685820895522388; 'f1-score': 0.6841437025260555; 'support': 469}; 'weighted avg': {'precision': 0.7422454072920381; 'recall': 0.7398720682302772; 'f1-score': 0.7410036086506674; 'support': 469}},{'0.0': {'precision': 0.3125; 'recall': 0.3333333333333333; 'f1-score': 0.3225806451612903; 'support': 15}; '1.0': {'precision': 0.7222222222222222; 'recall': 0.7027027027027027; 'f1-score': 0.7123287671232876; 'support': 37}; 'accuracy': 0.5961538461538461; 'macro avg': {'precision': 0.5173611111111112; 'recall': 0.5180180180180181; 'f1-score': 0.517454706142289; 'support': 52}; 'weighted avg': {'precision': 0.6040331196581197; 'recall': 0.5961538461538461; 'f1-score': 0.5999014242496346; 'support': 52}}
5,1,CNF,6,469,52,29,[16; 17],14,0.615521,0.634615,4,[(NOT X1) OR X5 >= 61.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.4028776978417266; 'recall': 0.417910447761194; 'f1-score': 0.41025641025641024; 'support': 134}; '1.0': {'precision': 0.7636363636363637; 'recall': 0.7522388059701492; 'f1-score': 0.7578947368421053; 'support': 335}; 'accuracy': 0.6567164179104478; 'macro avg': {'precision': 0.5832570307390451; 'recall': 0.5850746268656717; 'f1-score': 0.5840755735492578; 'support': 469}; 'weighted avg': {'precision': 0.6605624591236102; 'recall': 0.6567164179104478; 'f1-score': 0.6585695006747637; 'support': 469}},{'0.0': {'precision': 0.35714285714285715; 'recall': 0.3333333333333333; 'f1-score': 0.3448275862068965; 'support': 15}; '1.0': {'precision': 0.7368421052631579; 'recall': 0.7567567567567568; 'f1-score': 0.7466666666666667; 'support': 37}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.5469924812030075; 'recall': 0.545045045045045; 'f1-score': 0.5457471264367816; 'support': 52}; 'weighted avg': {'precision': 0.6273134759976865; 'recall': 0.6346153846153846; 'f1-score': 0.6307515473032714; 'support': 52}}
5,1,CNF,7,469,52,29,[16; 17],14,0.697571,0.750000,4,[X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5144927536231884; 'recall': 0.5298507462686567; 'f1-score': 0.5220588235294117; 'support': 134}; '1.0': {'precision': 0.8096676737160121; 'recall': 0.8; 'f1-score': 0.8048048048048048; 'support': 335}; 'accuracy': 0.7228144989339019; 'macro avg': {'precision': 0.6620802136696002; 'recall': 0.6649253731343283; 'f1-score': 0.6634318141671083; 'support': 469}; 'weighted avg': {'precision': 0.7253319822609197; 'recall': 0.7228144989339019; 'f1-score': 0.7240202387261211; 'support': 469}},{'0.0': {'precision': 0.5625; 'recall': 0.6; 'f1-score': 0.5806451612903225; 'support': 15}; '1.0': {'precision': 0.8333333333333334; 'recall': 0.8108108108108109; 'f1-score': 0.8219178082191781; 'support': 37}; 'accuracy': 0.75; 'macro avg': {'precision': 0.6979166666666667; 'recall': 0.7054054054054054; 'f1-score': 0.7012814847547504; 'support': 52}; 'weighted avg': {'precision': 0.7552083333333334; 'recall': 0.75; 'f1-score': 0.7523199292973929; 'support': 52}}
5,1,CNF,8,469,52,29,[16; 17],14,0.568392,0.711538,4,[X1 OR X3 >= 1.250000 OR X4 < 211.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.3333333333333333; 'recall': 0.05223880597014925; 'f1-score': 0.09032258064516129; 'support': 134}; '1.0': {'precision': 0.7165178571428571; 'recall': 0.9582089552238806; 'f1-score': 0.8199233716475096; 'support': 335}; 'accuracy': 0.6993603411513859; 'macro avg': {'precision': 0.5249255952380952; 'recall': 0.505223880597015; 'f1-score': 0.45512297614633546; 'support': 469}; 'weighted avg': {'precision': 0.6070365646258503; 'recall': 0.6993603411513859; 'f1-score': 0.6114660027896959; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.06666666666666667; 'f1-score': 0.11764705882352941; 'support': 15}; '1.0': {'precision': 0.72; 'recall': 0.972972972972973; 'f1-score': 0.8275862068965518; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.61; 'recall': 0.5198198198198198; 'f1-score': 0.47261663286004063; 'support': 52}; 'weighted avg': {'precision': 0.6565384615384615; 'recall': 0.7115384615384616; 'f1-score': 0.6227960680293337; 'support': 52}}
5,1,CNF,9,469,52,29,[16; 17],14,0.583737,0.730769,6,[(NOT X1) OR X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5057471264367817; 'recall': 0.3283582089552239; 'f1-score': 0.3981900452488688; 'support': 134}; '1.0': {'precision': 0.7643979057591623; 'recall': 0.8716417910447761; 'f1-score': 0.8145048814504882; 'support': 335}; 'accuracy': 0.7164179104477612; 'macro avg': {'precision': 0.635072516097972; 'recall': 0.6; 'f1-score': 0.6063474633496785; 'support': 469}; 'weighted avg': {'precision': 0.690497683095625; 'recall': 0.7164179104477612; 'f1-score': 0.6955577853928825; 'support': 469}},{'0.0': {'precision': 0.5555555555555556; 'recall': 0.3333333333333333; 'f1-score': 0.4166666666666667; 'support': 15}; '1.0': {'precision': 0.7674418604651163; 'recall': 0.8918918918918919; 'f1-score': 0.825; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.661498708010336; 'recall': 0.6126126126126126; 'f1-score': 0.6208333333333333; 'support': 52}; 'weighted avg': {'precision': 0.7063208109719739; 'recall': 0.7307692307692307; 'f1-score': 0.7072115384615384; 'support': 52}}
5,1,CNF,0,468,53,14,[33; 34],14,0.308780,0.698113,3,[X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000],{'0.0': {'precision': 0.46464646464646464; 'recall': 0.6865671641791045; 'f1-score': 0.5542168674698794; 'support': 134}; '1.0': {'precision': 0.8444444444444444; 'recall': 0.6826347305389222; 'f1-score': 0.7549668874172186; 'support': 334}; 'accuracy': 0.6837606837606838; 'macro avg': {'precision': 0.6545454545454545; 'recall': 0.6846009473590133; 'f1-score': 0.6545918774435491; 'support': 468}; 'weighted avg': {'precision': 0.7356988690322024; 'recall': 0.6837606837606838; 'f1-score': 0.6974871808511001; 'support': 468}},{'0.0': {'precision': 0.47368421052631576; 'recall': 0.6; 'f1-score': 0.5294117647058824; 'support': 15}; '1.0': {'precision': 0.8235294117647058; 'recall': 0.7368421052631579; 'f1-score': 0.7777777777777778; 'support': 38}; 'accuracy': 0.6981132075471698; 'macro avg': {'precision': 0.6486068111455108; 'recall': 0.6684210526315789; 'f1-score': 0.6535947712418301; 'support': 53}; 'weighted avg': {'precision': 0.7245166189613879; 'recall': 0.6981132075471698; 'f1-score': 0.7074855099272414; 'support': 53}}
5,1,CNF,1,469,52,14,[33; 34],14,0.315601,0.730769,4,[X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5214285714285715; 'recall': 0.5407407407407407; 'f1-score': 0.530909090909091; 'support': 135}; '1.0': {'precision': 0.8115501519756839; 'recall': 0.7994011976047904; 'f1-score': 0.8054298642533937; 'support': 334}; 'accuracy': 0.7249466950959488; 'macro avg': {'precision': 0.6664893617021277; 'recall': 0.6700709691727655; 'f1-score': 0.6681694775812423; 'support': 469}; 'weighted avg': {'precision': 0.7280396756987966; 'recall': 0.7249466950959488; 'f1-score': 0.726410025444266; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.5; 'f1-score': 0.5; 'support': 14}; '1.0': {'precision': 0.8157894736842105; 'recall': 0.8157894736842105; 'f1-score': 0.8157894736842104; 'support': 38}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.6578947368421053; 'recall': 0.6578947368421053; 'f1-score': 0.6578947368421052; 'support': 52}; 'weighted avg': {'precision': 0.7307692307692307; 'recall': 0.7307692307692307; 'f1-score': 0.7307692307692307; 'support': 52}}
