l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,460,52,1,[460; 460],540,37.029469,0.903846,3,[X20 >= 17.386000 OR X22 >= 115.900000 OR X27 >= 0.177540],{'0.0': {'precision': 0.9375; 'recall': 0.986159169550173; 'f1-score': 0.9612141652613828; 'support': 289}; '1.0': {'precision': 0.9743589743589743; 'recall': 0.8888888888888888; 'f1-score': 0.929663608562691; 'support': 171}; 'accuracy': 0.95; 'macro avg': {'precision': 0.9559294871794872; 'recall': 0.9375240292195309; 'f1-score': 0.9454388869120369; 'support': 460}; 'weighted avg': {'precision': 0.9512019230769231; 'recall': 0.95; 'f1-score': 0.9494855887494779; 'support': 460}},{'0.0': {'precision': 0.8857142857142857; 'recall': 0.96875; 'f1-score': 0.9253731343283582; 'support': 32}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.8; 'f1-score': 0.8648648648648648; 'support': 20}; 'accuracy': 0.9038461538461539; 'macro avg': {'precision': 0.9134453781512605; 'recall': 0.884375; 'f1-score': 0.8951189995966116; 'support': 52}; 'weighted avg': {'precision': 0.9070458952811895; 'recall': 0.9038461538461539; 'f1-score': 0.9021007229962452; 'support': 52}}
l: 5,1,DNF,0,460,52,1,[460; 460],540,33.617745,0.903846,5,[X1 >= 14.078000 AND X7 >= 0.048318 AND X23 >= 686.500000 AND X24 >= 0.102960 AND X26 >= 0.177180],{'0.0': {'precision': 0.9405940594059405; 'recall': 0.986159169550173; 'f1-score': 0.9628378378378378; 'support': 289}; '1.0': {'precision': 0.9745222929936306; 'recall': 0.8947368421052632; 'f1-score': 0.9329268292682926; 'support': 171}; 'accuracy': 0.9521739130434783; 'macro avg': {'precision': 0.9575581761997856; 'recall': 0.940448005827718; 'f1-score': 0.9478823335530653; 'support': 460}; 'weighted avg': {'precision': 0.9532065114570166; 'recall': 0.9521739130434783; 'f1-score': 0.9517187455217679; 'support': 460}},{'0.0': {'precision': 0.8857142857142857; 'recall': 0.96875; 'f1-score': 0.9253731343283582; 'support': 32}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.8; 'f1-score': 0.8648648648648648; 'support': 20}; 'accuracy': 0.9038461538461539; 'macro avg': {'precision': 0.9134453781512605; 'recall': 0.884375; 'f1-score': 0.8951189995966116; 'support': 52}; 'weighted avg': {'precision': 0.9070458952811895; 'recall': 0.9038461538461539; 'f1-score': 0.9021007229962452; 'support': 52}}
l: 5,1,DNF,1,460,52,1,[460; 460],540,31.956065,0.942308,6,[X1 >= 14.078000 AND X7 >= 0.048318 AND X13 >= 16.640000 AND X20 >= 14.970000 AND X24 >= 0.102960 AND X26 >= 0.177180],{'0.0': {'precision': 0.9344262295081968; 'recall': 0.9895833333333334; 'f1-score': 0.9612141652613829; 'support': 288}; '1.0': {'precision': 0.9806451612903225; 'recall': 0.8837209302325582; 'f1-score': 0.929663608562691; 'support': 172}; 'accuracy': 0.95; 'macro avg': {'precision': 0.9575356953992596; 'recall': 0.9366521317829457; 'f1-score': 0.9454388869120369; 'support': 460}; 'weighted avg': {'precision': 0.9517080909571655; 'recall': 0.95; 'f1-score': 0.9494170005827416; 'support': 460}},{'0.0': {'precision': 0.9411764705882353; 'recall': 0.9696969696969697; 'f1-score': 0.955223880597015; 'support': 33}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.8947368421052632; 'f1-score': 0.918918918918919; 'support': 19}; 'accuracy': 0.9423076923076923; 'macro avg': {'precision': 0.9428104575163399; 'recall': 0.9322169059011165; 'f1-score': 0.9370713997579669; 'support': 52}; 'weighted avg': {'precision': 0.9423705379587732; 'recall': 0.9423076923076923; 'f1-score': 0.9419586061377105; 'support': 52}}
l: 5,1,DNF,2,461,51,1,[461; 461],540,33.423267,0.960784,5,[X7 >= 0.048318 AND X13 >= 16.640000 AND X20 >= 14.970000 AND X24 >= 0.102960 AND X26 >= 0.177180],{'0.0': {'precision': 0.9401993355481728; 'recall': 0.9792387543252595; 'f1-score': 0.9593220338983052; 'support': 289}; '1.0': {'precision': 0.9625; 'recall': 0.8953488372093024; 'f1-score': 0.927710843373494; 'support': 172}; 'accuracy': 0.9479392624728851; 'macro avg': {'precision': 0.9513496677740865; 'recall': 0.9372937957672809; 'f1-score': 0.9435164386358996; 'support': 461}; 'weighted avg': {'precision': 0.9485197569922384; 'recall': 0.9479392624728851; 'f1-score': 0.947527836999677; 'support': 461}},{'0.0': {'precision': 0.9411764705882353; 'recall': 1.0; 'f1-score': 0.9696969696969697; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.8947368421052632; 'f1-score': 0.9444444444444444; 'support': 19}; 'accuracy': 0.9607843137254902; 'macro avg': {'precision': 0.9705882352941176; 'recall': 0.9473684210526316; 'f1-score': 0.9570707070707071; 'support': 51}; 'weighted avg': {'precision': 0.9630911188004614; 'recall': 0.9607843137254902; 'f1-score': 0.960289166171519; 'support': 51}}
l: 5,1,DNF,3,461,51,1,[461; 461],540,36.928900,0.960784,5,[X4 >= 0.079654 AND X7 >= 0.048318 AND X12 >= 1.280200 AND X23 >= 686.500000 AND X26 >= 0.226700],{'0.0': {'precision': 0.9313725490196079; 'recall': 0.986159169550173; 'f1-score': 0.957983193277311; 'support': 289}; '1.0': {'precision': 0.9741935483870968; 'recall': 0.877906976744186; 'f1-score': 0.9235474006116208; 'support': 172}; 'accuracy': 0.9457700650759219; 'macro avg': {'precision': 0.9527830487033524; 'recall': 0.9320330731471795; 'f1-score': 0.9407652969444659; 'support': 461}; 'weighted avg': {'precision': 0.9473491474820983; 'recall': 0.9457700650759219; 'f1-score': 0.9451351318055135; 'support': 461}},{'0.0': {'precision': 0.9411764705882353; 'recall': 1.0; 'f1-score': 0.9696969696969697; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.8947368421052632; 'f1-score': 0.9444444444444444; 'support': 19}; 'accuracy': 0.9607843137254902; 'macro avg': {'precision': 0.9705882352941176; 'recall': 0.9473684210526316; 'f1-score': 0.9570707070707071; 'support': 51}; 'weighted avg': {'precision': 0.9630911188004614; 'recall': 0.9607843137254902; 'f1-score': 0.960289166171519; 'support': 51}}
l: 5,1,DNF,4,461,51,1,[461; 461],540,26.239673,0.862745,5,[X4 >= 0.079654 AND X7 >= 0.048318 AND X12 >= 1.516600 AND X23 >= 686.500000 AND X26 >= 0.177180],{'0.0': {'precision': 0.946843853820598; 'recall': 0.986159169550173; 'f1-score': 0.9661016949152543; 'support': 289}; '1.0': {'precision': 0.975; 'recall': 0.9069767441860465; 'f1-score': 0.9397590361445783; 'support': 172}; 'accuracy': 0.9566160520607375; 'macro avg': {'precision': 0.960921926910299; 'recall': 0.9465679568681098; 'f1-score': 0.9529303655299164; 'support': 461}; 'weighted avg': {'precision': 0.9573489669287479; 'recall': 0.9566160520607375; 'f1-score': 0.9562731974997309; 'support': 461}},{'0.0': {'precision': 0.8787878787878788; 'recall': 0.90625; 'f1-score': 0.8923076923076922; 'support': 32}; '1.0': {'precision': 0.8333333333333334; 'recall': 0.7894736842105263; 'f1-score': 0.8108108108108109; 'support': 19}; 'accuracy': 0.8627450980392157; 'macro avg': {'precision': 0.8560606060606061; 'recall': 0.8478618421052632; 'f1-score': 0.8515592515592516; 'support': 51}; 'weighted avg': {'precision': 0.8618538324420677; 'recall': 0.8627450980392157; 'f1-score': 0.8619461090049324; 'support': 51}}
l: 5,1,DNF,5,461,51,1,[461; 461],540,27.230186,0.960784,5,[X7 >= 0.048318 AND X13 >= 16.640000 AND X20 >= 14.970000 AND X24 >= 0.102960 AND X26 >= 0.177180],{'0.0': {'precision': 0.9401993355481728; 'recall': 0.9792387543252595; 'f1-score': 0.9593220338983052; 'support': 289}; '1.0': {'precision': 0.9625; 'recall': 0.8953488372093024; 'f1-score': 0.927710843373494; 'support': 172}; 'accuracy': 0.9479392624728851; 'macro avg': {'precision': 0.9513496677740865; 'recall': 0.9372937957672809; 'f1-score': 0.9435164386358996; 'support': 461}; 'weighted avg': {'precision': 0.9485197569922384; 'recall': 0.9479392624728851; 'f1-score': 0.947527836999677; 'support': 461}},{'0.0': {'precision': 0.9411764705882353; 'recall': 1.0; 'f1-score': 0.9696969696969697; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.8947368421052632; 'f1-score': 0.9444444444444444; 'support': 19}; 'accuracy': 0.9607843137254902; 'macro avg': {'precision': 0.9705882352941176; 'recall': 0.9473684210526316; 'f1-score': 0.9570707070707071; 'support': 51}; 'weighted avg': {'precision': 0.9630911188004614; 'recall': 0.9607843137254902; 'f1-score': 0.960289166171519; 'support': 51}}
l: 5,1,DNF,6,461,51,1,[461; 461],540,28.639938,0.901961,5,[X7 >= 0.048318 AND X13 >= 16.640000 AND X20 >= 14.008000 AND X22 >= 97.660000 AND X26 >= 0.226700],{'0.0': {'precision': 0.934640522875817; 'recall': 0.9896193771626297; 'f1-score': 0.9613445378151261; 'support': 289}; '1.0': {'precision': 0.9806451612903225; 'recall': 0.8837209302325582; 'f1-score': 0.929663608562691; 'support': 172}; 'accuracy': 0.9501084598698482; 'macro avg': {'precision': 0.9576428420830698; 'recall': 0.9366701536975939; 'f1-score': 0.9455040731889086; 'support': 461}; 'weighted avg': {'precision': 0.9518049432820966; 'recall': 0.9501084598698482; 'f1-score': 0.9495243212610721; 'support': 461}},{'0.0': {'precision': 0.9090909090909091; 'recall': 0.9375; 'f1-score': 0.923076923076923; 'support': 32}; '1.0': {'precision': 0.8888888888888888; 'recall': 0.8421052631578947; 'f1-score': 0.8648648648648649; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.898989898989899; 'recall': 0.8898026315789473; 'f1-score': 0.8939708939708939; 'support': 51}; 'weighted avg': {'precision': 0.9015646662705487; 'recall': 0.9019607843137255; 'f1-score': 0.901390077860666; 'support': 51}}
l: 5,1,DNF,7,461,51,1,[461; 461],540,27.212885,0.823529,4,[X4 >= 0.079654 AND X7 >= 0.048318 AND X20 >= 14.970000 AND X26 >= 0.226700],{'0.0': {'precision': 0.940983606557377; 'recall': 0.9930795847750865; 'f1-score': 0.9663299663299664; 'support': 289}; '1.0': {'precision': 0.9871794871794872; 'recall': 0.8953488372093024; 'f1-score': 0.9390243902439025; 'support': 172}; 'accuracy': 0.9566160520607375; 'macro avg': {'precision': 0.9640815468684321; 'recall': 0.9442142109921945; 'f1-score': 0.9526771782869344; 'support': 461}; 'weighted avg': {'precision': 0.9582193798046719; 'recall': 0.9566160520607375; 'f1-score': 0.9561422025841898; 'support': 461}},{'0.0': {'precision': 0.8484848484848485; 'recall': 0.875; 'f1-score': 0.8615384615384615; 'support': 32}; '1.0': {'precision': 0.7777777777777778; 'recall': 0.7368421052631579; 'f1-score': 0.7567567567567567; 'support': 19}; 'accuracy': 0.8235294117647058; 'macro avg': {'precision': 0.8131313131313131; 'recall': 0.805921052631579; 'f1-score': 0.8091476091476091; 'support': 51}; 'weighted avg': {'precision': 0.8221429986135869; 'recall': 0.8235294117647058; 'f1-score': 0.8225021401491989; 'support': 51}}
l: 5,1,DNF,8,461,51,1,[461; 461],540,33.404507,0.980392,5,[X7 >= 0.048318 AND X13 >= 16.640000 AND X20 >= 14.970000 AND X24 >= 0.102960 AND X26 >= 0.177180],{'0.0': {'precision': 0.9370860927152318; 'recall': 0.9792387543252595; 'f1-score': 0.9576988155668358; 'support': 289}; '1.0': {'precision': 0.9622641509433962; 'recall': 0.8895348837209303; 'f1-score': 0.9244712990936556; 'support': 172}; 'accuracy': 0.9457700650759219; 'macro avg': {'precision': 0.949675121829314; 'recall': 0.9343868190230948; 'f1-score': 0.9410850573302456; 'support': 461}; 'weighted avg': {'precision': 0.9464800753947205; 'recall': 0.9457700650759219; 'f1-score': 0.9453015643013543; 'support': 461}},{'0.0': {'precision': 0.9696969696969697; 'recall': 1.0; 'f1-score': 0.9846153846153847; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.9473684210526315; 'f1-score': 0.972972972972973; 'support': 19}; 'accuracy': 0.9803921568627451; 'macro avg': {'precision': 0.9848484848484849; 'recall': 0.9736842105263157; 'f1-score': 0.9787941787941788; 'support': 51}; 'weighted avg': {'precision': 0.9809863339275104; 'recall': 0.9803921568627451; 'f1-score': 0.9802780155721332; 'support': 51}}
l: 5,1,DNF,9,461,51,1,[461; 461],540,35.432245,0.901961,6,[X20 >= 14.970000 AND X21 >= 20.176000 AND X23 >= 686.500000 AND X24 >= 0.102960 AND X26 >= 0.177180 AND X27 >= 0.099930],{'0.0': {'precision': 0.9372937293729373; 'recall': 0.9826989619377162; 'f1-score': 0.9594594594594594; 'support': 289}; '1.0': {'precision': 0.9683544303797469; 'recall': 0.8895348837209303; 'f1-score': 0.9272727272727274; 'support': 172}; 'accuracy': 0.9479392624728851; 'macro avg': {'precision': 0.9528240798763421; 'recall': 0.9361169228293232; 'f1-score': 0.9433660933660935; 'support': 461}; 'weighted avg': {'precision': 0.9488825375576906; 'recall': 0.9479392624728851; 'f1-score': 0.9474505268431516; 'support': 461}},{'0.0': {'precision': 0.9655172413793104; 'recall': 0.875; 'f1-score': 0.9180327868852458; 'support': 32}; '1.0': {'precision': 0.8181818181818182; 'recall': 0.9473684210526315; 'f1-score': 0.8780487804878049; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.8918495297805643; 'recall': 0.9111842105263157; 'f1-score': 0.8980407836865254; 'support': 51}; 'weighted avg': {'precision': 0.9106275739135781; 'recall': 0.9019607843137255; 'f1-score': 0.9031367845018854; 'support': 51}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'DNF', 'real_partition_size': [461, 461], 'n_partitions': 1}, (mean val acc cv) 0.919910 (+- 0.047572), (mean training time) 31.408541 (+- 3.596282)
l: 5,2,CNF,0,460,52,1,[460; 460],540,1002.347179,0.923077,6,[X1 >= 21.272000 OR X22 >= 115.900000 OR X27 >= 0.177540] AND [X7 >= 0.048318 OR X20 >= 17.386000 OR X26 >= 0.419540],{'0.0': {'precision': 0.9726962457337884; 'recall': 0.986159169550173; 'f1-score': 0.9793814432989691; 'support': 289}; '1.0': {'precision': 0.9760479041916168; 'recall': 0.9532163742690059; 'f1-score': 0.9644970414201184; 'support': 171}; 'accuracy': 0.9739130434782609; 'macro avg': {'precision': 0.9743720749627026; 'recall': 0.9696877719095894; 'f1-score': 0.9719392423595438; 'support': 460}; 'weighted avg': {'precision': 0.9739421883344159; 'recall': 0.9739130434782609; 'f1-score': 0.9738483286874833; 'support': 460}},{'0.0': {'precision': 0.9117647058823529; 'recall': 0.96875; 'f1-score': 0.9393939393939394; 'support': 32}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.85; 'f1-score': 0.8947368421052632; 'support': 20}; 'accuracy': 0.9230769230769231; 'macro avg': {'precision': 0.9281045751633987; 'recall': 0.909375; 'f1-score': 0.9170653907496014; 'support': 52}; 'weighted avg': {'precision': 0.924333836098542; 'recall': 0.9230769230769231; 'f1-score': 0.9222181327444485; 'support': 52}}
