lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,284,32,35,[8; 9],222,1.279611,0.718750,1,[X3 >= -0.609635],{'0.0': {'precision': 0.96; 'recall': 0.23529411764705882; 'f1-score': 0.37795275590551175; 'support': 102}; '1.0': {'precision': 0.6988416988416989; 'recall': 0.9945054945054945; 'f1-score': 0.8208616780045351; 'support': 182}; 'accuracy': 0.721830985915493; 'macro avg': {'precision': 0.8294208494208495; 'recall': 0.6148998060762767; 'f1-score': 0.5994072169550234; 'support': 284}; 'weighted avg': {'precision': 0.7926379901027788; 'recall': 0.721830985915493; 'f1-score': 0.6617887552788295; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.18181818181818182; 'f1-score': 0.3076923076923077; 'support': 11}; '1.0': {'precision': 0.7; 'recall': 1.0; 'f1-score': 0.8235294117647058; 'support': 21}; 'accuracy': 0.71875; 'macro avg': {'precision': 0.85; 'recall': 0.5909090909090909; 'f1-score': 0.5656108597285068; 'support': 32}; 'weighted avg': {'precision': 0.803125; 'recall': 0.71875; 'f1-score': 0.6462104072398189; 'support': 32}}
5,1,CNF,1,284,32,17,[16; 17],222,0.900923,0.781250,1,[X4 >= 0.041440],{'0.0': {'precision': 1.0; 'recall': 0.5098039215686274; 'f1-score': 0.6753246753246753; 'support': 102}; '1.0': {'precision': 0.7844827586206896; 'recall': 1.0; 'f1-score': 0.8792270531400966; 'support': 182}; 'accuracy': 0.823943661971831; 'macro avg': {'precision': 0.8922413793103448; 'recall': 0.7549019607843137; 'f1-score': 0.777275864232386; 'support': 284}; 'weighted avg': {'precision': 0.8618868382710053; 'recall': 0.823943661971831; 'f1-score': 0.8059945089951214; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.36363636363636365; 'f1-score': 0.5333333333333333; 'support': 11}; '1.0': {'precision': 0.75; 'recall': 1.0; 'f1-score': 0.8571428571428571; 'support': 21}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.875; 'recall': 0.6818181818181819; 'f1-score': 0.6952380952380952; 'support': 32}; 'weighted avg': {'precision': 0.8359375; 'recall': 0.78125; 'f1-score': 0.7458333333333333; 'support': 32}}
5,1,CNF,2,284,32,17,[16; 17],222,1.001655,0.875000,1,[X4 >= 0.418075],{'0.0': {'precision': 0.8169014084507042; 'recall': 0.5686274509803921; 'f1-score': 0.6705202312138728; 'support': 102}; '1.0': {'precision': 0.7934272300469484; 'recall': 0.9285714285714286; 'f1-score': 0.8556962025316457; 'support': 182}; 'accuracy': 0.7992957746478874; 'macro avg': {'precision': 0.8051643192488263; 'recall': 0.7485994397759104; 'f1-score': 0.7631082168727592; 'support': 284}; 'weighted avg': {'precision': 0.8018580969384382; 'recall': 0.7992957746478874; 'f1-score': 0.7891893395935723; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.6363636363636364; 'f1-score': 0.7777777777777778; 'support': 11}; '1.0': {'precision': 0.84; 'recall': 1.0; 'f1-score': 0.9130434782608696; 'support': 21}; 'accuracy': 0.875; 'macro avg': {'precision': 0.9199999999999999; 'recall': 0.8181818181818181; 'f1-score': 0.8454106280193237; 'support': 32}; 'weighted avg': {'precision': 0.895; 'recall': 0.875; 'f1-score': 0.8665458937198067; 'support': 32}}
5,1,CNF,3,284,32,17,[16; 17],222,0.948353,0.687500,3,[X7 < -0.000375 OR X15 >= 0.001430 OR X16 < -0.054150],{'0.0': {'precision': 0.5714285714285714; 'recall': 0.2376237623762376; 'f1-score': 0.3356643356643357; 'support': 101}; '1.0': {'precision': 0.6818181818181818; 'recall': 0.9016393442622951; 'f1-score': 0.776470588235294; 'support': 183}; 'accuracy': 0.6654929577464789; 'macro avg': {'precision': 0.6266233766233766; 'recall': 0.5696315533192664; 'f1-score': 0.5560674619498148; 'support': 284}; 'weighted avg': {'precision': 0.6425599048838485; 'recall': 0.6654929577464789; 'f1-score': 0.6197049843280166; 'support': 284}},{'0.0': {'precision': 0.75; 'recall': 0.25; 'f1-score': 0.375; 'support': 12}; '1.0': {'precision': 0.6785714285714286; 'recall': 0.95; 'f1-score': 0.7916666666666667; 'support': 20}; 'accuracy': 0.6875; 'macro avg': {'precision': 0.7142857142857143; 'recall': 0.6; 'f1-score': 0.5833333333333334; 'support': 32}; 'weighted avg': {'precision': 0.7053571428571429; 'recall': 0.6875; 'f1-score': 0.6354166666666667; 'support': 32}}
5,1,CNF,4,284,32,17,[16; 17],222,1.116904,0.718750,1,[X2 >= 0.739470],{'0.0': {'precision': 0.6074766355140186; 'recall': 0.6435643564356436; 'f1-score': 0.625; 'support': 101}; '1.0': {'precision': 0.7966101694915254; 'recall': 0.7704918032786885; 'f1-score': 0.7833333333333333; 'support': 183}; 'accuracy': 0.7253521126760564; 'macro avg': {'precision': 0.702043402502772; 'recall': 0.707028079857166; 'f1-score': 0.7041666666666666; 'support': 284}; 'weighted avg': {'precision': 0.729347891562905; 'recall': 0.7253521126760564; 'f1-score': 0.7270246478873239; 'support': 284}},{'0.0': {'precision': 0.6363636363636364; 'recall': 0.5833333333333334; 'f1-score': 0.6086956521739131; 'support': 12}; '1.0': {'precision': 0.7619047619047619; 'recall': 0.8; 'f1-score': 0.7804878048780488; 'support': 20}; 'accuracy': 0.71875; 'macro avg': {'precision': 0.699134199134199; 'recall': 0.6916666666666667; 'f1-score': 0.694591728525981; 'support': 32}; 'weighted avg': {'precision': 0.7148268398268398; 'recall': 0.71875; 'f1-score': 0.7160657476139979; 'support': 32}}
5,1,CNF,5,284,32,17,[16; 17],222,0.769406,0.687500,3,[X3 < -0.000170 OR X5 >= 0.001010 OR X26 < 0.999945],{'0.0': {'precision': 0.9333333333333333; 'recall': 0.27722772277227725; 'f1-score': 0.4274809160305344; 'support': 101}; '1.0': {'precision': 0.7125984251968503; 'recall': 0.9890710382513661; 'f1-score': 0.8283752860411898; 'support': 183}; 'accuracy': 0.7359154929577465; 'macro avg': {'precision': 0.8229658792650918; 'recall': 0.6331493805118217; 'f1-score': 0.6279281010358622; 'support': 284}; 'weighted avg': {'precision': 0.7910992199918673; 'recall': 0.7359154929577465; 'f1-score': 0.6858036967064145; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.16666666666666666; 'f1-score': 0.2857142857142857; 'support': 12}; '1.0': {'precision': 0.6666666666666666; 'recall': 1.0; 'f1-score': 0.8; 'support': 20}; 'accuracy': 0.6875; 'macro avg': {'precision': 0.8333333333333333; 'recall': 0.5833333333333334; 'f1-score': 0.5428571428571429; 'support': 32}; 'weighted avg': {'precision': 0.7916666666666666; 'recall': 0.6875; 'f1-score': 0.6071428571428571; 'support': 32}}
5,1,CNF,6,285,31,17,[16; 17],222,1.054034,0.806452,1,[X26 < 0.999945],{'0.0': {'precision': 0.8823529411764706; 'recall': 0.5882352941176471; 'f1-score': 0.7058823529411764; 'support': 102}; '1.0': {'precision': 0.8064516129032258; 'recall': 0.9562841530054644; 'f1-score': 0.875; 'support': 183}; 'accuracy': 0.8245614035087719; 'macro avg': {'precision': 0.8444022770398482; 'recall': 0.7722597235615558; 'f1-score': 0.7904411764705882; 'support': 285}; 'weighted avg': {'precision': 0.833616298811545; 'recall': 0.8245614035087719; 'f1-score': 0.8144736842105263; 'support': 285}},{'0.0': {'precision': 0.7777777777777778; 'recall': 0.6363636363636364; 'f1-score': 0.7000000000000001; 'support': 11}; '1.0': {'precision': 0.8181818181818182; 'recall': 0.9; 'f1-score': 0.8571428571428572; 'support': 20}; 'accuracy': 0.8064516129032258; 'macro avg': {'precision': 0.797979797979798; 'recall': 0.7681818181818182; 'f1-score': 0.7785714285714287; 'support': 31}; 'weighted avg': {'precision': 0.8038449006190941; 'recall': 0.8064516129032258; 'f1-score': 0.8013824884792629; 'support': 31}}
5,1,CNF,7,285,31,17,[16; 17],222,0.902096,0.774194,2,[X5 >= 0.001010 OR X18 >= 0.467840],{'0.0': {'precision': 0.8297872340425532; 'recall': 0.38235294117647056; 'f1-score': 0.523489932885906; 'support': 102}; '1.0': {'precision': 0.7352941176470589; 'recall': 0.9562841530054644; 'f1-score': 0.831353919239905; 'support': 183}; 'accuracy': 0.7508771929824561; 'macro avg': {'precision': 0.782540675844806; 'recall': 0.6693185470909675; 'f1-score': 0.6774219260629055; 'support': 285}; 'weighted avg': {'precision': 0.7691127066728147; 'recall': 0.7508771929824561; 'f1-score': 0.7211710188605791; 'support': 285}},{'0.0': {'precision': 0.8333333333333334; 'recall': 0.45454545454545453; 'f1-score': 0.5882352941176471; 'support': 11}; '1.0': {'precision': 0.76; 'recall': 0.95; 'f1-score': 0.8444444444444444; 'support': 20}; 'accuracy': 0.7741935483870968; 'macro avg': {'precision': 0.7966666666666666; 'recall': 0.7022727272727273; 'f1-score': 0.7163398692810458; 'support': 31}; 'weighted avg': {'precision': 0.7860215053763441; 'recall': 0.7741935483870968; 'f1-score': 0.7535315201349357; 'support': 31}}
5,1,CNF,8,285,31,17,[16; 17],222,1.090041,0.645161,2,[X5 >= 0.001010 OR X15 >= 0.001430],{'0.0': {'precision': 0.4888888888888889; 'recall': 0.43137254901960786; 'f1-score': 0.45833333333333326; 'support': 102}; '1.0': {'precision': 0.7025641025641025; 'recall': 0.7486338797814208; 'f1-score': 0.7248677248677249; 'support': 183}; 'accuracy': 0.6350877192982456; 'macro avg': {'precision': 0.5957264957264957; 'recall': 0.5900032144005143; 'f1-score': 0.5916005291005291; 'support': 285}; 'weighted avg': {'precision': 0.6260908681961314; 'recall': 0.6350877192982456; 'f1-score': 0.6294764689501532; 'support': 285}},{'0.0': {'precision': 0.5; 'recall': 0.5454545454545454; 'f1-score': 0.5217391304347826; 'support': 11}; '1.0': {'precision': 0.7368421052631579; 'recall': 0.7; 'f1-score': 0.717948717948718; 'support': 20}; 'accuracy': 0.6451612903225806; 'macro avg': {'precision': 0.618421052631579; 'recall': 0.6227272727272727; 'f1-score': 0.6198439241917503; 'support': 31}; 'weighted avg': {'precision': 0.6528013582342954; 'recall': 0.6451612903225806; 'f1-score': 0.6483259610889344; 'support': 31}}
5,1,CNF,9,285,31,17,[16; 17],222,1.060926,0.870968,1,[X26 < 0.999945],{'0.0': {'precision': 0.8676470588235294; 'recall': 0.5784313725490197; 'f1-score': 0.6941176470588235; 'support': 102}; '1.0': {'precision': 0.8018433179723502; 'recall': 0.9508196721311475; 'f1-score': 0.8699999999999999; 'support': 183}; 'accuracy': 0.8175438596491228; 'macro avg': {'precision': 0.8347451883979398; 'recall': 0.7646255223400835; 'f1-score': 0.7820588235294117; 'support': 285}; 'weighted avg': {'precision': 0.8253941304875091; 'recall': 0.8175438596491228; 'f1-score': 0.8070526315789474; 'support': 285}},{'0.0': {'precision': 0.8888888888888888; 'recall': 0.7272727272727273; 'f1-score': 0.7999999999999999; 'support': 11}; '1.0': {'precision': 0.8636363636363636; 'recall': 0.95; 'f1-score': 0.9047619047619048; 'support': 20}; 'accuracy': 0.8709677419354839; 'macro avg': {'precision': 0.8762626262626263; 'recall': 0.8386363636363636; 'f1-score': 0.8523809523809524; 'support': 31}; 'weighted avg': {'precision': 0.8725969371130662; 'recall': 0.8709677419354839; 'f1-score': 0.8675883256528417; 'support': 31}}
5,1,CNF,0,284,32,8,[35; 36],222,0.663882,0.812500,1,[X4 >= 0.041440],{'0.0': {'precision': 1.0; 'recall': 0.5; 'f1-score': 0.6666666666666666; 'support': 102}; '1.0': {'precision': 0.7811158798283262; 'recall': 1.0; 'f1-score': 0.8771084337349397; 'support': 182}; 'accuracy': 0.8204225352112676; 'macro avg': {'precision': 0.8905579399141631; 'recall': 0.75; 'f1-score': 0.7718875502008031; 'support': 284}; 'weighted avg': {'precision': 0.859729190594209; 'recall': 0.8204225352112676; 'f1-score': 0.8015272357033768; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.45454545454545453; 'f1-score': 0.625; 'support': 11}; '1.0': {'precision': 0.7777777777777778; 'recall': 1.0; 'f1-score': 0.8750000000000001; 'support': 21}; 'accuracy': 0.8125; 'macro avg': {'precision': 0.8888888888888888; 'recall': 0.7272727272727273; 'f1-score': 0.75; 'support': 32}; 'weighted avg': {'precision': 0.8541666666666666; 'recall': 0.8125; 'f1-score': 0.7890625000000001; 'support': 32}}
5,1,CNF,1,284,32,8,[35; 36],222,0.471152,0.656250,3,[X8 < -0.036395 OR X13 >= 0.652535 OR X32 >= 0.000200],{'0.0': {'precision': 0.8571428571428571; 'recall': 0.47058823529411764; 'f1-score': 0.6075949367088607; 'support': 102}; '1.0': {'precision': 0.7631578947368421; 'recall': 0.9560439560439561; 'f1-score': 0.848780487804878; 'support': 182}; 'accuracy': 0.7816901408450704; 'macro avg': {'precision': 0.8101503759398496; 'recall': 0.7133160956690369; 'f1-score': 0.7281877122568694; 'support': 284}; 'weighted avg': {'precision': 0.7969130572911152; 'recall': 0.7816901408450704; 'f1-score': 0.7621575081858859; 'support': 284}},{'0.0': {'precision': 0.5; 'recall': 0.2727272727272727; 'f1-score': 0.3529411764705882; 'support': 11}; '1.0': {'precision': 0.6923076923076923; 'recall': 0.8571428571428571; 'f1-score': 0.7659574468085107; 'support': 21}; 'accuracy': 0.65625; 'macro avg': {'precision': 0.5961538461538461; 'recall': 0.5649350649350648; 'f1-score': 0.5594493116395495; 'support': 32}; 'weighted avg': {'precision': 0.6262019230769231; 'recall': 0.65625; 'f1-score': 0.6239831038798499; 'support': 32}}
5,1,CNF,2,284,32,8,[35; 36],222,0.629608,0.687500,2,[X7 >= 0.000985 OR X33 < -0.000030],{'0.0': {'precision': 0.8518518518518519; 'recall': 0.45098039215686275; 'f1-score': 0.5897435897435898; 'support': 102}; '1.0': {'precision': 0.7565217391304347; 'recall': 0.9560439560439561; 'f1-score': 0.8446601941747574; 'support': 182}; 'accuracy': 0.7746478873239436; 'macro avg': {'precision': 0.8041867954911432; 'recall': 0.7035121741004094; 'f1-score': 0.7172018919591736; 'support': 284}; 'weighted avg': {'precision': 0.7907600190515071; 'recall': 0.7746478873239436; 'f1-score': 0.7531056390621549; 'support': 284}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.18181818181818182; 'f1-score': 0.28571428571428575; 'support': 11}; '1.0': {'precision': 0.6896551724137931; 'recall': 0.9523809523809523; 'f1-score': 0.7999999999999999; 'support': 21}; 'accuracy': 0.6875; 'macro avg': {'precision': 0.6781609195402298; 'recall': 0.5670995670995671; 'f1-score': 0.5428571428571428; 'support': 32}; 'weighted avg': {'precision': 0.6817528735632185; 'recall': 0.6875; 'f1-score': 0.6232142857142856; 'support': 32}}
