lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,284,32,35,[8; 9],222,0.867565,0.750000,1,[X23 >= -0.987455],{'0.0': {'precision': 0.9090909090909091; 'recall': 0.1941747572815534; 'f1-score': 0.31999999999999995; 'support': 103}; '1.0': {'precision': 0.683206106870229; 'recall': 0.988950276243094; 'f1-score': 0.8081264108352143; 'support': 181}; 'accuracy': 0.7007042253521126; 'macro avg': {'precision': 0.796148507980569; 'recall': 0.5915625167623236; 'f1-score': 0.5640632054176071; 'support': 284}; 'weighted avg': {'precision': 0.7651291161263207; 'recall': 0.7007042253521126; 'f1-score': 0.6310946491590625; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.2727272727272727; 'f1-score': 0.42857142857142855; 'support': 11}; '1.0': {'precision': 0.7241379310344828; 'recall': 1.0; 'f1-score': 0.8400000000000001; 'support': 21}; 'accuracy': 0.75; 'macro avg': {'precision': 0.8620689655172413; 'recall': 0.6363636363636364; 'f1-score': 0.6342857142857143; 'support': 32}; 'weighted avg': {'precision': 0.8189655172413793; 'recall': 0.75; 'f1-score': 0.6985714285714286; 'support': 32}}
5,1,CNF,1,284,32,17,[16; 17],222,0.800408,0.843750,2,[X8 >= 0.011975 OR X33 >= 0.005400],{'0.0': {'precision': 0.9166666666666666; 'recall': 0.32038834951456313; 'f1-score': 0.4748201438848922; 'support': 103}; '1.0': {'precision': 0.717741935483871; 'recall': 0.9834254143646409; 'f1-score': 0.8298368298368299; 'support': 181}; 'accuracy': 0.7429577464788732; 'macro avg': {'precision': 0.8172043010752688; 'recall': 0.651906881939602; 'f1-score': 0.6523284868608611; 'support': 284}; 'weighted avg': {'precision': 0.7898871724973496; 'recall': 0.7429577464788732; 'f1-score': 0.701080778241585; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.5454545454545454; 'f1-score': 0.7058823529411764; 'support': 11}; '1.0': {'precision': 0.8076923076923077; 'recall': 1.0; 'f1-score': 0.8936170212765957; 'support': 21}; 'accuracy': 0.84375; 'macro avg': {'precision': 0.9038461538461539; 'recall': 0.7727272727272727; 'f1-score': 0.799749687108886; 'support': 32}; 'weighted avg': {'precision': 0.873798076923077; 'recall': 0.84375; 'f1-score': 0.8290832290362953; 'support': 32}}
5,1,CNF,2,284,32,17,[16; 17],222,0.805652,0.718750,2,[X16 < -0.572730 OR X26 < 0.999945],{'0.0': {'precision': 0.8636363636363636; 'recall': 0.5588235294117647; 'f1-score': 0.6785714285714287; 'support': 102}; '1.0': {'precision': 0.7935779816513762; 'recall': 0.9505494505494505; 'f1-score': 0.865; 'support': 182}; 'accuracy': 0.8098591549295775; 'macro avg': {'precision': 0.82860717264387; 'recall': 0.7546864899806076; 'f1-score': 0.7717857142857143; 'support': 284}; 'weighted avg': {'precision': 0.8187397948995054; 'recall': 0.8098591549295775; 'f1-score': 0.7980432595573441; 'support': 284}},{'0.0': {'precision': 0.7142857142857143; 'recall': 0.4166666666666667; 'f1-score': 0.5263157894736842; 'support': 12}; '1.0': {'precision': 0.72; 'recall': 0.9; 'f1-score': 0.7999999999999999; 'support': 20}; 'accuracy': 0.71875; 'macro avg': {'precision': 0.7171428571428571; 'recall': 0.6583333333333333; 'f1-score': 0.6631578947368421; 'support': 32}; 'weighted avg': {'precision': 0.7178571428571427; 'recall': 0.71875; 'f1-score': 0.6973684210526315; 'support': 32}}
5,1,CNF,3,284,32,17,[16; 17],222,0.899383,0.750000,2,[X2 >= 0.739470 OR X5 >= 0.001010],{'0.0': {'precision': 0.8113207547169812; 'recall': 0.4215686274509804; 'f1-score': 0.5548387096774193; 'support': 102}; '1.0': {'precision': 0.7445887445887446; 'recall': 0.945054945054945; 'f1-score': 0.8329297820823245; 'support': 182}; 'accuracy': 0.7570422535211268; 'macro avg': {'precision': 0.7779547496528629; 'recall': 0.6833117862529627; 'f1-score': 0.693884245879872; 'support': 284}; 'weighted avg': {'precision': 0.768555874986914; 'recall': 0.7570422535211268; 'f1-score': 0.7330520025566192; 'support': 284}},{'0.0': {'precision': 0.75; 'recall': 0.5; 'f1-score': 0.6; 'support': 12}; '1.0': {'precision': 0.75; 'recall': 0.9; 'f1-score': 0.8181818181818182; 'support': 20}; 'accuracy': 0.75; 'macro avg': {'precision': 0.75; 'recall': 0.7; 'f1-score': 0.7090909090909091; 'support': 32}; 'weighted avg': {'precision': 0.75; 'recall': 0.75; 'f1-score': 0.7363636363636363; 'support': 32}}
5,1,CNF,4,284,32,17,[16; 17],222,0.846701,0.750000,2,[X13 >= 0.652535 OR X30 >= 0.132415],{'0.0': {'precision': 0.7536231884057971; 'recall': 0.5098039215686274; 'f1-score': 0.6081871345029239; 'support': 102}; '1.0': {'precision': 0.7674418604651163; 'recall': 0.9065934065934066; 'f1-score': 0.8312342569269523; 'support': 182}; 'accuracy': 0.7640845070422535; 'macro avg': {'precision': 0.7605325244354567; 'recall': 0.708198664081017; 'f1-score': 0.7197106957149382; 'support': 284}; 'weighted avg': {'precision': 0.7624788162747975; 'recall': 0.7640845070422535; 'f1-score': 0.7511257833802942; 'support': 284}},{'0.0': {'precision': 0.75; 'recall': 0.5; 'f1-score': 0.6; 'support': 12}; '1.0': {'precision': 0.75; 'recall': 0.9; 'f1-score': 0.8181818181818182; 'support': 20}; 'accuracy': 0.75; 'macro avg': {'precision': 0.75; 'recall': 0.7; 'f1-score': 0.7090909090909091; 'support': 32}; 'weighted avg': {'precision': 0.75; 'recall': 0.75; 'f1-score': 0.7363636363636363; 'support': 32}}
5,1,CNF,5,284,32,17,[16; 17],222,0.990653,0.750000,1,[X30 >= 0.132415],{'0.0': {'precision': 0.6276595744680851; 'recall': 0.5784313725490197; 'f1-score': 0.6020408163265305; 'support': 102}; '1.0': {'precision': 0.7736842105263158; 'recall': 0.8076923076923077; 'f1-score': 0.7903225806451614; 'support': 182}; 'accuracy': 0.7253521126760564; 'macro avg': {'precision': 0.7006718924972004; 'recall': 0.6930618401206636; 'f1-score': 0.696181698485846; 'support': 284}; 'weighted avg': {'precision': 0.7212387426462471; 'recall': 0.7253521126760564; 'f1-score': 0.7227002568405827; 'support': 284}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.6666666666666666; 'f1-score': 0.6666666666666666; 'support': 12}; '1.0': {'precision': 0.8; 'recall': 0.8; 'f1-score': 0.8000000000000002; 'support': 20}; 'accuracy': 0.75; 'macro avg': {'precision': 0.7333333333333334; 'recall': 0.7333333333333334; 'f1-score': 0.7333333333333334; 'support': 32}; 'weighted avg': {'precision': 0.75; 'recall': 0.75; 'f1-score': 0.7500000000000001; 'support': 32}}
5,1,CNF,6,285,31,17,[16; 17],222,0.905911,0.774194,2,[X3 < -0.000170 OR X26 < 0.999945],{'0.0': {'precision': 0.8085106382978723; 'recall': 0.36893203883495146; 'f1-score': 0.5066666666666667; 'support': 103}; '1.0': {'precision': 0.726890756302521; 'recall': 0.9505494505494505; 'f1-score': 0.8238095238095239; 'support': 182}; 'accuracy': 0.7403508771929824; 'macro avg': {'precision': 0.7677006973001966; 'recall': 0.659740744692201; 'f1-score': 0.6652380952380953; 'support': 285}; 'weighted avg': {'precision': 0.7563884680411919; 'recall': 0.7403508771929824; 'f1-score': 0.7091929824561404; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.36363636363636365; 'f1-score': 0.5333333333333333; 'support': 11}; '1.0': {'precision': 0.7407407407407407; 'recall': 1.0; 'f1-score': 0.851063829787234; 'support': 20}; 'accuracy': 0.7741935483870968; 'macro avg': {'precision': 0.8703703703703703; 'recall': 0.6818181818181819; 'f1-score': 0.6921985815602837; 'support': 31}; 'weighted avg': {'precision': 0.8327359617682197; 'recall': 0.7741935483870968; 'f1-score': 0.738320750400366; 'support': 31}}
5,1,CNF,7,285,31,17,[16; 17],222,0.921844,0.645161,2,[X5 >= 0.001010 OR X15 < -0.001970],{'0.0': {'precision': 0.7735849056603774; 'recall': 0.39805825242718446; 'f1-score': 0.5256410256410255; 'support': 103}; '1.0': {'precision': 0.7327586206896551; 'recall': 0.9340659340659341; 'f1-score': 0.8212560386473431; 'support': 182}; 'accuracy': 0.7403508771929824; 'macro avg': {'precision': 0.7531717631750163; 'recall': 0.6660620932465593; 'f1-score': 0.6734485321441843; 'support': 285}; 'weighted avg': {'precision': 0.7475133833281968; 'recall': 0.7403508771929824; 'f1-score': 0.7144197357012003; 'support': 285}},{'0.0': {'precision': 0.5; 'recall': 0.5454545454545454; 'f1-score': 0.5217391304347826; 'support': 11}; '1.0': {'precision': 0.7368421052631579; 'recall': 0.7; 'f1-score': 0.717948717948718; 'support': 20}; 'accuracy': 0.6451612903225806; 'macro avg': {'precision': 0.618421052631579; 'recall': 0.6227272727272727; 'f1-score': 0.6198439241917503; 'support': 31}; 'weighted avg': {'precision': 0.6528013582342954; 'recall': 0.6451612903225806; 'f1-score': 0.6483259610889344; 'support': 31}}
5,1,CNF,8,285,31,17,[16; 17],222,0.905100,0.612903,2,[X2 >= 0.739470 OR X5 >= 0.001010],{'0.0': {'precision': 0.8518518518518519; 'recall': 0.44660194174757284; 'f1-score': 0.5859872611464969; 'support': 103}; '1.0': {'precision': 0.7532467532467533; 'recall': 0.9560439560439561; 'f1-score': 0.8426150121065374; 'support': 182}; 'accuracy': 0.7719298245614035; 'macro avg': {'precision': 0.8025493025493026; 'recall': 0.7013229488957644; 'f1-score': 0.7143011366265172; 'support': 285}; 'weighted avg': {'precision': 0.788882981865438; 'recall': 0.7719298245614035; 'f1-score': 0.7498688424613298; 'support': 285}},{'0.0': {'precision': 0.42857142857142855; 'recall': 0.2727272727272727; 'f1-score': 0.33333333333333326; 'support': 11}; '1.0': {'precision': 0.6666666666666666; 'recall': 0.8; 'f1-score': 0.7272727272727272; 'support': 20}; 'accuracy': 0.6129032258064516; 'macro avg': {'precision': 0.5476190476190476; 'recall': 0.5363636363636364; 'f1-score': 0.5303030303030303; 'support': 31}; 'weighted avg': {'precision': 0.5821812596006144; 'recall': 0.6129032258064516; 'f1-score': 0.587487781036168; 'support': 31}}
5,1,CNF,9,285,31,17,[16; 17],222,0.822617,0.645161,3,[X7 < -0.000375 OR X10 < -0.010580 OR X18 >= 0.467840],{'0.0': {'precision': 0.5416666666666666; 'recall': 0.3786407766990291; 'f1-score': 0.44571428571428573; 'support': 103}; '1.0': {'precision': 0.6995305164319249; 'recall': 0.8186813186813187; 'f1-score': 0.7544303797468355; 'support': 182}; 'accuracy': 0.6596491228070176; 'macro avg': {'precision': 0.6205985915492958; 'recall': 0.5986610476901739; 'f1-score': 0.6000723327305606; 'support': 285}; 'weighted avg': {'precision': 0.6424779672185158; 'recall': 0.6596491228070176; 'f1-score': 0.642859300149107; 'support': 285}},{'0.0': {'precision': 0.5; 'recall': 0.18181818181818182; 'f1-score': 0.26666666666666666; 'support': 11}; '1.0': {'precision': 0.6666666666666666; 'recall': 0.9; 'f1-score': 0.7659574468085106; 'support': 20}; 'accuracy': 0.6451612903225806; 'macro avg': {'precision': 0.5833333333333333; 'recall': 0.5409090909090909; 'f1-score': 0.5163120567375886; 'support': 31}; 'weighted avg': {'precision': 0.6075268817204301; 'recall': 0.6451612903225806; 'f1-score': 0.5887897506291466; 'support': 31}}
5,1,CNF,0,284,32,8,[35; 36],222,0.439213,0.718750,3,[X15 >= 0.001430 OR X21 < -0.001400 OR X33 < -0.974115],{'0.0': {'precision': 0.7538461538461538; 'recall': 0.47572815533980584; 'f1-score': 0.5833333333333334; 'support': 103}; '1.0': {'precision': 0.7534246575342466; 'recall': 0.9116022099447514; 'f1-score': 0.825; 'support': 181}; 'accuracy': 0.7535211267605634; 'macro avg': {'precision': 0.7536354056902002; 'recall': 0.6936651826422786; 'f1-score': 0.7041666666666666; 'support': 284}; 'weighted avg': {'precision': 0.7535775241544101; 'recall': 0.7535211267605634; 'f1-score': 0.7373532863849765; 'support': 284}},{'0.0': {'precision': 0.75; 'recall': 0.2727272727272727; 'f1-score': 0.39999999999999997; 'support': 11}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.9523809523809523; 'f1-score': 0.8163265306122449; 'support': 21}; 'accuracy': 0.71875; 'macro avg': {'precision': 0.7321428571428572; 'recall': 0.6125541125541125; 'f1-score': 0.6081632653061224; 'support': 32}; 'weighted avg': {'precision': 0.7265625; 'recall': 0.71875; 'f1-score': 0.6732142857142857; 'support': 32}}
5,1,CNF,1,284,32,8,[35; 36],222,0.565050,0.750000,2,[X8 < -0.036395 OR X26 < 0.999945],{'0.0': {'precision': 0.835820895522388; 'recall': 0.5436893203883495; 'f1-score': 0.6588235294117647; 'support': 103}; '1.0': {'precision': 0.783410138248848; 'recall': 0.9392265193370166; 'f1-score': 0.8542713567839197; 'support': 181}; 'accuracy': 0.795774647887324; 'macro avg': {'precision': 0.8096155168856181; 'recall': 0.7414579198626831; 'f1-score': 0.7565474430978423; 'support': 284}; 'weighted avg': {'precision': 0.802418265006505; 'recall': 0.795774647887324; 'f1-score': 0.7833871095327508; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.2727272727272727; 'f1-score': 0.42857142857142855; 'support': 11}; '1.0': {'precision': 0.7241379310344828; 'recall': 1.0; 'f1-score': 0.8400000000000001; 'support': 21}; 'accuracy': 0.75; 'macro avg': {'precision': 0.8620689655172413; 'recall': 0.6363636363636364; 'f1-score': 0.6342857142857143; 'support': 32}; 'weighted avg': {'precision': 0.8189655172413793; 'recall': 0.75; 'f1-score': 0.6985714285714286; 'support': 32}}
5,1,CNF,2,284,32,8,[35; 36],222,0.512026,0.875000,1,[X6 >= 0.029375],{'0.0': {'precision': 0.9310344827586207; 'recall': 0.5294117647058824; 'f1-score': 0.6749999999999999; 'support': 102}; '1.0': {'precision': 0.7876106194690266; 'recall': 0.978021978021978; 'f1-score': 0.8725490196078431; 'support': 182}; 'accuracy': 0.8169014084507042; 'macro avg': {'precision': 0.8593225511138236; 'recall': 0.7537168713639302; 'f1-score': 0.7737745098039215; 'support': 284}; 'weighted avg': {'precision': 0.8391220069885286; 'recall': 0.8169014084507042; 'f1-score': 0.801598315382491; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.6666666666666666; 'f1-score': 0.8; 'support': 12}; '1.0': {'precision': 0.8333333333333334; 'recall': 1.0; 'f1-score': 0.9090909090909091; 'support': 20}; 'accuracy': 0.875; 'macro avg': {'precision': 0.9166666666666667; 'recall': 0.8333333333333333; 'f1-score': 0.8545454545454545; 'support': 32}; 'weighted avg': {'precision': 0.8958333333333334; 'recall': 0.875; 'f1-score': 0.8681818181818182; 'support': 32}}
