lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,460,52,1,[460; 460],122,2.026481,0.923077,3,[X12 >= 5.131000 OR X23 >= 884.550000 OR X27 >= 0.142350],{'0.0': {'precision': 0.9750889679715302; 'recall': 0.9480968858131488; 'f1-score': 0.9614035087719298; 'support': 289}; '1.0': {'precision': 0.9162011173184358; 'recall': 0.9590643274853801; 'f1-score': 0.9371428571428572; 'support': 171}; 'accuracy': 0.9521739130434783; 'macro avg': {'precision': 0.945645042644983; 'recall': 0.9535806066492645; 'f1-score': 0.9492731829573935; 'support': 460}; 'weighted avg': {'precision': 0.9531980495765755; 'recall': 0.9521739130434783; 'f1-score': 0.9523848752315571; 'support': 460}},{'0.0': {'precision': 0.9393939393939394; 'recall': 0.9393939393939394; 'f1-score': 0.9393939393939394; 'support': 33}; '1.0': {'precision': 0.8947368421052632; 'recall': 0.8947368421052632; 'f1-score': 0.8947368421052632; 'support': 19}; 'accuracy': 0.9230769230769231; 'macro avg': {'precision': 0.9170653907496014; 'recall': 0.9170653907496014; 'f1-score': 0.9170653907496014; 'support': 52}; 'weighted avg': {'precision': 0.9230769230769231; 'recall': 0.9230769230769231; 'f1-score': 0.9230769230769231; 'support': 52}}
5,1,DNF,1,460,52,1,[460; 460],122,3.531427,0.980769,4,[X7 >= 0.051420 AND X10 >= 0.193650 AND X23 >= 696.050000 AND X26 >= 0.216400],{'0.0': {'precision': 0.9248366013071896; 'recall': 0.9792387543252595; 'f1-score': 0.9512605042016807; 'support': 289}; '1.0': {'precision': 0.961038961038961; 'recall': 0.8654970760233918; 'f1-score': 0.9107692307692308; 'support': 171}; 'accuracy': 0.9369565217391305; 'macro avg': {'precision': 0.9429377811730753; 'recall': 0.9223679151743256; 'f1-score': 0.9310148674854557; 'support': 460}; 'weighted avg': {'precision': 0.9382944350335655; 'recall': 0.9369565217391305; 'f1-score': 0.9362083134257047; 'support': 460}},{'0.0': {'precision': 0.9705882352941176; 'recall': 1.0; 'f1-score': 0.9850746268656716; 'support': 33}; '1.0': {'precision': 1.0; 'recall': 0.9473684210526315; 'f1-score': 0.972972972972973; 'support': 19}; 'accuracy': 0.9807692307692307; 'macro avg': {'precision': 0.9852941176470589; 'recall': 0.9736842105263157; 'f1-score': 0.9790237999193223; 'support': 52}; 'weighted avg': {'precision': 0.9813348416289593; 'recall': 0.9807692307692307; 'f1-score': 0.9806528687125702; 'support': 52}}
5,1,DNF,2,461,51,1,[461; 461],122,4.316474,0.960784,4,[X7 >= 0.051420 AND X10 >= 0.193650 AND X23 >= 696.050000 AND X26 >= 0.216400],{'0.0': {'precision': 0.9281045751633987; 'recall': 0.9793103448275862; 'f1-score': 0.9530201342281879; 'support': 290}; '1.0': {'precision': 0.9612903225806452; 'recall': 0.8713450292397661; 'f1-score': 0.9141104294478527; 'support': 171}; 'accuracy': 0.9392624728850325; 'macro avg': {'precision': 0.9446974488720219; 'recall': 0.9253276870336762; 'f1-score': 0.9335652818380202; 'support': 461}; 'weighted avg': {'precision': 0.9404142558756527; 'recall': 0.9392624728850325; 'f1-score': 0.9385872502424236; 'support': 461}},{'0.0': {'precision': 0.9411764705882353; 'recall': 1.0; 'f1-score': 0.9696969696969697; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.8947368421052632; 'f1-score': 0.9444444444444444; 'support': 19}; 'accuracy': 0.9607843137254902; 'macro avg': {'precision': 0.9705882352941176; 'recall': 0.9473684210526316; 'f1-score': 0.9570707070707071; 'support': 51}; 'weighted avg': {'precision': 0.9630911188004614; 'recall': 0.9607843137254902; 'f1-score': 0.960289166171519; 'support': 51}}
5,1,DNF,3,461,51,1,[461; 461],122,2.508327,0.882353,3,[X13 >= 18.515000 AND X22 >= 101.650000 AND X27 >= 0.109550],{'0.0': {'precision': 0.9518900343642611; 'recall': 0.9551724137931035; 'f1-score': 0.9535283993115319; 'support': 290}; '1.0': {'precision': 0.9235294117647059; 'recall': 0.9181286549707602; 'f1-score': 0.9208211143695014; 'support': 171}; 'accuracy': 0.9414316702819957; 'macro avg': {'precision': 0.9377097230644835; 'recall': 0.9366505343819318; 'f1-score': 0.9371747568405167; 'support': 461}; 'weighted avg': {'precision': 0.9413701504932764; 'recall': 0.9414316702819957; 'f1-score': 0.9413961960033167; 'support': 461}},{'0.0': {'precision': 0.9333333333333333; 'recall': 0.875; 'f1-score': 0.9032258064516129; 'support': 32}; '1.0': {'precision': 0.8095238095238095; 'recall': 0.8947368421052632; 'f1-score': 0.8500000000000001; 'support': 19}; 'accuracy': 0.8823529411764706; 'macro avg': {'precision': 0.8714285714285714; 'recall': 0.8848684210526316; 'f1-score': 0.8766129032258065; 'support': 51}; 'weighted avg': {'precision': 0.8872082166199813; 'recall': 0.8823529411764706; 'f1-score': 0.8833965844402277; 'support': 51}}
5,1,DNF,4,461,51,1,[461; 461],122,2.487628,0.941176,4,[X7 >= 0.051420 AND X13 >= 18.515000 AND X20 >= 14.905000 AND X26 >= 0.216400],{'0.0': {'precision': 0.9283387622149837; 'recall': 0.9827586206896551; 'f1-score': 0.9547738693467336; 'support': 290}; '1.0': {'precision': 0.9675324675324676; 'recall': 0.8713450292397661; 'f1-score': 0.9169230769230768; 'support': 171}; 'accuracy': 0.9414316702819957; 'macro avg': {'precision': 0.9479356148737257; 'recall': 0.9270518249647106; 'f1-score': 0.9358484731349053; 'support': 461}; 'weighted avg': {'precision': 0.9428769913023801; 'recall': 0.9414316702819957; 'f1-score': 0.9407337706386093; 'support': 461}},{'0.0': {'precision': 0.9393939393939394; 'recall': 0.96875; 'f1-score': 0.9538461538461539; 'support': 32}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.8947368421052632; 'f1-score': 0.918918918918919; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9419191919191919; 'recall': 0.9317434210526316; 'f1-score': 0.9363825363825364; 'support': 51}; 'weighted avg': {'precision': 0.9412755000990295; 'recall': 0.9411764705882353; 'f1-score': 0.9408340467163996; 'support': 51}}
5,1,DNF,5,461,51,1,[461; 461],122,2.023001,0.921569,4,[X7 >= 0.051420 AND X10 >= 0.193650 AND X20 >= 14.905000 AND X26 >= 0.216400],{'0.0': {'precision': 0.9313725490196079; 'recall': 0.9827586206896551; 'f1-score': 0.9563758389261745; 'support': 290}; '1.0': {'precision': 0.967741935483871; 'recall': 0.8771929824561403; 'f1-score': 0.9202453987730062; 'support': 171}; 'accuracy': 0.9436008676789588; 'macro avg': {'precision': 0.9495572422517394; 'recall': 0.9299758015728977; 'f1-score': 0.9383106188495903; 'support': 461}; 'weighted avg': {'precision': 0.9448631457341177; 'recall': 0.9436008676789588; 'f1-score': 0.9429738752251078; 'support': 461}},{'0.0': {'precision': 0.9375; 'recall': 0.9375; 'f1-score': 0.9375; 'support': 32}; '1.0': {'precision': 0.8947368421052632; 'recall': 0.8947368421052632; 'f1-score': 0.8947368421052632; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9161184210526316; 'recall': 0.9161184210526316; 'f1-score': 0.9161184210526316; 'support': 51}; 'weighted avg': {'precision': 0.9215686274509803; 'recall': 0.9215686274509803; 'f1-score': 0.9215686274509803; 'support': 51}}
5,1,DNF,6,461,51,1,[461; 461],122,1.737208,0.823529,4,[X7 >= 0.051420 AND X13 >= 18.515000 AND X20 >= 14.905000 AND X26 >= 0.216400],{'0.0': {'precision': 0.940983606557377; 'recall': 0.9896551724137931; 'f1-score': 0.9647058823529411; 'support': 290}; '1.0': {'precision': 0.9807692307692307; 'recall': 0.8947368421052632; 'f1-score': 0.9357798165137614; 'support': 171}; 'accuracy': 0.9544468546637744; 'macro avg': {'precision': 0.9608764186633039; 'recall': 0.9421960072595281; 'f1-score': 0.9502428494333512; 'support': 461}; 'weighted avg': {'precision': 0.9557413977509279; 'recall': 0.9544468546637744; 'f1-score': 0.9539762570633538; 'support': 461}},{'0.0': {'precision': 0.8285714285714286; 'recall': 0.90625; 'f1-score': 0.8656716417910447; 'support': 32}; '1.0': {'precision': 0.8125; 'recall': 0.6842105263157895; 'f1-score': 0.742857142857143; 'support': 19}; 'accuracy': 0.8235294117647058; 'macro avg': {'precision': 0.8205357142857144; 'recall': 0.7952302631578947; 'f1-score': 0.8042643923240939; 'support': 51}; 'weighted avg': {'precision': 0.8225840336134455; 'recall': 0.8235294117647058; 'f1-score': 0.8199172206195912; 'support': 51}}
5,1,DNF,7,461,51,1,[461; 461],122,4.355639,0.941176,3,[X7 >= 0.051420 AND X20 >= 14.905000 AND X26 >= 0.216400],{'0.0': {'precision': 0.930921052631579; 'recall': 0.9758620689655172; 'f1-score': 0.9528619528619529; 'support': 290}; '1.0': {'precision': 0.9554140127388535; 'recall': 0.8771929824561403; 'f1-score': 0.9146341463414634; 'support': 171}; 'accuracy': 0.9392624728850325; 'macro avg': {'precision': 0.9431675326852162; 'recall': 0.9265275257108287; 'f1-score': 0.9337480496017081; 'support': 461}; 'weighted avg': {'precision': 0.9400062937993534; 'recall': 0.9392624728850325; 'f1-score': 0.9386820072762616; 'support': 461}},{'0.0': {'precision': 0.9393939393939394; 'recall': 0.96875; 'f1-score': 0.9538461538461539; 'support': 32}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.8947368421052632; 'f1-score': 0.918918918918919; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9419191919191919; 'recall': 0.9317434210526316; 'f1-score': 0.9363825363825364; 'support': 51}; 'weighted avg': {'precision': 0.9412755000990295; 'recall': 0.9411764705882353; 'f1-score': 0.9408340467163996; 'support': 51}}
5,1,DNF,8,461,51,1,[461; 461],122,3.086390,0.901961,3,[X7 >= 0.051420 AND X10 >= 0.193650 AND X26 >= 0.216400],{'0.0': {'precision': 0.9427609427609428; 'recall': 0.9655172413793104; 'f1-score': 0.9540034071550255; 'support': 290}; '1.0': {'precision': 0.9390243902439024; 'recall': 0.9005847953216374; 'f1-score': 0.9194029850746269; 'support': 171}; 'accuracy': 0.9414316702819957; 'macro avg': {'precision': 0.9408926665024226; 'recall': 0.9330510183504739; 'f1-score': 0.9367031961148262; 'support': 461}; 'weighted avg': {'precision': 0.9413749330420406; 'recall': 0.9414316702819957; 'f1-score': 0.9411689772727084; 'support': 461}},{'0.0': {'precision': 0.9090909090909091; 'recall': 0.9375; 'f1-score': 0.923076923076923; 'support': 32}; '1.0': {'precision': 0.8888888888888888; 'recall': 0.8421052631578947; 'f1-score': 0.8648648648648649; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.898989898989899; 'recall': 0.8898026315789473; 'f1-score': 0.8939708939708939; 'support': 51}; 'weighted avg': {'precision': 0.9015646662705487; 'recall': 0.9019607843137255; 'f1-score': 0.901390077860666; 'support': 51}}
5,1,DNF,9,461,51,1,[461; 461],122,5.255448,0.980392,4,[X7 >= 0.051420 AND X13 >= 18.515000 AND X20 >= 14.905000 AND X26 >= 0.216400],{'0.0': {'precision': 0.9250814332247557; 'recall': 0.9793103448275862; 'f1-score': 0.9514237855946398; 'support': 290}; '1.0': {'precision': 0.961038961038961; 'recall': 0.8654970760233918; 'f1-score': 0.9107692307692308; 'support': 171}; 'accuracy': 0.9370932754880694; 'macro avg': {'precision': 0.9430601971318584; 'recall': 0.922403710425489; 'f1-score': 0.9310965081819353; 'support': 461}; 'weighted avg': {'precision': 0.938419258075578; 'recall': 0.9370932754880694; 'f1-score': 0.9363436795748025; 'support': 461}},{'0.0': {'precision': 0.9696969696969697; 'recall': 1.0; 'f1-score': 0.9846153846153847; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.9473684210526315; 'f1-score': 0.972972972972973; 'support': 19}; 'accuracy': 0.9803921568627451; 'macro avg': {'precision': 0.9848484848484849; 'recall': 0.9736842105263157; 'f1-score': 0.9787941787941788; 'support': 51}; 'weighted avg': {'precision': 0.9809863339275104; 'recall': 0.9803921568627451; 'f1-score': 0.9802780155721332; 'support': 51}}
5,2,CNF,0,460,52,1,[460; 460],122,15.624011,0.923077,6,[X7 >= 0.051420 OR X10 >= 0.547850 OR X20 >= 16.795000] AND [X21 >= 23.350000 OR X22 >= 117.450000 OR X27 >= 0.175750],{'0.0': {'precision': 0.986159169550173; 'recall': 0.986159169550173; 'f1-score': 0.986159169550173; 'support': 289}; '1.0': {'precision': 0.9766081871345029; 'recall': 0.9766081871345029; 'f1-score': 0.9766081871345029; 'support': 171}; 'accuracy': 0.9826086956521739; 'macro avg': {'precision': 0.981383678342338; 'recall': 0.981383678342338; 'f1-score': 0.981383678342338; 'support': 460}; 'weighted avg': {'precision': 0.9826086956521739; 'recall': 0.9826086956521739; 'f1-score': 0.9826086956521739; 'support': 460}},{'0.0': {'precision': 0.967741935483871; 'recall': 0.9090909090909091; 'f1-score': 0.9374999999999999; 'support': 33}; '1.0': {'precision': 0.8571428571428571; 'recall': 0.9473684210526315; 'f1-score': 0.9; 'support': 19}; 'accuracy': 0.9230769230769231; 'macro avg': {'precision': 0.9124423963133641; 'recall': 0.9282296650717703; 'f1-score': 0.91875; 'support': 52}; 'weighted avg': {'precision': 0.9273307337823467; 'recall': 0.9230769230769231; 'f1-score': 0.9237980769230768; 'support': 52}}
5,2,CNF,1,460,52,1,[460; 460],122,54.385756,1.000000,6,[X7 >= 0.051420 OR X10 >= 0.547850 OR X20 >= 16.795000] AND [X21 >= 23.350000 OR X22 >= 117.450000 OR X27 >= 0.175750],{'0.0': {'precision': 0.9825783972125436; 'recall': 0.9757785467128027; 'f1-score': 0.9791666666666666; 'support': 289}; '1.0': {'precision': 0.9595375722543352; 'recall': 0.9707602339181286; 'f1-score': 0.9651162790697674; 'support': 171}; 'accuracy': 0.9739130434782609; 'macro avg': {'precision': 0.9710579847334394; 'recall': 0.9732693903154657; 'f1-score': 0.972141472868217; 'support': 460}; 'weighted avg': {'precision': 0.9740132209780792; 'recall': 0.9739130434782609; 'f1-score': 0.9739435877991236; 'support': 460}},{'0.0': {'precision': 1.0; 'recall': 1.0; 'f1-score': 1.0; 'support': 33}; '1.0': {'precision': 1.0; 'recall': 1.0; 'f1-score': 1.0; 'support': 19}; 'accuracy': 1.0; 'macro avg': {'precision': 1.0; 'recall': 1.0; 'f1-score': 1.0; 'support': 52}; 'weighted avg': {'precision': 1.0; 'recall': 1.0; 'f1-score': 1.0; 'support': 52}}
