l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,58,[8; 9],14,1.172090,0.716981,4,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.5; 'recall': 0.6343283582089553; 'f1-score': 0.5592105263157895; 'support': 134}; '1.0': {'precision': 0.8355704697986577; 'recall': 0.7455089820359282; 'f1-score': 0.7879746835443038; 'support': 334}; 'accuracy': 0.7136752136752137; 'macro avg': {'precision': 0.6677852348993288; 'recall': 0.6899186701224418; 'f1-score': 0.6735926049300467; 'support': 468}; 'weighted avg': {'precision': 0.7394883267366489; 'recall': 0.7136752136752138; 'f1-score': 0.7224738351070796; 'support': 468}},{'0.0': {'precision': 0.5; 'recall': 0.6666666666666666; 'f1-score': 0.5714285714285715; 'support': 15}; '1.0': {'precision': 0.8484848484848485; 'recall': 0.7368421052631579; 'f1-score': 0.7887323943661972; 'support': 38}; 'accuracy': 0.7169811320754716; 'macro avg': {'precision': 0.6742424242424243; 'recall': 0.7017543859649122; 'f1-score': 0.6800804828973843; 'support': 53}; 'weighted avg': {'precision': 0.7498570611778159; 'recall': 0.7169811320754716; 'f1-score': 0.7272313124027183; 'support': 53}}
l: 5,1,CNF,0,468,53,29,[16; 17],14,0.592068,0.641509,3,[X3 >= 1.250000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.44285714285714284; 'recall': 0.6940298507462687; 'f1-score': 0.5406976744186046; 'support': 134}; '1.0': {'precision': 0.8410852713178295; 'recall': 0.6497005988023952; 'f1-score': 0.7331081081081082; 'support': 334}; 'accuracy': 0.6623931623931624; 'macro avg': {'precision': 0.6419712070874861; 'recall': 0.671865224774332; 'f1-score': 0.6369028912633564; 'support': 468}; 'weighted avg': {'precision': 0.7270626875278039; 'recall': 0.6623931623931624; 'f1-score': 0.6780162317953016; 'support': 468}},{'0.0': {'precision': 0.4166666666666667; 'recall': 0.6666666666666666; 'f1-score': 0.5128205128205129; 'support': 15}; '1.0': {'precision': 0.8275862068965517; 'recall': 0.631578947368421; 'f1-score': 0.716417910447761; 'support': 38}; 'accuracy': 0.6415094339622641; 'macro avg': {'precision': 0.6221264367816092; 'recall': 0.6491228070175439; 'f1-score': 0.6146192116341369; 'support': 53}; 'weighted avg': {'precision': 0.711288223812622; 'recall': 0.6415094339622641; 'f1-score': 0.6587960054589173; 'support': 53}}
l: 5,1,CNF,1,469,52,29,[16; 17],14,0.614654,0.615385,2,[X2 >= 1.650000 OR X6 >= 59.500000],{'0.0': {'precision': 0.44672131147540983; 'recall': 0.8074074074074075; 'f1-score': 0.5751978891820579; 'support': 135}; '1.0': {'precision': 0.8844444444444445; 'recall': 0.5958083832335329; 'f1-score': 0.7119856887298748; 'support': 334}; 'accuracy': 0.6567164179104478; 'macro avg': {'precision': 0.6655828779599271; 'recall': 0.7016078953204702; 'f1-score': 0.6435917889559664; 'support': 469}; 'weighted avg': {'precision': 0.7584473805834216; 'recall': 0.6567164179104478; 'f1-score': 0.6726118018664307; 'support': 469}},{'0.0': {'precision': 0.38461538461538464; 'recall': 0.7142857142857143; 'f1-score': 0.5; 'support': 14}; '1.0': {'precision': 0.8461538461538461; 'recall': 0.5789473684210527; 'f1-score': 0.6875; 'support': 38}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.6153846153846154; 'recall': 0.6466165413533835; 'f1-score': 0.59375; 'support': 52}; 'weighted avg': {'precision': 0.7218934911242604; 'recall': 0.6153846153846154; 'f1-score': 0.6370192307692307; 'support': 52}}
l: 5,1,CNF,2,469,52,29,[16; 17],14,0.599715,0.596154,3,[X2 >= 1.650000 OR X3 >= 1.250000 OR X9 < 0.895000],{'0.0': {'precision': 0.43601895734597157; 'recall': 0.6865671641791045; 'f1-score': 0.5333333333333333; 'support': 134}; '1.0': {'precision': 0.8372093023255814; 'recall': 0.6447761194029851; 'f1-score': 0.7284991568296796; 'support': 335}; 'accuracy': 0.6567164179104478; 'macro avg': {'precision': 0.6366141298357765; 'recall': 0.6656716417910448; 'f1-score': 0.6309162450815065; 'support': 469}; 'weighted avg': {'precision': 0.7225834894742643; 'recall': 0.6567164179104478; 'f1-score': 0.6727374929735807; 'support': 469}},{'0.0': {'precision': 0.39285714285714285; 'recall': 0.7333333333333333; 'f1-score': 0.5116279069767441; 'support': 15}; '1.0': {'precision': 0.8333333333333334; 'recall': 0.5405405405405406; 'f1-score': 0.6557377049180328; 'support': 37}; 'accuracy': 0.5961538461538461; 'macro avg': {'precision': 0.6130952380952381; 'recall': 0.6369369369369369; 'f1-score': 0.5836828059473884; 'support': 52}; 'weighted avg': {'precision': 0.7062728937728939; 'recall': 0.5961538461538461; 'f1-score': 0.6141675708965073; 'support': 52}}
l: 5,1,CNF,3,469,52,29,[16; 17],14,0.587580,0.711538,5,[X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X6 < 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5454545454545454; 'recall': 0.04477611940298507; 'f1-score': 0.08275862068965516; 'support': 134}; '1.0': {'precision': 0.7205240174672489; 'recall': 0.9850746268656716; 'f1-score': 0.832282471626734; 'support': 335}; 'accuracy': 0.7164179104477612; 'macro avg': {'precision': 0.6329892814608972; 'recall': 0.5149253731343283; 'f1-score': 0.45752054615819454; 'support': 469}; 'weighted avg': {'precision': 0.6705041683207622; 'recall': 0.7164179104477612; 'f1-score': 0.6181327999304257; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
l: 5,1,CNF,4,469,52,29,[16; 17],14,0.604997,0.576923,3,[X2 >= 1.650000 OR X3 >= 1.250000 OR X9 < 0.895000],{'0.0': {'precision': 0.4386792452830189; 'recall': 0.6940298507462687; 'f1-score': 0.5375722543352601; 'support': 134}; '1.0': {'precision': 0.8404669260700389; 'recall': 0.6447761194029851; 'f1-score': 0.7297297297297297; 'support': 335}; 'accuracy': 0.6588486140724946; 'macro avg': {'precision': 0.6395730856765289; 'recall': 0.6694029850746268; 'f1-score': 0.6336509920324949; 'support': 469}; 'weighted avg': {'precision': 0.725670445845176; 'recall': 0.6588486140724946; 'f1-score': 0.6748275939027384; 'support': 469}},{'0.0': {'precision': 0.37037037037037035; 'recall': 0.6666666666666666; 'f1-score': 0.47619047619047616; 'support': 15}; '1.0': {'precision': 0.8; 'recall': 0.5405405405405406; 'f1-score': 0.6451612903225806; 'support': 37}; 'accuracy': 0.5769230769230769; 'macro avg': {'precision': 0.5851851851851853; 'recall': 0.6036036036036037; 'f1-score': 0.5606758832565284; 'support': 52}; 'weighted avg': {'precision': 0.6760683760683761; 'recall': 0.5769230769230769; 'f1-score': 0.5964197093229351; 'support': 52}}
l: 5,1,CNF,5,469,52,29,[16; 17],14,0.583750,0.692308,4,[(NOT X1) OR X2 >= 1.650000 OR X4 >= 211.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.5130434782608696; 'recall': 0.44029850746268656; 'f1-score': 0.4738955823293173; 'support': 134}; '1.0': {'precision': 0.788135593220339; 'recall': 0.8328358208955224; 'f1-score': 0.8098693759071117; 'support': 335}; 'accuracy': 0.720682302771855; 'macro avg': {'precision': 0.6505895357406043; 'recall': 0.6365671641791045; 'f1-score': 0.6418824791182145; 'support': 469}; 'weighted avg': {'precision': 0.709537846089062; 'recall': 0.720682302771855; 'f1-score': 0.7138768634563133; 'support': 469}},{'0.0': {'precision': 0.42857142857142855; 'recall': 0.2; 'f1-score': 0.27272727272727276; 'support': 15}; '1.0': {'precision': 0.7333333333333333; 'recall': 0.8918918918918919; 'f1-score': 0.8048780487804879; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5809523809523809; 'recall': 0.5459459459459459; 'f1-score': 0.5388026607538803; 'support': 52}; 'weighted avg': {'precision': 0.6454212454212455; 'recall': 0.6923076923076923; 'f1-score': 0.6513730172266758; 'support': 52}}
l: 5,1,CNF,6,469,52,29,[16; 17],14,0.584224,0.653846,4,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 < 211.500000 OR X5 >= 61.500000],{'0.0': {'precision': 0.2987012987012987; 'recall': 0.17164179104477612; 'f1-score': 0.21800947867298578; 'support': 134}; '1.0': {'precision': 0.7168367346938775; 'recall': 0.8388059701492537; 'f1-score': 0.7730398899587346; 'support': 335}; 'accuracy': 0.6481876332622601; 'macro avg': {'precision': 0.5077690166975881; 'recall': 0.505223880597015; 'f1-score': 0.4955246843158602; 'support': 469}; 'weighted avg': {'precision': 0.5973694672674263; 'recall': 0.6481876332622601; 'f1-score': 0.6144597724485207; 'support': 469}},{'0.0': {'precision': 0.36363636363636365; 'recall': 0.26666666666666666; 'f1-score': 0.30769230769230765; 'support': 15}; '1.0': {'precision': 0.7317073170731707; 'recall': 0.8108108108108109; 'f1-score': 0.7692307692307694; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.5476718403547671; 'recall': 0.5387387387387388; 'f1-score': 0.5384615384615385; 'support': 52}; 'weighted avg': {'precision': 0.6255330035817841; 'recall': 0.6538461538461539; 'f1-score': 0.636094674556213; 'support': 52}}
l: 5,1,CNF,7,469,52,29,[16; 17],14,0.578418,0.711538,4,[X1 OR (NOT X1) OR X2 >= 1.650000 OR X6 >= 59.500000],{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; '1.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 335}; 'accuracy': 0.7142857142857143; 'macro avg': {'precision': 0.35714285714285715; 'recall': 0.5; 'f1-score': 0.41666666666666663; 'support': 469}; 'weighted avg': {'precision': 0.5102040816326531; 'recall': 0.7142857142857143; 'f1-score': 0.5952380952380951; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
l: 5,1,CNF,8,469,52,29,[16; 17],14,0.589472,0.750000,5,[(NOT X1) OR X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000],{'0.0': {'precision': 0.48760330578512395; 'recall': 0.44029850746268656; 'f1-score': 0.46274509803921565; 'support': 134}; '1.0': {'precision': 0.7844827586206896; 'recall': 0.8149253731343283; 'f1-score': 0.7994143484626647; 'support': 335}; 'accuracy': 0.7078891257995735; 'macro avg': {'precision': 0.6360430322029068; 'recall': 0.6276119402985074; 'f1-score': 0.6310797232509402; 'support': 469}; 'weighted avg': {'precision': 0.6996600578105281; 'recall': 0.7078891257995735; 'f1-score': 0.703223134055965; 'support': 469}},{'0.0': {'precision': 0.625; 'recall': 0.3333333333333333; 'f1-score': 0.43478260869565216; 'support': 15}; '1.0': {'precision': 0.7727272727272727; 'recall': 0.918918918918919; 'f1-score': 0.8395061728395061; 'support': 37}; 'accuracy': 0.75; 'macro avg': {'precision': 0.6988636363636364; 'recall': 0.6261261261261262; 'f1-score': 0.6371443907675791; 'support': 52}; 'weighted avg': {'precision': 0.7301136363636365; 'recall': 0.75; 'f1-score': 0.7227589908749329; 'support': 52}}
l: 5,1,CNF,9,469,52,29,[16; 17],14,0.602869,0.557692,4,[X3 >= 1.250000 OR X4 < 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.36363636363636365; 'recall': 0.14925373134328357; 'f1-score': 0.21164021164021163; 'support': 134}; '1.0': {'precision': 0.7246376811594203; 'recall': 0.8955223880597015; 'f1-score': 0.801068090787717; 'support': 335}; 'accuracy': 0.6823027718550106; 'macro avg': {'precision': 0.544137022397892; 'recall': 0.5223880597014925; 'f1-score': 0.5063541512139643; 'support': 469}; 'weighted avg': {'precision': 0.621494447581404; 'recall': 0.6823027718550106; 'f1-score': 0.6326601253170012; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.6590909090909091; 'recall': 0.7837837837837838; 'f1-score': 0.7160493827160493; 'support': 37}; 'accuracy': 0.5576923076923077; 'macro avg': {'precision': 0.32954545454545453; 'recall': 0.3918918918918919; 'f1-score': 0.35802469135802467; 'support': 52}; 'weighted avg': {'precision': 0.46896853146853146; 'recall': 0.5576923076923077; 'f1-score': 0.5094966761633428; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [16, 17], 'n_partitions': 29}, (mean val acc cv) 0.650689 (+- 0.061159), (mean training time) 0.593775 (+- 0.010804)
l: 5,1,CNF,0,468,53,14,[33; 34],14,0.304122,0.547170,3,[X3 >= 1.250000 OR X4 < 211.500000 OR X5 >= 61.500000],{'0.0': {'precision': 0.32978723404255317; 'recall': 0.23134328358208955; 'f1-score': 0.27192982456140347; 'support': 134}; '1.0': {'precision': 0.7245989304812834; 'recall': 0.811377245508982; 'f1-score': 0.7655367231638419; 'support': 334}; 'accuracy': 0.6452991452991453; 'macro avg': {'precision': 0.5271930822619183; 'recall': 0.5213602645455357; 'f1-score': 0.5187332738626227; 'support': 468}; 'weighted avg': {'precision': 0.6115545558599377; 'recall': 0.6452991452991453; 'f1-score': 0.6242048333930582; 'support': 468}},{'0.0': {'precision': 0.15384615384615385; 'recall': 0.13333333333333333; 'f1-score': 0.14285714285714288; 'support': 15}; '1.0': {'precision': 0.675; 'recall': 0.7105263157894737; 'f1-score': 0.6923076923076923; 'support': 38}; 'accuracy': 0.5471698113207547; 'macro avg': {'precision': 0.41442307692307695; 'recall': 0.4219298245614035; 'f1-score': 0.4175824175824176; 'support': 53}; 'weighted avg': {'precision': 0.5275036284470247; 'recall': 0.5471698113207547; 'f1-score': 0.5368028198216878; 'support': 53}}
