l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,58,[8; 9],14,1.100890,0.754717,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X5 >= 61.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.4624277456647399; 'recall': 0.6015037593984962; 'f1-score': 0.5228758169934641; 'support': 133}; '1.0': {'precision': 0.8203389830508474; 'recall': 0.7223880597014926; 'f1-score': 0.7682539682539682; 'support': 335}; 'accuracy': 0.688034188034188; 'macro avg': {'precision': 0.6413833643577936; 'recall': 0.6619459095499944; 'f1-score': 0.6455648926237161; 'support': 468}; 'weighted avg': {'precision': 0.7186248920842827; 'recall': 0.688034188034188; 'f1-score': 0.6985204338145513; 'support': 468}},{'0.0': {'precision': 0.5625; 'recall': 0.6; 'f1-score': 0.5806451612903225; 'support': 15}; '1.0': {'precision': 0.8378378378378378; 'recall': 0.8157894736842105; 'f1-score': 0.8266666666666665; 'support': 38}; 'accuracy': 0.7547169811320755; 'macro avg': {'precision': 0.7001689189189189; 'recall': 0.7078947368421052; 'f1-score': 0.7036559139784946; 'support': 53}; 'weighted avg': {'precision': 0.7599120346761856; 'recall': 0.7547169811320755; 'f1-score': 0.7570379387299654; 'support': 53}}
l: 5,1,CNF,0,468,53,29,[16; 17],14,0.623981,0.735849,5,[X1 OR X3 >= 1.250000 OR X5 >= 61.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.46551724137931033; 'recall': 0.20300751879699247; 'f1-score': 0.2827225130890052; 'support': 133}; '1.0': {'precision': 0.7414634146341463; 'recall': 0.9074626865671642; 'f1-score': 0.8161073825503357; 'support': 335}; 'accuracy': 0.7072649572649573; 'macro avg': {'precision': 0.6034903280067283; 'recall': 0.5552351026820783; 'f1-score': 0.5494149478196704; 'support': 468}; 'weighted avg': {'precision': 0.6630428141151438; 'recall': 0.7072649572649573; 'f1-score': 0.6645257850324788; 'support': 468}},{'0.0': {'precision': 0.5714285714285714; 'recall': 0.26666666666666666; 'f1-score': 0.36363636363636365; 'support': 15}; '1.0': {'precision': 0.7608695652173914; 'recall': 0.9210526315789473; 'f1-score': 0.8333333333333333; 'support': 38}; 'accuracy': 0.7358490566037735; 'macro avg': {'precision': 0.6661490683229814; 'recall': 0.593859649122807; 'f1-score': 0.5984848484848484; 'support': 53}; 'weighted avg': {'precision': 0.707254189616782; 'recall': 0.7358490566037735; 'f1-score': 0.7004002287021154; 'support': 53}}
l: 5,1,CNF,1,469,52,29,[16; 17],14,0.636536,0.653846,3,[X3 >= 1.250000 OR X6 >= 59.500000 OR X9 >= 0.895000],{'0.0': {'precision': 0.38271604938271603; 'recall': 0.23134328358208955; 'f1-score': 0.2883720930232558; 'support': 134}; '1.0': {'precision': 0.7345360824742269; 'recall': 0.8507462686567164; 'f1-score': 0.7883817427385893; 'support': 335}; 'accuracy': 0.673773987206823; 'macro avg': {'precision': 0.5586260659284714; 'recall': 0.541044776119403; 'f1-score': 0.5383769178809226; 'support': 469}; 'weighted avg': {'precision': 0.6340160730195095; 'recall': 0.673773987206823; 'f1-score': 0.6455218428199226; 'support': 469}},{'0.0': {'precision': 0.25; 'recall': 0.14285714285714285; 'f1-score': 0.18181818181818182; 'support': 14}; '1.0': {'precision': 0.7272727272727273; 'recall': 0.8421052631578947; 'f1-score': 0.7804878048780488; 'support': 38}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.48863636363636365; 'recall': 0.49248120300751874; 'f1-score': 0.48115299334811534; 'support': 52}; 'weighted avg': {'precision': 0.5987762237762237; 'recall': 0.6538461538461539; 'f1-score': 0.6193075217465461; 'support': 52}}
l: 5,1,CNF,2,469,52,29,[16; 17],14,0.613608,0.653846,1,[X4 >= 211.500000],{'0.0': {'precision': 0.4291845493562232; 'recall': 0.746268656716418; 'f1-score': 0.5449591280653951; 'support': 134}; '1.0': {'precision': 0.8559322033898306; 'recall': 0.6029850746268657; 'f1-score': 0.7075306479859894; 'support': 335}; 'accuracy': 0.6439232409381663; 'macro avg': {'precision': 0.6425583763730269; 'recall': 0.6746268656716419; 'f1-score': 0.6262448880256923; 'support': 469}; 'weighted avg': {'precision': 0.7340043022373713; 'recall': 0.6439232409381663; 'f1-score': 0.6610816422943911; 'support': 469}},{'0.0': {'precision': 0.4230769230769231; 'recall': 0.7857142857142857; 'f1-score': 0.55; 'support': 14}; '1.0': {'precision': 0.8846153846153846; 'recall': 0.6052631578947368; 'f1-score': 0.71875; 'support': 38}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.6538461538461539; 'recall': 0.6954887218045113; 'f1-score': 0.634375; 'support': 52}; 'weighted avg': {'precision': 0.7603550295857987; 'recall': 0.6538461538461539; 'f1-score': 0.6733173076923078; 'support': 52}}
l: 5,1,CNF,3,469,52,29,[16; 17],14,0.628878,0.634615,3,[X2 >= 1.650000 OR X4 >= 211.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.5220125786163522; 'recall': 0.6240601503759399; 'f1-score': 0.5684931506849314; 'support': 133}; '1.0': {'precision': 0.8387096774193549; 'recall': 0.7738095238095238; 'f1-score': 0.8049535603715171; 'support': 336}; 'accuracy': 0.7313432835820896; 'macro avg': {'precision': 0.6803611280178535; 'recall': 0.6989348370927319; 'f1-score': 0.6867233555282243; 'support': 469}; 'weighted avg': {'precision': 0.7489000523856676; 'recall': 0.7313432835820896; 'f1-score': 0.7378976232962168; 'support': 469}},{'0.0': {'precision': 0.43333333333333335; 'recall': 0.8666666666666667; 'f1-score': 0.5777777777777778; 'support': 15}; '1.0': {'precision': 0.9090909090909091; 'recall': 0.5405405405405406; 'f1-score': 0.6779661016949153; 'support': 37}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.6712121212121211; 'recall': 0.7036036036036036; 'f1-score': 0.6278719397363466; 'support': 52}; 'weighted avg': {'precision': 0.7718531468531468; 'recall': 0.6346153846153846; 'f1-score': 0.6490656236418949; 'support': 52}}
l: 5,1,CNF,4,469,52,29,[16; 17],14,0.619728,0.673077,4,[(NOT X1) OR X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000],{'0.0': {'precision': 0.5304347826086957; 'recall': 0.45864661654135336; 'f1-score': 0.49193548387096775; 'support': 133}; '1.0': {'precision': 0.7966101694915254; 'recall': 0.8392857142857143; 'f1-score': 0.8173913043478261; 'support': 336}; 'accuracy': 0.7313432835820896; 'macro avg': {'precision': 0.6635224760501106; 'recall': 0.6489661654135338; 'f1-score': 0.6546633941093969; 'support': 469}; 'weighted avg': {'precision': 0.7211275970919171; 'recall': 0.7313432835820896; 'f1-score': 0.7250978627200604; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.13333333333333333; 'f1-score': 0.19047619047619044; 'support': 15}; '1.0': {'precision': 0.717391304347826; 'recall': 0.8918918918918919; 'f1-score': 0.7951807228915664; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.5253623188405797; 'recall': 0.5126126126126126; 'f1-score': 0.4928284566838784; 'support': 52}; 'weighted avg': {'precision': 0.6066053511705685; 'recall': 0.6730769230769231; 'f1-score': 0.6207467231563618; 'support': 52}}
l: 5,1,CNF,5,469,52,29,[16; 17],14,0.603256,0.634615,4,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 < 211.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.2711864406779661; 'recall': 0.12030075187969924; 'f1-score': 0.16666666666666666; 'support': 133}; '1.0': {'precision': 0.7146341463414634; 'recall': 0.8720238095238095; 'f1-score': 0.7855227882037533; 'support': 336}; 'accuracy': 0.6588486140724946; 'macro avg': {'precision': 0.4929102935097147; 'recall': 0.4961622807017544; 'f1-score': 0.47609472743521; 'support': 469}; 'weighted avg': {'precision': 0.5888803193622626; 'recall': 0.6588486140724946; 'f1-score': 0.6100262761260721; 'support': 469}},{'0.0': {'precision': 0.3; 'recall': 0.2; 'f1-score': 0.24; 'support': 15}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.8108108108108109; 'f1-score': 0.759493670886076; 'support': 37}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.5071428571428571; 'recall': 0.5054054054054055; 'f1-score': 0.499746835443038; 'support': 52}; 'weighted avg': {'precision': 0.5947802197802198; 'recall': 0.6346153846153846; 'f1-score': 0.6096397273612464; 'support': 52}}
l: 5,1,CNF,6,469,52,29,[16; 17],14,0.623698,0.634615,2,[X1 OR X2 >= 1.650000],{'0.0': {'precision': 0.41935483870967744; 'recall': 0.2932330827067669; 'f1-score': 0.34513274336283184; 'support': 133}; '1.0': {'precision': 0.75; 'recall': 0.8392857142857143; 'f1-score': 0.7921348314606741; 'support': 336}; 'accuracy': 0.6844349680170576; 'macro avg': {'precision': 0.5846774193548387; 'recall': 0.5662593984962406; 'f1-score': 0.568633787411753; 'support': 469}; 'weighted avg': {'precision': 0.6562349542609532; 'recall': 0.6844349680170576; 'f1-score': 0.665373045283674; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.26666666666666666; 'f1-score': 0.2962962962962963; 'support': 15}; '1.0': {'precision': 0.725; 'recall': 0.7837837837837838; 'f1-score': 0.7532467532467533; 'support': 37}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.5291666666666667; 'recall': 0.5252252252252252; 'f1-score': 0.5247715247715248; 'support': 52}; 'weighted avg': {'precision': 0.6120192307692307; 'recall': 0.6346153846153846; 'f1-score': 0.6214341214341215; 'support': 52}}
l: 5,1,CNF,7,469,52,29,[16; 17],14,0.639019,0.692308,5,[X1 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.48484848484848486; 'recall': 0.24060150375939848; 'f1-score': 0.32160804020100503; 'support': 133}; '1.0': {'precision': 0.749379652605459; 'recall': 0.8988095238095238; 'f1-score': 0.8173207036535859; 'support': 336}; 'accuracy': 0.7121535181236673; 'macro avg': {'precision': 0.6171140687269719; 'recall': 0.5697055137844611; 'f1-score': 0.5694643719272955; 'support': 469}; 'weighted avg': {'precision': 0.6743633513012425; 'recall': 0.7121535181236673; 'f1-score': 0.6767454707341972; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.06666666666666667; 'f1-score': 0.1111111111111111; 'support': 15}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.9459459459459459; 'f1-score': 0.813953488372093; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5238095238095238; 'recall': 0.5063063063063064; 'f1-score': 0.46253229974160204; 'support': 52}; 'weighted avg': {'precision': 0.6043956043956045; 'recall': 0.6923076923076923; 'f1-score': 0.6112104949314252; 'support': 52}}
l: 5,1,CNF,8,469,52,29,[16; 17],14,0.635386,0.769231,3,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000],{'0.0': {'precision': 0.48663101604278075; 'recall': 0.6842105263157895; 'f1-score': 0.56875; 'support': 133}; '1.0': {'precision': 0.851063829787234; 'recall': 0.7142857142857143; 'f1-score': 0.7766990291262136; 'support': 336}; 'accuracy': 0.7057569296375267; 'macro avg': {'precision': 0.6688474229150074; 'recall': 0.6992481203007519; 'f1-score': 0.6727245145631068; 'support': 469}; 'weighted avg': {'precision': 0.7477172109641802; 'recall': 0.7057569296375267; 'f1-score': 0.7177284089262426; 'support': 469}},{'0.0': {'precision': 0.5789473684210527; 'recall': 0.7333333333333333; 'f1-score': 0.6470588235294117; 'support': 15}; '1.0': {'precision': 0.8787878787878788; 'recall': 0.7837837837837838; 'f1-score': 0.8285714285714285; 'support': 37}; 'accuracy': 0.7692307692307693; 'macro avg': {'precision': 0.7288676236044658; 'recall': 0.7585585585585586; 'f1-score': 0.7378151260504201; 'support': 52}; 'weighted avg': {'precision': 0.7922954238743712; 'recall': 0.7692307692307693; 'f1-score': 0.7762120232708468; 'support': 52}}
l: 5,1,CNF,9,469,52,29,[16; 17],14,0.623195,0.500000,2,[X3 >= 1.250000 OR X4 < 211.500000],{'0.0': {'precision': 0.21641791044776118; 'recall': 0.21804511278195488; 'f1-score': 0.21722846441947563; 'support': 133}; '1.0': {'precision': 0.6895522388059702; 'recall': 0.6875; 'f1-score': 0.6885245901639345; 'support': 336}; 'accuracy': 0.5543710021321961; 'macro avg': {'precision': 0.45298507462686566; 'recall': 0.45277255639097747; 'f1-score': 0.4528765272917051; 'support': 469}; 'weighted avg': {'precision': 0.5553798173312543; 'recall': 0.5543710021321961; 'f1-score': 0.5548734500274461; 'support': 469}},{'0.0': {'precision': 0.23809523809523808; 'recall': 0.3333333333333333; 'f1-score': 0.2777777777777778; 'support': 15}; '1.0': {'precision': 0.6774193548387096; 'recall': 0.5675675675675675; 'f1-score': 0.6176470588235294; 'support': 37}; 'accuracy': 0.5; 'macro avg': {'precision': 0.45775729646697383; 'recall': 0.4504504504504504; 'f1-score': 0.4477124183006536; 'support': 52}; 'weighted avg': {'precision': 0.5506912442396312; 'recall': 0.5; 'f1-score': 0.5196078431372549; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [16, 17], 'n_partitions': 29}, (mean val acc cv) 0.658200 (+- 0.068173), (mean training time) 0.624728 (+- 0.010431)
l: 5,1,CNF,0,468,53,14,[33; 34],14,0.314286,0.679245,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 < 211.500000 OR X6 >= 59.500000 OR X9 >= 0.895000],{'0.0': {'precision': 0.32142857142857145; 'recall': 0.06766917293233082; 'f1-score': 0.11180124223602485; 'support': 133}; '1.0': {'precision': 0.7181818181818181; 'recall': 0.9432835820895522; 'f1-score': 0.8154838709677419; 'support': 335}; 'accuracy': 0.6944444444444444; 'macro avg': {'precision': 0.5198051948051948; 'recall': 0.5054763775109415; 'f1-score': 0.46364255660188336; 'support': 468}; 'weighted avg': {'precision': 0.6054292929292929; 'recall': 0.6944444444444444; 'f1-score': 0.615505688016207; 'support': 468}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7058823529411765; 'recall': 0.9473684210526315; 'f1-score': 0.8089887640449439; 'support': 38}; 'accuracy': 0.6792452830188679; 'macro avg': {'precision': 0.35294117647058826; 'recall': 0.47368421052631576; 'f1-score': 0.40449438202247195; 'support': 53}; 'weighted avg': {'precision': 0.5061043285238623; 'recall': 0.6792452830188679; 'f1-score': 0.5800296798812805; 'support': 53}}
