l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,58,[8; 9],14,0.936521,0.679245,1,[(NOT X1)],{'0.0': {'precision': 0.735632183908046; 'recall': 0.7664670658682635; 'f1-score': 0.750733137829912; 'support': 334}; '1.0': {'precision': 0.35; 'recall': 0.31343283582089554; 'f1-score': 0.3307086614173228; 'support': 134}; 'accuracy': 0.6367521367521367; 'macro avg': {'precision': 0.542816091954023; 'recall': 0.5399499508445795; 'f1-score': 0.5407208996236175; 'support': 468}; 'weighted avg': {'precision': 0.625216131250614; 'recall': 0.6367521367521367; 'f1-score': 0.6304697193698972; 'support': 468}},{'0.0': {'precision': 0.723404255319149; 'recall': 0.8947368421052632; 'f1-score': 0.8; 'support': 38}; '1.0': {'precision': 0.3333333333333333; 'recall': 0.13333333333333333; 'f1-score': 0.19047619047619044; 'support': 15}; 'accuracy': 0.6792452830188679; 'macro avg': {'precision': 0.5283687943262412; 'recall': 0.5140350877192983; 'f1-score': 0.49523809523809526; 'support': 53}; 'weighted avg': {'precision': 0.6130068245684465; 'recall': 0.6792452830188679; 'f1-score': 0.6274932614555256; 'support': 53}}
l: 5,1,CNF,0,468,53,29,[16; 17],14,0.561012,0.716981,0,[],{'0.0': {'precision': 0.7136752136752137; 'recall': 1.0; 'f1-score': 0.8329177057356608; 'support': 334}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; 'accuracy': 0.7136752136752137; 'macro avg': {'precision': 0.35683760683760685; 'recall': 0.5; 'f1-score': 0.4164588528678304; 'support': 468}; 'weighted avg': {'precision': 0.5093323106143619; 'recall': 0.7136752136752137; 'f1-score': 0.5944327216147666; 'support': 468}},{'0.0': {'precision': 0.7169811320754716; 'recall': 1.0; 'f1-score': 0.8351648351648352; 'support': 38}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; 'accuracy': 0.7169811320754716; 'macro avg': {'precision': 0.3584905660377358; 'recall': 0.5; 'f1-score': 0.4175824175824176; 'support': 53}; 'weighted avg': {'precision': 0.5140619437522249; 'recall': 0.7169811320754716; 'f1-score': 0.5987974289861082; 'support': 53}}
l: 5,1,CNF,1,469,52,29,[16; 17],14,0.465524,0.730769,0,[],{'0.0': {'precision': 0.7121535181236673; 'recall': 1.0; 'f1-score': 0.8318804483188045; 'support': 334}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 135}; 'accuracy': 0.7121535181236673; 'macro avg': {'precision': 0.35607675906183367; 'recall': 0.5; 'f1-score': 0.41594022415940224; 'support': 469}; 'weighted avg': {'precision': 0.5071626333759166; 'recall': 0.7121535181236673; 'f1-score': 0.5924265879285303; 'support': 469}},{'0.0': {'precision': 0.7307692307692307; 'recall': 1.0; 'f1-score': 0.8444444444444443; 'support': 38}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 14}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.36538461538461536; 'recall': 0.5; 'f1-score': 0.42222222222222217; 'support': 52}; 'weighted avg': {'precision': 0.5340236686390532; 'recall': 0.7307692307692307; 'f1-score': 0.6170940170940169; 'support': 52}}
l: 5,1,CNF,2,469,52,29,[16; 17],14,0.476526,0.557692,1,[X4 < 211.500000],{'0.0': {'precision': 0.8577777777777778; 'recall': 0.5761194029850746; 'f1-score': 0.6892857142857143; 'support': 335}; '1.0': {'precision': 0.4180327868852459; 'recall': 0.7611940298507462; 'f1-score': 0.5396825396825398; 'support': 134}; 'accuracy': 0.6289978678038379; 'macro avg': {'precision': 0.6379052823315119; 'recall': 0.6686567164179105; 'f1-score': 0.614484126984127; 'support': 469}; 'weighted avg': {'precision': 0.7321363518084829; 'recall': 0.6289978678038379; 'f1-score': 0.6465419501133787; 'support': 469}},{'0.0': {'precision': 0.8181818181818182; 'recall': 0.4864864864864865; 'f1-score': 0.6101694915254238; 'support': 37}; '1.0': {'precision': 0.36666666666666664; 'recall': 0.7333333333333333; 'f1-score': 0.4888888888888889; 'support': 15}; 'accuracy': 0.5576923076923077; 'macro avg': {'precision': 0.5924242424242424; 'recall': 0.6099099099099099; 'f1-score': 0.5495291902071563; 'support': 52}; 'weighted avg': {'precision': 0.6879370629370629; 'recall': 0.5576923076923077; 'f1-score': 0.5751847023033464; 'support': 52}}
l: 5,1,CNF,3,469,52,29,[16; 17],14,0.498373,0.711538,0,[],{'0.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 335}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; 'accuracy': 0.7142857142857143; 'macro avg': {'precision': 0.35714285714285715; 'recall': 0.5; 'f1-score': 0.41666666666666663; 'support': 469}; 'weighted avg': {'precision': 0.5102040816326531; 'recall': 0.7142857142857143; 'f1-score': 0.5952380952380951; 'support': 469}},{'0.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
l: 5,1,CNF,4,469,52,29,[16; 17],14,0.484284,0.711538,0,[],{'0.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 335}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; 'accuracy': 0.7142857142857143; 'macro avg': {'precision': 0.35714285714285715; 'recall': 0.5; 'f1-score': 0.41666666666666663; 'support': 469}; 'weighted avg': {'precision': 0.5102040816326531; 'recall': 0.7142857142857143; 'f1-score': 0.5952380952380951; 'support': 469}},{'0.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
l: 5,1,CNF,5,469,52,29,[16; 17],14,0.445279,0.711538,0,[],{'0.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 335}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; 'accuracy': 0.7142857142857143; 'macro avg': {'precision': 0.35714285714285715; 'recall': 0.5; 'f1-score': 0.41666666666666663; 'support': 469}; 'weighted avg': {'precision': 0.5102040816326531; 'recall': 0.7142857142857143; 'f1-score': 0.5952380952380951; 'support': 469}},{'0.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
l: 5,1,CNF,6,469,52,29,[16; 17],14,0.470854,0.711538,0,[],{'0.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 335}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; 'accuracy': 0.7142857142857143; 'macro avg': {'precision': 0.35714285714285715; 'recall': 0.5; 'f1-score': 0.41666666666666663; 'support': 469}; 'weighted avg': {'precision': 0.5102040816326531; 'recall': 0.7142857142857143; 'f1-score': 0.5952380952380951; 'support': 469}},{'0.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
l: 5,1,CNF,7,469,52,29,[16; 17],14,0.488400,0.711538,0,[],{'0.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 335}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; 'accuracy': 0.7142857142857143; 'macro avg': {'precision': 0.35714285714285715; 'recall': 0.5; 'f1-score': 0.41666666666666663; 'support': 469}; 'weighted avg': {'precision': 0.5102040816326531; 'recall': 0.7142857142857143; 'f1-score': 0.5952380952380951; 'support': 469}},{'0.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
l: 5,1,CNF,8,469,52,29,[16; 17],14,0.502325,0.615385,1,[X4 < 211.500000],{'0.0': {'precision': 0.8526785714285714; 'recall': 0.5701492537313433; 'f1-score': 0.6833631484794276; 'support': 335}; '1.0': {'precision': 0.4122448979591837; 'recall': 0.753731343283582; 'f1-score': 0.5329815303430079; 'support': 134}; 'accuracy': 0.6226012793176973; 'macro avg': {'precision': 0.6324617346938776; 'recall': 0.6619402985074627; 'f1-score': 0.6081723394112177; 'support': 469}; 'weighted avg': {'precision': 0.7268403790087463; 'recall': 0.6226012793176973; 'f1-score': 0.6403969718690219; 'support': 469}},{'0.0': {'precision': 0.8695652173913043; 'recall': 0.5405405405405406; 'f1-score': 0.6666666666666666; 'support': 37}; '1.0': {'precision': 0.41379310344827586; 'recall': 0.8; 'f1-score': 0.5454545454545454; 'support': 15}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.6416791604197901; 'recall': 0.6702702702702703; 'f1-score': 0.606060606060606; 'support': 52}; 'weighted avg': {'precision': 0.7380924922154306; 'recall': 0.6153846153846154; 'f1-score': 0.6317016317016316; 'support': 52}}
l: 5,1,CNF,9,469,52,29,[16; 17],14,0.507651,0.711538,0,[],{'0.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 335}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; 'accuracy': 0.7142857142857143; 'macro avg': {'precision': 0.35714285714285715; 'recall': 0.5; 'f1-score': 0.41666666666666663; 'support': 469}; 'weighted avg': {'precision': 0.5102040816326531; 'recall': 0.7142857142857143; 'f1-score': 0.5952380952380951; 'support': 469}},{'0.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [16, 17], 'n_partitions': 29}, (mean val acc cv) 0.689006 (+- 0.053138), (mean training time) 0.490023 (+- 0.029595)
l: 5,1,CNF,0,468,53,14,[33; 34],14,0.257298,0.716981,0,[],{'0.0': {'precision': 0.7136752136752137; 'recall': 1.0; 'f1-score': 0.8329177057356608; 'support': 334}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; 'accuracy': 0.7136752136752137; 'macro avg': {'precision': 0.35683760683760685; 'recall': 0.5; 'f1-score': 0.4164588528678304; 'support': 468}; 'weighted avg': {'precision': 0.5093323106143619; 'recall': 0.7136752136752137; 'f1-score': 0.5944327216147666; 'support': 468}},{'0.0': {'precision': 0.7169811320754716; 'recall': 1.0; 'f1-score': 0.8351648351648352; 'support': 38}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; 'accuracy': 0.7169811320754716; 'macro avg': {'precision': 0.3584905660377358; 'recall': 0.5; 'f1-score': 0.4175824175824176; 'support': 53}; 'weighted avg': {'precision': 0.5140619437522249; 'recall': 0.7169811320754716; 'f1-score': 0.5987974289861082; 'support': 53}}
l: 5,1,CNF,1,469,52,14,[33; 34],14,0.249365,0.596154,1,[X2 < 1.650000],{'0.0': {'precision': 0.9127906976744186; 'recall': 0.47005988023952094; 'f1-score': 0.6205533596837944; 'support': 334}; '1.0': {'precision': 0.40404040404040403; 'recall': 0.8888888888888888; 'f1-score': 0.5555555555555556; 'support': 135}; 'accuracy': 0.5906183368869936; 'macro avg': {'precision': 0.6584155508574113; 'recall': 0.6794743845642048; 'f1-score': 0.588054457619675; 'support': 469}; 'weighted avg': {'precision': 0.7663487154983163; 'recall': 0.5906183368869936; 'f1-score': 0.601843970435794; 'support': 469}},{'0.0': {'precision': 0.9047619047619048; 'recall': 0.5; 'f1-score': 0.6440677966101696; 'support': 38}; '1.0': {'precision': 0.3870967741935484; 'recall': 0.8571428571428571; 'f1-score': 0.5333333333333333; 'support': 14}; 'accuracy': 0.5961538461538461; 'macro avg': {'precision': 0.6459293394777266; 'recall': 0.6785714285714286; 'f1-score': 0.5887005649717514; 'support': 52}; 'weighted avg': {'precision': 0.7653905234550396; 'recall': 0.5961538461538461; 'f1-score': 0.6142546718817906; 'support': 52}}
l: 5,1,CNF,2,469,52,14,[33; 34],14,0.233689,0.711538,0,[],{'0.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 335}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; 'accuracy': 0.7142857142857143; 'macro avg': {'precision': 0.35714285714285715; 'recall': 0.5; 'f1-score': 0.41666666666666663; 'support': 469}; 'weighted avg': {'precision': 0.5102040816326531; 'recall': 0.7142857142857143; 'f1-score': 0.5952380952380951; 'support': 469}},{'0.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
l: 5,1,CNF,3,469,52,14,[33; 34],14,0.267214,0.538462,1,[X9 >= 0.895000],{'0.0': {'precision': 0.8426966292134831; 'recall': 0.44776119402985076; 'f1-score': 0.5847953216374269; 'support': 335}; '1.0': {'precision': 0.3642611683848797; 'recall': 0.7910447761194029; 'f1-score': 0.4988235294117647; 'support': 134}; 'accuracy': 0.5458422174840085; 'macro avg': {'precision': 0.6034788987991814; 'recall': 0.6194029850746269; 'f1-score': 0.5418094255245958; 'support': 469}; 'weighted avg': {'precision': 0.7060007832624536; 'recall': 0.5458422174840085; 'f1-score': 0.5602319524300949; 'support': 469}},{'0.0': {'precision': 0.7241379310344828; 'recall': 0.5675675675675675; 'f1-score': 0.6363636363636365; 'support': 37}; '1.0': {'precision': 0.30434782608695654; 'recall': 0.4666666666666667; 'f1-score': 0.3684210526315789; 'support': 15}; 'accuracy': 0.5384615384615384; 'macro avg': {'precision': 0.5142428785607196; 'recall': 0.5171171171171172; 'f1-score': 0.5023923444976077; 'support': 52}; 'weighted avg': {'precision': 0.6030446315303887; 'recall': 0.5384615384615384; 'f1-score': 0.5590725064409277; 'support': 52}}
