l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,58,[8; 9],14,1.112307,0.698113,3,[X2 >= 1.650000 OR X6 >= 59.500000 OR X9 >= 0.895000],{'0.0': {'precision': 0.3898305084745763; 'recall': 0.17164179104477612; 'f1-score': 0.23834196891191708; 'support': 134}; '1.0': {'precision': 0.7286063569682152; 'recall': 0.8922155688622755; 'f1-score': 0.8021534320323015; 'support': 334}; 'accuracy': 0.6858974358974359; 'macro avg': {'precision': 0.5592184327213957; 'recall': 0.5319286799535258; 'f1-score': 0.5202477004721093; 'support': 468}; 'weighted avg': {'precision': 0.631606434536276; 'recall': 0.6858974358974359; 'f1-score': 0.6407202353268923; 'support': 468}},{'0.0': {'precision': 0.4444444444444444; 'recall': 0.26666666666666666; 'f1-score': 0.33333333333333337; 'support': 15}; '1.0': {'precision': 0.75; 'recall': 0.868421052631579; 'f1-score': 0.8048780487804879; 'support': 38}; 'accuracy': 0.6981132075471698; 'macro avg': {'precision': 0.5972222222222222; 'recall': 0.5675438596491228; 'f1-score': 0.5691056910569106; 'support': 53}; 'weighted avg': {'precision': 0.6635220125786163; 'recall': 0.6981132075471698; 'f1-score': 0.6714219972388403; 'support': 53}}
l: 5,1,CNF,0,468,53,29,[16; 17],14,0.572588,0.698113,4,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X6 < 59.500000],{'0.0': {'precision': 0.36363636363636365; 'recall': 0.05970149253731343; 'f1-score': 0.10256410256410257; 'support': 134}; '1.0': {'precision': 0.7174887892376681; 'recall': 0.9580838323353293; 'f1-score': 0.8205128205128205; 'support': 334}; 'accuracy': 0.7008547008547008; 'macro avg': {'precision': 0.5405625764370159; 'recall': 0.5088926624363214; 'f1-score': 0.4615384615384615; 'support': 468}; 'weighted avg': {'precision': 0.6161720690868673; 'recall': 0.7008547008547008; 'f1-score': 0.6149463072539995; 'support': 468}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7115384615384616; 'recall': 0.9736842105263158; 'f1-score': 0.8222222222222223; 'support': 38}; 'accuracy': 0.6981132075471698; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.4868421052631579; 'f1-score': 0.41111111111111115; 'support': 53}; 'weighted avg': {'precision': 0.5101596516690856; 'recall': 0.6981132075471698; 'f1-score': 0.589517819706499; 'support': 53}}
l: 5,1,CNF,1,469,52,29,[16; 17],14,0.569110,0.692308,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X6 >= 59.500000 OR X9 >= 0.895000],{'0.0': {'precision': 0.4594594594594595; 'recall': 0.1259259259259259; 'f1-score': 0.19767441860465113; 'support': 135}; '1.0': {'precision': 0.7268518518518519; 'recall': 0.9401197604790419; 'f1-score': 0.8198433420365535; 'support': 334}; 'accuracy': 0.7057569296375267; 'macro avg': {'precision': 0.5931556556556556; 'recall': 0.5330228432024839; 'f1-score': 0.5087588803206023; 'support': 469}; 'weighted avg': {'precision': 0.6498838924212059; 'recall': 0.7057569296375267; 'f1-score': 0.640754206293895; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 14}; '1.0': {'precision': 0.72; 'recall': 0.9473684210526315; 'f1-score': 0.8181818181818181; 'support': 38}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.36; 'recall': 0.47368421052631576; 'f1-score': 0.40909090909090906; 'support': 52}; 'weighted avg': {'precision': 0.5261538461538462; 'recall': 0.6923076923076923; 'f1-score': 0.5979020979020979; 'support': 52}}
l: 5,1,CNF,2,469,52,29,[16; 17],14,0.617481,0.807692,6,[(NOT X1) OR X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.4891304347826087; 'recall': 0.3358208955223881; 'f1-score': 0.39823008849557523; 'support': 134}; '1.0': {'precision': 0.7639257294429708; 'recall': 0.8597014925373134; 'f1-score': 0.8089887640449437; 'support': 335}; 'accuracy': 0.7100213219616205; 'macro avg': {'precision': 0.6265280821127898; 'recall': 0.5977611940298507; 'f1-score': 0.6036094262702595; 'support': 469}; 'weighted avg': {'precision': 0.6854127881114387; 'recall': 0.7100213219616205; 'f1-score': 0.6916291424594099; 'support': 469}},{'0.0': {'precision': 0.7272727272727273; 'recall': 0.5333333333333333; 'f1-score': 0.6153846153846153; 'support': 15}; '1.0': {'precision': 0.8292682926829268; 'recall': 0.918918918918919; 'f1-score': 0.8717948717948718; 'support': 37}; 'accuracy': 0.8076923076923077; 'macro avg': {'precision': 0.7782705099778271; 'recall': 0.7261261261261261; 'f1-score': 0.7435897435897436; 'support': 52}; 'weighted avg': {'precision': 0.7998464949684462; 'recall': 0.8076923076923077; 'f1-score': 0.7978303747534518; 'support': 52}}
l: 5,1,CNF,3,469,52,29,[16; 17],14,0.534878,0.634615,4,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5064102564102564; 'recall': 0.5895522388059702; 'f1-score': 0.5448275862068965; 'support': 134}; '1.0': {'precision': 0.8242811501597445; 'recall': 0.7701492537313432; 'f1-score': 0.7962962962962963; 'support': 335}; 'accuracy': 0.7185501066098081; 'macro avg': {'precision': 0.6653457032850004; 'recall': 0.6798507462686567; 'f1-score': 0.6705619412515964; 'support': 469}; 'weighted avg': {'precision': 0.7334608948027479; 'recall': 0.7185501066098081; 'f1-score': 0.7244480934136106; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.26666666666666666; 'f1-score': 0.2962962962962963; 'support': 15}; '1.0': {'precision': 0.725; 'recall': 0.7837837837837838; 'f1-score': 0.7532467532467533; 'support': 37}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.5291666666666667; 'recall': 0.5252252252252252; 'f1-score': 0.5247715247715248; 'support': 52}; 'weighted avg': {'precision': 0.6120192307692307; 'recall': 0.6346153846153846; 'f1-score': 0.6214341214341215; 'support': 52}}
l: 5,1,CNF,4,469,52,29,[16; 17],14,0.573227,0.615385,5,[(NOT X1) OR X2 >= 1.650000 OR X3 >= 1.250000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.4806201550387597; 'recall': 0.4626865671641791; 'f1-score': 0.47148288973384034; 'support': 134}; '1.0': {'precision': 0.788235294117647; 'recall': 0.8; 'f1-score': 0.794074074074074; 'support': 335}; 'accuracy': 0.7036247334754797; 'macro avg': {'precision': 0.6344277245782034; 'recall': 0.6313432835820896; 'f1-score': 0.6327784819039572; 'support': 469}; 'weighted avg': {'precision': 0.7003452543808222; 'recall': 0.7036247334754797; 'f1-score': 0.7019051642625788; 'support': 469}},{'0.0': {'precision': 0.35294117647058826; 'recall': 0.4; 'f1-score': 0.37500000000000006; 'support': 15}; '1.0': {'precision': 0.7428571428571429; 'recall': 0.7027027027027027; 'f1-score': 0.7222222222222223; 'support': 37}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.5478991596638656; 'recall': 0.5513513513513514; 'f1-score': 0.5486111111111112; 'support': 52}; 'weighted avg': {'precision': 0.6303813833225599; 'recall': 0.6153846153846154; 'f1-score': 0.6220619658119659; 'support': 52}}
l: 5,1,CNF,5,469,52,29,[16; 17],14,0.541146,0.596154,4,[(NOT X1) OR X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000],{'0.0': {'precision': 0.5126050420168067; 'recall': 0.4552238805970149; 'f1-score': 0.48221343873517786; 'support': 134}; '1.0': {'precision': 0.7914285714285715; 'recall': 0.826865671641791; 'f1-score': 0.8087591240875912; 'support': 335}; 'accuracy': 0.720682302771855; 'macro avg': {'precision': 0.652016806722689; 'recall': 0.6410447761194029; 'f1-score': 0.6454862814113845; 'support': 469}; 'weighted avg': {'precision': 0.711764705882353; 'recall': 0.720682302771855; 'f1-score': 0.7154603568440445; 'support': 469}},{'0.0': {'precision': 0.25; 'recall': 0.2; 'f1-score': 0.22222222222222224; 'support': 15}; '1.0': {'precision': 0.7; 'recall': 0.7567567567567568; 'f1-score': 0.7272727272727273; 'support': 37}; 'accuracy': 0.5961538461538461; 'macro avg': {'precision': 0.475; 'recall': 0.4783783783783784; 'f1-score': 0.47474747474747475; 'support': 52}; 'weighted avg': {'precision': 0.5701923076923077; 'recall': 0.5961538461538461; 'f1-score': 0.5815850815850816; 'support': 52}}
l: 5,1,CNF,6,469,52,29,[16; 17],14,0.528615,0.673077,3,[X1 OR X5 >= 61.500000 OR X9 >= 0.895000],{'0.0': {'precision': 0.3103448275862069; 'recall': 0.06716417910447761; 'f1-score': 0.11042944785276074; 'support': 134}; '1.0': {'precision': 0.7159090909090909; 'recall': 0.9402985074626866; 'f1-score': 0.8129032258064516; 'support': 335}; 'accuracy': 0.6908315565031983; 'macro avg': {'precision': 0.513126959247649; 'recall': 0.5037313432835822; 'f1-score': 0.46166633682960617; 'support': 469}; 'weighted avg': {'precision': 0.6000335871025526; 'recall': 0.6908315565031983; 'f1-score': 0.6121964321053971; 'support': 469}},{'0.0': {'precision': 0.25; 'recall': 0.06666666666666667; 'f1-score': 0.10526315789473685; 'support': 15}; '1.0': {'precision': 0.7083333333333334; 'recall': 0.918918918918919; 'f1-score': 0.8000000000000002; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.4791666666666667; 'recall': 0.4927927927927928; 'f1-score': 0.4526315789473685; 'support': 52}; 'weighted avg': {'precision': 0.5761217948717949; 'recall': 0.6730769230769231; 'f1-score': 0.599595141700405; 'support': 52}}
l: 5,1,CNF,7,469,52,29,[16; 17],14,0.541845,0.653846,3,[X5 >= 61.500000 OR X6 >= 59.500000 OR X9 >= 0.895000],{'0.0': {'precision': 0.3076923076923077; 'recall': 0.208955223880597; 'f1-score': 0.2488888888888889; 'support': 134}; '1.0': {'precision': 0.7195767195767195; 'recall': 0.8119402985074626; 'f1-score': 0.7629733520336606; 'support': 335}; 'accuracy': 0.6396588486140725; 'macro avg': {'precision': 0.5136345136345136; 'recall': 0.5104477611940298; 'f1-score': 0.5059311204612748; 'support': 469}; 'weighted avg': {'precision': 0.6018954590383162; 'recall': 0.6396588486140725; 'f1-score': 0.6160920768494401; 'support': 469}},{'0.0': {'precision': 0.2857142857142857; 'recall': 0.13333333333333333; 'f1-score': 0.18181818181818182; 'support': 15}; '1.0': {'precision': 0.7111111111111111; 'recall': 0.8648648648648649; 'f1-score': 0.7804878048780488; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.4984126984126984; 'recall': 0.4990990990990991; 'f1-score': 0.48115299334811534; 'support': 52}; 'weighted avg': {'precision': 0.5884004884004884; 'recall': 0.6538461538461539; 'f1-score': 0.6077946443800102; 'support': 52}}
l: 5,1,CNF,8,469,52,29,[16; 17],14,0.517812,0.769231,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5034013605442177; 'recall': 0.5522388059701493; 'f1-score': 0.5266903914590747; 'support': 134}; '1.0': {'precision': 0.8136645962732919; 'recall': 0.7820895522388059; 'f1-score': 0.7975646879756468; 'support': 335}; 'accuracy': 0.7164179104477612; 'macro avg': {'precision': 0.6585329784087548; 'recall': 0.6671641791044776; 'f1-score': 0.6621275397173607; 'support': 469}; 'weighted avg': {'precision': 0.7250179574935565; 'recall': 0.7164179104477612; 'f1-score': 0.7201720318280549; 'support': 469}},{'0.0': {'precision': 0.6363636363636364; 'recall': 0.4666666666666667; 'f1-score': 0.5384615384615385; 'support': 15}; '1.0': {'precision': 0.8048780487804879; 'recall': 0.8918918918918919; 'f1-score': 0.8461538461538461; 'support': 37}; 'accuracy': 0.7692307692307693; 'macro avg': {'precision': 0.7206208425720622; 'recall': 0.6792792792792792; 'f1-score': 0.6923076923076923; 'support': 52}; 'weighted avg': {'precision': 0.7562681221217807; 'recall': 0.7692307692307693; 'f1-score': 0.7573964497041421; 'support': 52}}
l: 5,1,CNF,9,469,52,29,[16; 17],14,0.564031,0.653846,3,[X3 >= 1.250000 OR X5 >= 61.500000 OR X9 >= 0.895000],{'0.0': {'precision': 0.3614457831325301; 'recall': 0.22388059701492538; 'f1-score': 0.27649769585253453; 'support': 134}; '1.0': {'precision': 0.7305699481865285; 'recall': 0.8417910447761194; 'f1-score': 0.7822468793342581; 'support': 335}; 'accuracy': 0.6652452025586354; 'macro avg': {'precision': 0.5460078656595293; 'recall': 0.5328358208955224; 'f1-score': 0.5293722875933963; 'support': 469}; 'weighted avg': {'precision': 0.6251059010282434; 'recall': 0.6652452025586354; 'f1-score': 0.6377471126251941; 'support': 469}},{'0.0': {'precision': 0.2; 'recall': 0.06666666666666667; 'f1-score': 0.1; 'support': 15}; '1.0': {'precision': 0.7021276595744681; 'recall': 0.8918918918918919; 'f1-score': 0.7857142857142857; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.451063829787234; 'recall': 0.47927927927927927; 'f1-score': 0.44285714285714284; 'support': 52}; 'weighted avg': {'precision': 0.5572831423895254; 'recall': 0.6538461538461539; 'f1-score': 0.5879120879120878; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [16, 17], 'n_partitions': 29}, (mean val acc cv) 0.679427 (+- 0.062789), (mean training time) 0.556073 (+- 0.027683)
l: 5,1,CNF,0,468,53,14,[33; 34],14,0.288839,0.528302,3,[X2 >= 1.650000 OR X3 >= 1.250000 OR X5 >= 61.500000],{'0.0': {'precision': 0.450199203187251; 'recall': 0.8432835820895522; 'f1-score': 0.587012987012987; 'support': 134}; '1.0': {'precision': 0.9032258064516129; 'recall': 0.5868263473053892; 'f1-score': 0.7114337568058076; 'support': 334}; 'accuracy': 0.6602564102564102; 'macro avg': {'precision': 0.6767125048194319; 'recall': 0.7150549646974707; 'f1-score': 0.6492233719093973; 'support': 468}; 'weighted avg': {'precision': 0.7735130610725008; 'recall': 0.6602564102564102; 'f1-score': 0.6758090064805128; 'support': 468}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.6666666666666666; 'f1-score': 0.4444444444444444; 'support': 15}; '1.0': {'precision': 0.782608695652174; 'recall': 0.47368421052631576; 'f1-score': 0.5901639344262294; 'support': 38}; 'accuracy': 0.5283018867924528; 'macro avg': {'precision': 0.5579710144927537; 'recall': 0.5701754385964912; 'f1-score': 0.517304189435337; 'support': 53}; 'weighted avg': {'precision': 0.6554552912223134; 'recall': 0.5283018867924528; 'f1-score': 0.548922569337045; 'support': 53}}
