l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,58,[8; 9],14,1.187240,0.622642,3,[(NOT X1) OR X3 >= 1.250000 OR X4 < 211.500000],{'0.0': {'precision': 0.21153846153846154; 'recall': 0.16541353383458646; 'f1-score': 0.18565400843881855; 'support': 133}; '1.0': {'precision': 0.695054945054945; 'recall': 0.755223880597015; 'f1-score': 0.7238912732474962; 'support': 335}; 'accuracy': 0.5876068376068376; 'macro avg': {'precision': 0.4532967032967033; 'recall': 0.4603187072158007; 'f1-score': 0.4547726408431574; 'support': 468}; 'weighted avg': {'precision': 0.5576453461068845; 'recall': 0.5876068376068376; 'f1-score': 0.5709306830347738; 'support': 468}},{'0.0': {'precision': 0.2727272727272727; 'recall': 0.2; 'f1-score': 0.23076923076923075; 'support': 15}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.7894736842105263; 'f1-score': 0.7500000000000001; 'support': 38}; 'accuracy': 0.6226415094339622; 'macro avg': {'precision': 0.4935064935064935; 'recall': 0.49473684210526314; 'f1-score': 0.4903846153846154; 'support': 53}; 'weighted avg': {'precision': 0.5893163440333251; 'recall': 0.6226415094339622; 'f1-score': 0.6030478955007257; 'support': 53}}
l: 5,1,CNF,1,469,52,29,[16; 17],14,0.663939,0.730769,5,[(NOT X1) OR X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000],{'0.0': {'precision': 0.4957983193277311; 'recall': 0.44029850746268656; 'f1-score': 0.46640316205533594; 'support': 134}; '1.0': {'precision': 0.7857142857142857; 'recall': 0.8208955223880597; 'f1-score': 0.8029197080291971; 'support': 335}; 'accuracy': 0.7121535181236673; 'macro avg': {'precision': 0.6407563025210083; 'recall': 0.6305970149253731; 'f1-score': 0.6346614350422666; 'support': 469}; 'weighted avg': {'precision': 0.7028811524609844; 'recall': 0.7121535181236673; 'f1-score': 0.7067721234652368; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.2857142857142857; 'f1-score': 0.36363636363636365; 'support': 14}; '1.0': {'precision': 0.7727272727272727; 'recall': 0.8947368421052632; 'f1-score': 0.8292682926829269; 'support': 38}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.6363636363636364; 'recall': 0.5902255639097744; 'f1-score': 0.5964523281596452; 'support': 52}; 'weighted avg': {'precision': 0.6993006993006993; 'recall': 0.7307692307692307; 'f1-score': 0.7039058502473138; 'support': 52}}
l: 5,1,CNF,2,469,52,29,[16; 17],14,0.566145,0.730769,5,[X1 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.58; 'recall': 0.21641791044776118; 'f1-score': 0.31521739130434784; 'support': 134}; '1.0': {'precision': 0.7494033412887828; 'recall': 0.9373134328358209; 'f1-score': 0.8328912466843502; 'support': 335}; 'accuracy': 0.7313432835820896; 'macro avg': {'precision': 0.6647016706443913; 'recall': 0.576865671641791; 'f1-score': 0.574054318994349; 'support': 469}; 'weighted avg': {'precision': 0.7010023866348449; 'recall': 0.7313432835820896; 'f1-score': 0.6849844308614924; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.07142857142857142; 'f1-score': 0.125; 'support': 14}; '1.0': {'precision': 0.74; 'recall': 0.9736842105263158; 'f1-score': 0.8409090909090909; 'support': 38}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.62; 'recall': 0.5225563909774437; 'f1-score': 0.48295454545454547; 'support': 52}; 'weighted avg': {'precision': 0.6753846153846155; 'recall': 0.7307692307692307; 'f1-score': 0.6481643356643356; 'support': 52}}
l: 5,1,CNF,3,469,52,29,[16; 17],14,0.541084,0.615385,2,[X1 OR X4 >= 211.500000],{'0.0': {'precision': 0.5151515151515151; 'recall': 0.2556390977443609; 'f1-score': 0.3417085427135678; 'support': 133}; '1.0': {'precision': 0.7543424317617866; 'recall': 0.9047619047619048; 'f1-score': 0.8227334235453315; 'support': 336}; 'accuracy': 0.720682302771855; 'macro avg': {'precision': 0.6347469734566509; 'recall': 0.5802005012531328; 'f1-score': 0.5822209831294497; 'support': 469}; 'weighted avg': {'precision': 0.6865121718275305; 'recall': 0.720682302771855; 'f1-score': 0.6863233827124433; 'support': 469}},{'0.0': {'precision': 0.2222222222222222; 'recall': 0.13333333333333333; 'f1-score': 0.16666666666666669; 'support': 15}; '1.0': {'precision': 0.6976744186046512; 'recall': 0.8108108108108109; 'f1-score': 0.75; 'support': 37}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.4599483204134367; 'recall': 0.4720720720720721; 'f1-score': 0.45833333333333337; 'support': 52}; 'weighted avg': {'precision': 0.5605247465712582; 'recall': 0.6153846153846154; 'f1-score': 0.5817307692307693; 'support': 52}}
l: 5,1,CNF,4,469,52,29,[16; 17],14,0.542486,0.692308,5,[X1 OR X2 >= 1.650000 OR X3 >= 1.250000 OR X5 >= 61.500000 OR X9 >= 0.895000],{'0.0': {'precision': 0.36363636363636365; 'recall': 0.06015037593984962; 'f1-score': 0.10322580645161289; 'support': 133}; '1.0': {'precision': 0.7203579418344519; 'recall': 0.9583333333333334; 'f1-score': 0.8224776500638571; 'support': 336}; 'accuracy': 0.7036247334754797; 'macro avg': {'precision': 0.5419971527354077; 'recall': 0.5092418546365916; 'f1-score': 0.462851728257735; 'support': 469}; 'weighted avg': {'precision': 0.6191980913006657; 'recall': 0.7036247334754797; 'f1-score': 0.6185107093379968; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7058823529411765; 'recall': 0.972972972972973; 'f1-score': 0.8181818181818183; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.35294117647058826; 'recall': 0.4864864864864865; 'f1-score': 0.40909090909090917; 'support': 52}; 'weighted avg': {'precision': 0.5022624434389141; 'recall': 0.6923076923076923; 'f1-score': 0.5821678321678323; 'support': 52}}
l: 5,1,CNF,5,469,52,29,[16; 17],14,0.694077,0.673077,2,[X4 >= 211.500000 OR X5 >= 61.500000],{'0.0': {'precision': 0.4470046082949309; 'recall': 0.7293233082706767; 'f1-score': 0.5542857142857144; 'support': 133}; '1.0': {'precision': 0.8571428571428571; 'recall': 0.6428571428571429; 'f1-score': 0.7346938775510204; 'support': 336}; 'accuracy': 0.6673773987206824; 'macro avg': {'precision': 0.652073732718894; 'recall': 0.6860902255639099; 'f1-score': 0.6444897959183674; 'support': 469}; 'weighted avg': {'precision': 0.7408349955292661; 'recall': 0.6673773987206824; 'f1-score': 0.6835333536399635; 'support': 469}},{'0.0': {'precision': 0.45; 'recall': 0.6; 'f1-score': 0.5142857142857143; 'support': 15}; '1.0': {'precision': 0.8125; 'recall': 0.7027027027027027; 'f1-score': 0.7536231884057971; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.63125; 'recall': 0.6513513513513514; 'f1-score': 0.6339544513457558; 'support': 52}; 'weighted avg': {'precision': 0.7079326923076923; 'recall': 0.6730769230769231; 'f1-score': 0.6845835324096193; 'support': 52}}
l: 5,1,CNF,6,469,52,29,[16; 17],14,0.563218,0.711538,4,[X1 OR X2 >= 1.650000 OR X4 >= 211.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5490196078431373; 'recall': 0.21052631578947367; 'f1-score': 0.3043478260869565; 'support': 133}; '1.0': {'precision': 0.7488038277511961; 'recall': 0.9315476190476191; 'f1-score': 0.830238726790451; 'support': 336}; 'accuracy': 0.7270788912579957; 'macro avg': {'precision': 0.6489117177971667; 'recall': 0.5710369674185464; 'f1-score': 0.5672932764387038; 'support': 469}; 'weighted avg': {'precision': 0.6921486012101048; 'recall': 0.7270788912579957; 'f1-score': 0.6811054862924449; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.2; 'f1-score': 0.28571428571428575; 'support': 15}; '1.0': {'precision': 0.7391304347826086; 'recall': 0.918918918918919; 'f1-score': 0.8192771084337348; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6195652173913043; 'recall': 0.5594594594594595; 'f1-score': 0.5524956970740103; 'support': 52}; 'weighted avg': {'precision': 0.6701505016722407; 'recall': 0.7115384615384616; 'f1-score': 0.6653647557262014; 'support': 52}}
l: 5,1,CNF,7,469,52,29,[16; 17],14,0.553427,0.653846,4,[X1 OR X2 >= 1.650000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5423728813559322; 'recall': 0.24060150375939848; 'f1-score': 0.3333333333333333; 'support': 133}; '1.0': {'precision': 0.7536585365853659; 'recall': 0.9196428571428571; 'f1-score': 0.8284182305630027; 'support': 336}; 'accuracy': 0.7270788912579957; 'macro avg': {'precision': 0.6480157089706491; 'recall': 0.5801221804511278; 'f1-score': 0.580875781948168; 'support': 469}; 'weighted avg': {'precision': 0.693741708982989; 'recall': 0.7270788912579957; 'f1-score': 0.6880210209008576; 'support': 469}},{'0.0': {'precision': 0.2; 'recall': 0.06666666666666667; 'f1-score': 0.1; 'support': 15}; '1.0': {'precision': 0.7021276595744681; 'recall': 0.8918918918918919; 'f1-score': 0.7857142857142857; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.451063829787234; 'recall': 0.47927927927927927; 'f1-score': 0.44285714285714284; 'support': 52}; 'weighted avg': {'precision': 0.5572831423895254; 'recall': 0.6538461538461539; 'f1-score': 0.5879120879120878; 'support': 52}}
l: 5,1,CNF,8,469,52,29,[16; 17],14,0.580196,0.711538,5,[(NOT X1) OR X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5108695652173914; 'recall': 0.3533834586466165; 'f1-score': 0.4177777777777778; 'support': 133}; '1.0': {'precision': 0.7718832891246684; 'recall': 0.8660714285714286; 'f1-score': 0.8162692847124825; 'support': 336}; 'accuracy': 0.720682302771855; 'macro avg': {'precision': 0.6413764271710298; 'recall': 0.6097274436090225; 'f1-score': 0.6170235312451302; 'support': 469}; 'weighted avg': {'precision': 0.6978644718972316; 'recall': 0.720682302771855; 'f1-score': 0.7032642305071185; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.3333333333333333; 'f1-score': 0.4; 'support': 15}; '1.0': {'precision': 0.7619047619047619; 'recall': 0.8648648648648649; 'f1-score': 0.810126582278481; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6309523809523809; 'recall': 0.5990990990990991; 'f1-score': 0.6050632911392405; 'support': 52}; 'weighted avg': {'precision': 0.6863553113553114; 'recall': 0.7115384615384616; 'f1-score': 0.6918208373904577; 'support': 52}}
l: 5,1,CNF,9,469,52,29,[16; 17],14,0.580501,0.730769,4,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X6 < 59.500000],{'0.0': {'precision': 0.3125; 'recall': 0.03759398496240601; 'f1-score': 0.06711409395973154; 'support': 133}; '1.0': {'precision': 0.717439293598234; 'recall': 0.9672619047619048; 'f1-score': 0.8238276299112801; 'support': 336}; 'accuracy': 0.7036247334754797; 'macro avg': {'precision': 0.5149696467991169; 'recall': 0.5024279448621554; 'f1-score': 0.44547086193550584; 'support': 469}; 'weighted avg': {'precision': 0.6026057625778393; 'recall': 0.7036247334754797; 'f1-score': 0.6092372241936768; 'support': 469}},{'0.0': {'precision': 1.0; 'recall': 0.06666666666666667; 'f1-score': 0.125; 'support': 15}; '1.0': {'precision': 0.7254901960784313; 'recall': 1.0; 'f1-score': 0.8409090909090908; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.8627450980392157; 'recall': 0.5333333333333333; 'f1-score': 0.4829545454545454; 'support': 52}; 'weighted avg': {'precision': 0.8046757164404224; 'recall': 0.7307692307692307; 'f1-score': 0.6343968531468531; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [16, 17], 'n_partitions': 29}, (mean val acc cv) 0.692925 (+- 0.036209), (mean training time) 0.588563 (+- 0.048837)
l: 5,1,CNF,0,468,53,14,[33; 34],14,0.285598,0.660377,6,[(NOT X1) OR X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5268817204301075; 'recall': 0.3684210526315789; 'f1-score': 0.43362831858407075; 'support': 133}; '1.0': {'precision': 0.776; 'recall': 0.8686567164179104; 'f1-score': 0.8197183098591548; 'support': 335}; 'accuracy': 0.7264957264957265; 'macro avg': {'precision': 0.6514408602150538; 'recall': 0.6185388845247447; 'f1-score': 0.6266733142216128; 'support': 468}; 'weighted avg': {'precision': 0.7052035658487271; 'recall': 0.7264957264957265; 'f1-score': 0.7099961542190134; 'support': 468}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.2; 'f1-score': 0.25; 'support': 15}; '1.0': {'precision': 0.7272727272727273; 'recall': 0.8421052631578947; 'f1-score': 0.7804878048780488; 'support': 38}; 'accuracy': 0.660377358490566; 'macro avg': {'precision': 0.5303030303030303; 'recall': 0.5210526315789473; 'f1-score': 0.5152439024390244; 'support': 53}; 'weighted avg': {'precision': 0.6157804459691253; 'recall': 0.660377358490566; 'f1-score': 0.6303497468936953; 'support': 53}}
