l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,284,32,35,[8; 9],564,1.137126,0.781250,1,[X26 < 1.000000],{'0.0': {'precision': 0.8648648648648649; 'recall': 0.6274509803921569; 'f1-score': 0.7272727272727273; 'support': 102}; '1.0': {'precision': 0.819047619047619; 'recall': 0.945054945054945; 'f1-score': 0.8775510204081632; 'support': 182}; 'accuracy': 0.8309859154929577; 'macro avg': {'precision': 0.841956241956242; 'recall': 0.7862529627235509; 'f1-score': 0.8024118738404453; 'support': 284}; 'weighted avg': {'precision': 0.8355031087425454; 'recall': 0.8309859154929577; 'f1-score': 0.8235778306200842; 'support': 284}},{'0.0': {'precision': 0.8333333333333334; 'recall': 0.45454545454545453; 'f1-score': 0.5882352941176471; 'support': 11}; '1.0': {'precision': 0.7692307692307693; 'recall': 0.9523809523809523; 'f1-score': 0.8510638297872339; 'support': 21}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.8012820512820513; 'recall': 0.7034632034632035; 'f1-score': 0.7196495619524406; 'support': 32}; 'weighted avg': {'precision': 0.7912660256410257; 'recall': 0.78125; 'f1-score': 0.7607165206508135; 'support': 32}}
l: 5,1,CNF,0,284,32,17,[16; 17],564,0.855243,0.718750,2,[X25 < -0.015050 OR X29 >= 0.015470],{'0.0': {'precision': 0.6338028169014085; 'recall': 0.4411764705882353; 'f1-score': 0.5202312138728324; 'support': 102}; '1.0': {'precision': 0.7323943661971831; 'recall': 0.8571428571428571; 'f1-score': 0.789873417721519; 'support': 182}; 'accuracy': 0.7077464788732394; 'macro avg': {'precision': 0.6830985915492958; 'recall': 0.6491596638655461; 'f1-score': 0.6550523157971757; 'support': 284}; 'weighted avg': {'precision': 0.696984725252926; 'recall': 0.7077464788732394; 'f1-score': 0.6930300909871315; 'support': 284}},{'0.0': {'precision': 0.625; 'recall': 0.45454545454545453; 'f1-score': 0.5263157894736842; 'support': 11}; '1.0': {'precision': 0.75; 'recall': 0.8571428571428571; 'f1-score': 0.7999999999999999; 'support': 21}; 'accuracy': 0.71875; 'macro avg': {'precision': 0.6875; 'recall': 0.6558441558441558; 'f1-score': 0.6631578947368421; 'support': 32}; 'weighted avg': {'precision': 0.70703125; 'recall': 0.71875; 'f1-score': 0.7059210526315789; 'support': 32}}
l: 5,1,CNF,1,284,32,17,[16; 17],564,0.720171,0.656250,2,[X2 >= 0.328340 OR X18 < -0.699770],{'0.0': {'precision': 0.9166666666666666; 'recall': 0.43137254901960786; 'f1-score': 0.5866666666666666; 'support': 102}; '1.0': {'precision': 0.7542372881355932; 'recall': 0.978021978021978; 'f1-score': 0.8516746411483254; 'support': 182}; 'accuracy': 0.7816901408450704; 'macro avg': {'precision': 0.83545197740113; 'recall': 0.7046972635207929; 'f1-score': 0.719170653907496; 'support': 284}; 'weighted avg': {'precision': 0.8125746001432322; 'recall': 0.7816901408450704; 'f1-score': 0.7564957207358987; 'support': 284}},{'0.0': {'precision': 0.5; 'recall': 0.09090909090909091; 'f1-score': 0.15384615384615385; 'support': 11}; '1.0': {'precision': 0.6666666666666666; 'recall': 0.9523809523809523; 'f1-score': 0.7843137254901961; 'support': 21}; 'accuracy': 0.65625; 'macro avg': {'precision': 0.5833333333333333; 'recall': 0.5216450216450216; 'f1-score': 0.46907993966817496; 'support': 32}; 'weighted avg': {'precision': 0.609375; 'recall': 0.65625; 'f1-score': 0.5675904977375565; 'support': 32}}
l: 5,1,CNF,2,284,32,17,[16; 17],564,0.882767,0.531250,1,[X16 >= 0.000000],{'0.0': {'precision': 0.36507936507936506; 'recall': 0.22549019607843138; 'f1-score': 0.2787878787878788; 'support': 102}; '1.0': {'precision': 0.6425339366515838; 'recall': 0.7802197802197802; 'f1-score': 0.7047146401985113; 'support': 182}; 'accuracy': 0.5809859154929577; 'macro avg': {'precision': 0.5038066508654744; 'recall': 0.5028549881491058; 'f1-score': 0.49175125949319504; 'support': 284}; 'weighted avg': {'precision': 0.5428847595376178; 'recall': 0.5809859154929577; 'f1-score': 0.551740944198918; 'support': 284}},{'0.0': {'precision': 0.3; 'recall': 0.2727272727272727; 'f1-score': 0.28571428571428564; 'support': 11}; '1.0': {'precision': 0.6363636363636364; 'recall': 0.6666666666666666; 'f1-score': 0.6511627906976744; 'support': 21}; 'accuracy': 0.53125; 'macro avg': {'precision': 0.46818181818181814; 'recall': 0.46969696969696967; 'f1-score': 0.46843853820598; 'support': 32}; 'weighted avg': {'precision': 0.5207386363636364; 'recall': 0.53125; 'f1-score': 0.5255398671096345; 'support': 32}}
l: 5,1,CNF,3,284,32,17,[16; 17],564,0.811501,0.687500,2,[X4 >= 0.540400 OR X11 >= 0.028250],{'0.0': {'precision': 0.8627450980392157; 'recall': 0.43564356435643564; 'f1-score': 0.5789473684210527; 'support': 101}; '1.0': {'precision': 0.7553648068669528; 'recall': 0.9617486338797814; 'f1-score': 0.8461538461538463; 'support': 183}; 'accuracy': 0.7746478873239436; 'macro avg': {'precision': 0.8090549524530843; 'recall': 0.6986960991181085; 'f1-score': 0.7125506072874495; 'support': 284}; 'weighted avg': {'precision': 0.7935528681641308; 'recall': 0.7746478873239436; 'f1-score': 0.7511261903404232; 'support': 284}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.3333333333333333; 'f1-score': 0.4444444444444444; 'support': 12}; '1.0': {'precision': 0.6923076923076923; 'recall': 0.9; 'f1-score': 0.7826086956521738; 'support': 20}; 'accuracy': 0.6875; 'macro avg': {'precision': 0.6794871794871795; 'recall': 0.6166666666666667; 'f1-score': 0.6135265700483091; 'support': 32}; 'weighted avg': {'precision': 0.6826923076923077; 'recall': 0.6875; 'f1-score': 0.6557971014492753; 'support': 32}}
l: 5,1,CNF,4,284,32,17,[16; 17],564,0.752402,0.625000,2,[X7 >= 0.014710 OR X29 < -0.050250],{'0.0': {'precision': 0.6081081081081081; 'recall': 0.44554455445544555; 'f1-score': 0.5142857142857142; 'support': 101}; '1.0': {'precision': 0.7333333333333333; 'recall': 0.8415300546448088; 'f1-score': 0.7837150127226463; 'support': 183}; 'accuracy': 0.7007042253521126; 'macro avg': {'precision': 0.6707207207207206; 'recall': 0.6435373045501271; 'f1-score': 0.6490003635041803; 'support': 284}; 'weighted avg': {'precision': 0.6887990102778835; 'recall': 0.7007042253521126; 'f1-score': 0.6878968467292305; 'support': 284}},{'0.0': {'precision': 0.5; 'recall': 0.4166666666666667; 'f1-score': 0.45454545454545453; 'support': 12}; '1.0': {'precision': 0.6818181818181818; 'recall': 0.75; 'f1-score': 0.7142857142857143; 'support': 20}; 'accuracy': 0.625; 'macro avg': {'precision': 0.5909090909090908; 'recall': 0.5833333333333334; 'f1-score': 0.5844155844155844; 'support': 32}; 'weighted avg': {'precision': 0.6136363636363635; 'recall': 0.625; 'f1-score': 0.6168831168831169; 'support': 32}}
l: 5,1,CNF,5,284,32,17,[16; 17],564,0.641128,0.750000,2,[X2 >= 0.600000 OR X24 >= 0.351350],{'0.0': {'precision': 0.8545454545454545; 'recall': 0.46534653465346537; 'f1-score': 0.6025641025641025; 'support': 101}; '1.0': {'precision': 0.7641921397379913; 'recall': 0.9562841530054644; 'f1-score': 0.8495145631067961; 'support': 183}; 'accuracy': 0.7816901408450704; 'macro avg': {'precision': 0.8093687971417229; 'recall': 0.7108153438294649; 'f1-score': 0.7260393328354493; 'support': 284}; 'weighted avg': {'precision': 0.7963248326800821; 'recall': 0.7816901408450704; 'f1-score': 0.7616906317166128; 'support': 284}},{'0.0': {'precision': 0.75; 'recall': 0.5; 'f1-score': 0.6; 'support': 12}; '1.0': {'precision': 0.75; 'recall': 0.9; 'f1-score': 0.8181818181818182; 'support': 20}; 'accuracy': 0.75; 'macro avg': {'precision': 0.75; 'recall': 0.7; 'f1-score': 0.7090909090909091; 'support': 32}; 'weighted avg': {'precision': 0.75; 'recall': 0.75; 'f1-score': 0.7363636363636363; 'support': 32}}
l: 5,1,CNF,6,285,31,17,[16; 17],564,0.775810,0.774194,2,[X15 >= 0.402680 OR X22 >= 0.299080],{'0.0': {'precision': 0.6842105263157895; 'recall': 0.5098039215686274; 'f1-score': 0.5842696629213484; 'support': 102}; '1.0': {'precision': 0.7607655502392344; 'recall': 0.8688524590163934; 'f1-score': 0.8112244897959183; 'support': 183}; 'accuracy': 0.7403508771929824; 'macro avg': {'precision': 0.722488038277512; 'recall': 0.6893281902925104; 'f1-score': 0.6977470763586333; 'support': 285}; 'weighted avg': {'precision': 0.7333669100982121; 'recall': 0.7403508771929824; 'f1-score': 0.7299985517565984; 'support': 285}},{'0.0': {'precision': 0.7; 'recall': 0.6363636363636364; 'f1-score': 0.6666666666666666; 'support': 11}; '1.0': {'precision': 0.8095238095238095; 'recall': 0.85; 'f1-score': 0.8292682926829269; 'support': 20}; 'accuracy': 0.7741935483870968; 'macro avg': {'precision': 0.7547619047619047; 'recall': 0.7431818181818182; 'f1-score': 0.7479674796747968; 'support': 31}; 'weighted avg': {'precision': 0.7706605222734254; 'recall': 0.7741935483870968; 'f1-score': 0.7715709415158668; 'support': 31}}
l: 5,1,CNF,7,285,31,17,[16; 17],564,0.770452,0.741935,2,[X13 >= 0.030270 OR X33 < -0.272920],{'0.0': {'precision': 0.47368421052631576; 'recall': 0.5294117647058824; 'f1-score': 0.5; 'support': 102}; '1.0': {'precision': 0.7192982456140351; 'recall': 0.6721311475409836; 'f1-score': 0.6949152542372881; 'support': 183}; 'accuracy': 0.6210526315789474; 'macro avg': {'precision': 0.5964912280701754; 'recall': 0.600771456123433; 'f1-score': 0.597457627118644; 'support': 285}; 'weighted avg': {'precision': 0.6313942751615881; 'recall': 0.6210526315789474; 'f1-score': 0.6251561106155218; 'support': 285}},{'0.0': {'precision': 0.6363636363636364; 'recall': 0.6363636363636364; 'f1-score': 0.6363636363636364; 'support': 11}; '1.0': {'precision': 0.8; 'recall': 0.8; 'f1-score': 0.8000000000000002; 'support': 20}; 'accuracy': 0.7419354838709677; 'macro avg': {'precision': 0.7181818181818183; 'recall': 0.7181818181818183; 'f1-score': 0.7181818181818183; 'support': 31}; 'weighted avg': {'precision': 0.7419354838709677; 'recall': 0.7419354838709677; 'f1-score': 0.7419354838709679; 'support': 31}}
l: 5,1,CNF,8,285,31,17,[16; 17],564,0.799254,0.645161,2,[X11 >= -0.111110 OR X16 >= 0.590910],{'0.0': {'precision': 0.6296296296296297; 'recall': 0.16666666666666666; 'f1-score': 0.2635658914728682; 'support': 102}; '1.0': {'precision': 0.6705426356589147; 'recall': 0.9453551912568307; 'f1-score': 0.7845804988662132; 'support': 183}; 'accuracy': 0.6666666666666666; 'macro avg': {'precision': 0.6500861326442722; 'recall': 0.5560109289617486; 'f1-score': 0.5240731951695407; 'support': 285}; 'weighted avg': {'precision': 0.6559000861326443; 'recall': 0.6666666666666666; 'f1-score': 0.5981121130622792; 'support': 285}},{'0.0': {'precision': 0.5; 'recall': 0.09090909090909091; 'f1-score': 0.15384615384615385; 'support': 11}; '1.0': {'precision': 0.6551724137931034; 'recall': 0.95; 'f1-score': 0.7755102040816326; 'support': 20}; 'accuracy': 0.6451612903225806; 'macro avg': {'precision': 0.5775862068965517; 'recall': 0.5204545454545454; 'f1-score': 0.46467817896389324; 'support': 31}; 'weighted avg': {'precision': 0.600111234705228; 'recall': 0.6451612903225806; 'f1-score': 0.554919734643237; 'support': 31}}
l: 5,1,CNF,9,285,31,17,[16; 17],564,0.776589,0.677419,2,[X15 >= 0.402680 OR X23 < 0.082350],{'0.0': {'precision': 0.5; 'recall': 0.30392156862745096; 'f1-score': 0.3780487804878048; 'support': 102}; '1.0': {'precision': 0.6816143497757847; 'recall': 0.8306010928961749; 'f1-score': 0.748768472906404; 'support': 183}; 'accuracy': 0.6421052631578947; 'macro avg': {'precision': 0.5908071748878924; 'recall': 0.567261330761813; 'f1-score': 0.5634086266971045; 'support': 285}; 'weighted avg': {'precision': 0.6166155298560302; 'recall': 0.6421052631578947; 'f1-score': 0.6160898461460633; 'support': 285}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.18181818181818182; 'f1-score': 0.28571428571428575; 'support': 11}; '1.0': {'precision': 0.6785714285714286; 'recall': 0.95; 'f1-score': 0.7916666666666667; 'support': 20}; 'accuracy': 0.6774193548387096; 'macro avg': {'precision': 0.6726190476190477; 'recall': 0.5659090909090909; 'f1-score': 0.5386904761904763; 'support': 31}; 'weighted avg': {'precision': 0.674347158218126; 'recall': 0.6774193548387096; 'f1-score': 0.6121351766513058; 'support': 31}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [16, 17], 'n_partitions': 17}, (mean val acc cv) 0.680746 (+- 0.067895), (mean training time) 0.778532 (+- 0.064274)
l: 5,1,CNF,0,284,32,8,[35; 36],564,0.473795,0.875000,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9655172413793104; 'recall': 0.5490196078431373; 'f1-score': 0.7000000000000002; 'support': 102}; '1.0': {'precision': 0.7964601769911505; 'recall': 0.989010989010989; 'f1-score': 0.8823529411764707; 'support': 182}; 'accuracy': 0.8309859154929577; 'macro avg': {'precision': 0.8809887091852304; 'recall': 0.7690152984270632; 'f1-score': 0.7911764705882354; 'support': 284}; 'weighted avg': {'precision': 0.8571778550460529; 'recall': 0.8309859154929577; 'f1-score': 0.8168599834299918; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.6363636363636364; 'f1-score': 0.7777777777777778; 'support': 11}; '1.0': {'precision': 0.84; 'recall': 1.0; 'f1-score': 0.9130434782608696; 'support': 21}; 'accuracy': 0.875; 'macro avg': {'precision': 0.9199999999999999; 'recall': 0.8181818181818181; 'f1-score': 0.8454106280193237; 'support': 32}; 'weighted avg': {'precision': 0.895; 'recall': 0.875; 'f1-score': 0.8665458937198067; 'support': 32}}
l: 5,1,CNF,1,284,32,8,[35; 36],564,0.541354,0.500000,3,[X16 < -0.094830 OR X20 >= 0.499090 OR X29 >= 0.694010],{'0.0': {'precision': 0.6666666666666666; 'recall': 0.5490196078431373; 'f1-score': 0.6021505376344086; 'support': 102}; '1.0': {'precision': 0.77; 'recall': 0.8461538461538461; 'f1-score': 0.8062827225130889; 'support': 182}; 'accuracy': 0.7394366197183099; 'macro avg': {'precision': 0.7183333333333333; 'recall': 0.6975867269984917; 'f1-score': 0.7042166300737487; 'support': 284}; 'weighted avg': {'precision': 0.7328873239436621; 'recall': 0.7394366197183099; 'f1-score': 0.7329676420284925; 'support': 284}},{'0.0': {'precision': 0.14285714285714285; 'recall': 0.09090909090909091; 'f1-score': 0.1111111111111111; 'support': 11}; '1.0': {'precision': 0.6; 'recall': 0.7142857142857143; 'f1-score': 0.6521739130434783; 'support': 21}; 'accuracy': 0.5; 'macro avg': {'precision': 0.37142857142857144; 'recall': 0.4025974025974026; 'f1-score': 0.3816425120772947; 'support': 32}; 'weighted avg': {'precision': 0.44285714285714284; 'recall': 0.5; 'f1-score': 0.466183574879227; 'support': 32}}
l: 5,1,CNF,2,284,32,8,[35; 36],564,0.645720,0.843750,2,[X5 >= 0.090910 OR X32 >= 0.168270],{'0.0': {'precision': 0.847457627118644; 'recall': 0.49019607843137253; 'f1-score': 0.6211180124223602; 'support': 102}; '1.0': {'precision': 0.7688888888888888; 'recall': 0.9505494505494505; 'f1-score': 0.85012285012285; 'support': 182}; 'accuracy': 0.7852112676056338; 'macro avg': {'precision': 0.8081732580037664; 'recall': 0.7203727644904115; 'f1-score': 0.7356204312726051; 'support': 284}; 'weighted avg': {'precision': 0.7971072385347868; 'recall': 0.7852112676056338; 'f1-score': 0.7678746337656318; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.5454545454545454; 'f1-score': 0.7058823529411764; 'support': 11}; '1.0': {'precision': 0.8076923076923077; 'recall': 1.0; 'f1-score': 0.8936170212765957; 'support': 21}; 'accuracy': 0.84375; 'macro avg': {'precision': 0.9038461538461539; 'recall': 0.7727272727272727; 'f1-score': 0.799749687108886; 'support': 32}; 'weighted avg': {'precision': 0.873798076923077; 'recall': 0.84375; 'f1-score': 0.8290832290362953; 'support': 32}}
