lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,26374,2931,3296,[8; 9],262,147.272694,0.711361,2,[X3 == 14 OR X6 == 12],{'0': {'precision': 0.7724980436483784; 'recall': 0.8874294561254558; 'f1-score': 0.8259848925043579; 'support': 20023}; '1': {'precision': 0.33155397390272834; 'recall': 0.17603527003621477; 'f1-score': 0.22997017381466625; 'support': 6351}; 'accuracy': 0.7161219382725411; 'macro avg': {'precision': 0.5520260087755533; 'recall': 0.5317323630808353; 'f1-score': 0.5279775331595121; 'support': 26374}; 'weighted avg': {'precision': 0.6663163576335673; 'recall': 0.7161219382725411; 'f1-score': 0.6824613663650453; 'support': 26374}},{'0': {'precision': 0.7726374060893634; 'recall': 0.8782022471910113; 'f1-score': 0.8220445940260833; 'support': 2225}; '1': {'precision': 0.32587064676616917; 'recall': 0.18555240793201133; 'f1-score': 0.2364620938628159; 'support': 706}; 'accuracy': 0.7113613101330604; 'macro avg': {'precision': 0.5492540264277663; 'recall': 0.5318773275615113; 'f1-score': 0.5292533439444496; 'support': 2931}; 'weighted avg': {'precision': 0.6650231679173486; 'recall': 0.7113613101330604; 'f1-score': 0.6809933333248664; 'support': 2931}}
5,1,CNF,1,26374,2931,1648,[16; 17],262,174.586356,0.753668,5,[X3 == 10 OR X6 == 4 OR X6 == 13 OR X13 == 5 OR X13 == 32],{'0': {'precision': 0.803381026155108; 'recall': 0.8805373820106878; 'f1-score': 0.84019156996831; 'support': 20023}; '1': {'precision': 0.4598012646793135; 'recall': 0.3205794363092426; 'f1-score': 0.377771592912144; 'support': 6351}; 'accuracy': 0.7456965192993099; 'macro avg': {'precision': 0.6315911454172107; 'recall': 0.6005584091599652; 'f1-score': 0.6089815814402271; 'support': 26374}; 'weighted avg': {'precision': 0.7206451853599016; 'recall': 0.7456965192993099; 'f1-score': 0.7288383708220405; 'support': 26374}},{'0': {'precision': 0.8086242299794661; 'recall': 0.8849438202247191; 'f1-score': 0.8450643776824034; 'support': 2225}; '1': {'precision': 0.4838709677419355; 'recall': 0.33994334277620397; 'f1-score': 0.3993344425956739; 'support': 706}; 'accuracy': 0.7536676902081201; 'macro avg': {'precision': 0.6462475988607008; 'recall': 0.6124435815004615; 'f1-score': 0.6221994101390387; 'support': 2931}; 'weighted avg': {'precision': 0.7303998003855745; 'recall': 0.7536676902081201; 'f1-score': 0.7376998829122803; 'support': 2931}}
5,1,CNF,2,26374,2931,1648,[16; 17],262,174.890723,0.727056,6,[X1 == 1 OR X3 == 4 OR X3 == 12 OR X6 == 10 OR X13 == 21 OR X13 == 35],{'0': {'precision': 0.8043823584376752; 'recall': 0.8598611596663837; 'f1-score': 0.8311970454051706; 'support': 20023}; '1': {'precision': 0.43541247484909457; 'recall': 0.34073374271768225; 'f1-score': 0.38229838353502343; 'support': 6351}; 'accuracy': 0.7348525062561614; 'macro avg': {'precision': 0.6198974166433849; 'recall': 0.6002974511920329; 'f1-score': 0.606747714470097; 'support': 26374}; 'weighted avg': {'precision': 0.7155324406902316; 'recall': 0.7348525062561614; 'f1-score': 0.7230998511404666; 'support': 26374}},{'0': {'precision': 0.8010139416983524; 'recall': 0.8521348314606741; 'f1-score': 0.8257839721254355; 'support': 2225}; '1': {'precision': 0.4166666666666667; 'recall': 0.3328611898016997; 'f1-score': 0.3700787401574803; 'support': 706}; 'accuracy': 0.7270556124189697; 'macro avg': {'precision': 0.6088403041825096; 'recall': 0.5924980106311869; 'f1-score': 0.5979313561414579; 'support': 2931}; 'weighted avg': {'precision': 0.7084348983096215; 'recall': 0.7270556124189697; 'f1-score': 0.716016693459664; 'support': 2931}}
5,1,CNF,3,26374,2931,1648,[16; 17],262,172.806975,0.757762,3,[X1 == 1 OR X3 == 12 OR X13 == 12],{'0': {'precision': 0.7811817094792397; 'recall': 0.94621185636518; 'f1-score': 0.8558135332911736; 'support': 20023}; '1': {'precision': 0.49222065063649223; 'recall': 0.1643835616438356; 'f1-score': 0.2464589235127479; 'support': 6351}; 'accuracy': 0.7579434291347539; 'macro avg': {'precision': 0.6367011800578659; 'recall': 0.5552977090045078; 'f1-score': 0.5511362284019607; 'support': 26374}; 'weighted avg': {'precision': 0.7115983438649875; 'recall': 0.7579434291347539; 'f1-score': 0.7090776901614708; 'support': 26374}},{'0': {'precision': 0.7814938684503902; 'recall': 0.9451685393258427; 'f1-score': 0.855573637103336; 'support': 2225}; '1': {'precision': 0.49166666666666664; 'recall': 0.1671388101983003; 'f1-score': 0.24947145877378438; 'support': 706}; 'accuracy': 0.7577618560218355; 'macro avg': {'precision': 0.6365802675585284; 'recall': 0.5561536747620714; 'f1-score': 0.5525225479385601; 'support': 2931}; 'weighted avg': {'precision': 0.7116821985563919; 'recall': 0.7577618560218355; 'f1-score': 0.7095797313030413; 'support': 2931}}
5,1,CNF,4,26374,2931,1648,[16; 17],262,169.553995,0.728420,5,[X1 == 5 OR X3 == 9 OR X3 == 10 OR X12 >= 55.000000 OR X13 == 10],{'0': {'precision': 0.8261369576581286; 'recall': 0.789292313839085; 'f1-score': 0.807294460194621; 'support': 20023}; '1': {'precision': 0.4175869685256764; 'recall': 0.47630294441820187; 'f1-score': 0.44501655020228026; 'support': 6351}; 'accuracy': 0.7139228027602942; 'macro avg': {'precision': 0.6218619630919024; 'recall': 0.6327976291286435; 'f1-score': 0.6261555051984506; 'support': 26374}; 'weighted avg': {'precision': 0.727755939193724; 'recall': 0.7139228027602942; 'f1-score': 0.7200560054148624; 'support': 26374}},{'0': {'precision': 0.8331002331002331; 'recall': 0.8031460674157304; 'f1-score': 0.8178489702517162; 'support': 2225}; '1': {'precision': 0.44274809160305345; 'recall': 0.49291784702549574; 'f1-score': 0.4664879356568365; 'support': 706}; 'accuracy': 0.7284203343568748; 'macro avg': {'precision': 0.6379241623516433; 'recall': 0.648031957220613; 'f1-score': 0.6421684529542764; 'support': 2931}; 'weighted avg': {'precision': 0.7390747769770639; 'recall': 0.7284203343568748; 'f1-score': 0.7332154354772417; 'support': 2931}}
5,1,CNF,5,26375,2930,1648,[16; 17],262,186.189146,0.750853,3,[X3 == 10 OR X8 == 1 OR X13 == 10],{'0': {'precision': 0.7661956176563989; 'recall': 0.9639914098786395; 'f1-score': 0.8537874599137454; 'support': 20023}; '1': {'precision': 0.3905325443786982; 'recall': 0.07273299748110831; 'f1-score': 0.12262773722627737; 'support': 6352}; 'accuracy': 0.7493459715639811; 'macro avg': {'precision': 0.5783640810175485; 'recall': 0.518362203679874; 'f1-score': 0.4882075985700114; 'support': 26375}; 'weighted avg': {'precision': 0.6757231307764006; 'recall': 0.7493459715639811; 'f1-score': 0.677699249164521; 'support': 26375}},{'0': {'precision': 0.7668689753659408; 'recall': 0.9653932584269663; 'f1-score': 0.8547552725825707; 'support': 2225}; '1': {'precision': 0.40310077519379844; 'recall': 0.07375886524822695; 'f1-score': 0.12470023980815347; 'support': 705}; 'accuracy': 0.7508532423208191; 'macro avg': {'precision': 0.5849848752798696; 'recall': 0.5195760618375966; 'f1-score': 0.4897277561953621; 'support': 2930}; 'weighted avg': {'precision': 0.6793411319798109; 'recall': 0.7508532423208191; 'f1-score': 0.6790935667443576; 'support': 2930}}
5,1,CNF,6,26375,2930,1648,[16; 17],262,194.159227,0.762457,5,[X1 == 1 OR X1 == 5 OR X3 == 10 OR X3 == 12 OR X7 == 5],{'0': {'precision': 0.8102163243046718; 'recall': 0.8903760675223493; 'f1-score': 0.848406976467509; 'support': 20023}; '1': {'precision': 0.49782658430565085; 'recall': 0.3425692695214106; 'f1-score': 0.4058565699897416; 'support': 6352}; 'accuracy': 0.7584454976303318; 'macro avg': {'precision': 0.6540214543051613; 'recall': 0.61647266852188; 'f1-score': 0.6271317732286252; 'support': 26375}; 'weighted avg': {'precision': 0.7349822151682252; 'recall': 0.7584454976303318; 'f1-score': 0.7418257373415648; 'support': 26375}},{'0': {'precision': 0.8076458752515091; 'recall': 0.9020224719101123; 'f1-score': 0.8522292993630574; 'support': 2225}; '1': {'precision': 0.5101123595505618; 'recall': 0.3219858156028369; 'f1-score': 0.3947826086956522; 'support': 705}; 'accuracy': 0.7624573378839591; 'macro avg': {'precision': 0.6588791174010354; 'recall': 0.6120041437564746; 'f1-score': 0.6235059540293548; 'support': 2930}; 'weighted avg': {'precision': 0.7360550463883118; 'recall': 0.7624573378839591; 'f1-score': 0.742161068332163; 'support': 2930}}
5,1,CNF,7,26375,2930,1648,[16; 17],262,194.096749,0.720478,7,[X1 == 6 OR X1 == 7 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 1],{'0': {'precision': 0.7958501601448267; 'recall': 0.8562652949108526; 'f1-score': 0.8249530866573642; 'support': 20023}; '1': {'precision': 0.40438741721854304; 'recall': 0.30761964735516373; 'f1-score': 0.3494277539341917; 'support': 6352}; 'accuracy': 0.724132701421801; 'macro avg': {'precision': 0.6001187886816849; 'recall': 0.5819424711330081; 'f1-score': 0.587190420295778; 'support': 26375}; 'weighted avg': {'precision': 0.7015725736778029; 'recall': 0.724132701421801; 'f1-score': 0.7104303600807731; 'support': 26375}},{'0': {'precision': 0.7951301427371956; 'recall': 0.8512359550561798; 'f1-score': 0.8222270457998698; 'support': 2225}; '1': {'precision': 0.395985401459854; 'recall': 0.3078014184397163; 'f1-score': 0.3463687150837989; 'support': 705}; 'accuracy': 0.7204778156996587; 'macro avg': {'precision': 0.5955577720985248; 'recall': 0.579518686747948; 'f1-score': 0.5842978804418344; 'support': 2930}; 'weighted avg': {'precision': 0.6990901964571528; 'recall': 0.7204778156996587; 'f1-score': 0.7077287102521462; 'support': 2930}}
5,1,CNF,8,26375,2930,1648,[16; 17],262,155.468636,0.667918,7,[X1 == 5 OR X2 < 65716.000000 OR X3 == 7 OR X3 == 8 OR X3 == 10 OR X3 == 14 OR X8 == 0],{'0': {'precision': 0.7836174473697064; 'recall': 0.8011885737115462; 'f1-score': 0.7923056028841642; 'support': 20024}; '1': {'precision': 0.325482887156896; 'recall': 0.3024720516454102; 'f1-score': 0.31355586387007267; 'support': 6351}; 'accuracy': 0.6810995260663507; 'macro avg': {'precision': 0.5545501672633012; 'recall': 0.5518303126784782; 'f1-score': 0.5529307333771184; 'support': 26375}; 'weighted avg': {'precision': 0.6733003822735336; 'recall': 0.6810995260663507; 'f1-score': 0.6770244808944582; 'support': 26375}},{'0': {'precision': 0.7786191536748329; 'recall': 0.7859712230215827; 'f1-score': 0.7822779145222644; 'support': 2224}; '1': {'precision': 0.3051094890510949; 'recall': 0.29603399433427763; 'f1-score': 0.3005032350826743; 'support': 706}; 'accuracy': 0.6679180887372014; 'macro avg': {'precision': 0.5418643213629639; 'recall': 0.5410026086779302; 'f1-score': 0.5413905748024693; 'support': 2930}; 'weighted avg': {'precision': 0.6645243334617411; 'recall': 0.6679180887372014; 'f1-score': 0.6661915924456943; 'support': 2930}}
5,1,CNF,9,26375,2930,1648,[16; 17],262,147.494385,0.733788,7,[X1 == 5 OR X1 == 7 OR X3 == 10 OR X3 == 14 OR X6 == 13 OR X13 == 5 OR X13 == 9],{'0': {'precision': 0.7870639850571217; 'recall': 0.9048641630043948; 'f1-score': 0.8418631664537112; 'support': 20024}; '1': {'precision': 0.43202146690518783; 'recall': 0.22815304676428907; 'f1-score': 0.29860896445131374; 'support': 6351}; 'accuracy': 0.741914691943128; 'macro avg': {'precision': 0.6095427259811548; 'recall': 0.566508604884342; 'f1-score': 0.5702360654525125; 'support': 26375}; 'weighted avg': {'precision': 0.7015710928189063; 'recall': 0.741914691943128; 'f1-score': 0.7110496143431054; 'support': 26375}},{'0': {'precision': 0.7851500789889415; 'recall': 0.8938848920863309; 'f1-score': 0.8359966358284273; 'support': 2224}; '1': {'precision': 0.40703517587939697; 'recall': 0.22946175637393768; 'f1-score': 0.2934782608695652; 'support': 706}; 'accuracy': 0.7337883959044369; 'macro avg': {'precision': 0.5960926274341692; 'recall': 0.5616733242301343; 'f1-score': 0.5647374483489962; 'support': 2930}; 'weighted avg': {'precision': 0.6940411637686895; 'recall': 0.7337883959044369; 'f1-score': 0.7052737782444831; 'support': 2930}}
5,1,CNF,0,26374,2931,824,[32; 33],262,81.723188,0.622654,15,[X1 == 7 OR X3 == 8 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X6 == 7 OR X6 == 10 OR X6 == 12 OR X7 == 5 OR X13 == 9 OR X13 == 11 OR X13 == 20 OR X13 == 34 OR X13 == 37 OR X13 == 40],{'0': {'precision': 0.8205828779599271; 'recall': 0.629975528142636; 'f1-score': 0.7127560389885578; 'support': 20023}; '1': {'precision': 0.326576986002545; 'recall': 0.5657376791056526; 'f1-score': 0.4141070708234887; 'support': 6351}; 'accuracy': 0.6145067111549253; 'macro avg': {'precision': 0.573579931981236; 'recall': 0.5978566036241444; 'f1-score': 0.5634315549060233; 'support': 26374}; 'weighted avg': {'precision': 0.7016236218811627; 'recall': 0.6145067111549254; 'f1-score': 0.6408397730897046; 'support': 26374}},{'0': {'precision': 0.8232235701906413; 'recall': 0.6404494382022472; 'f1-score': 0.7204246713852376; 'support': 2225}; '1': {'precision': 0.3333333333333333; 'recall': 0.56657223796034; 'f1-score': 0.4197271773347324; 'support': 706}; 'accuracy': 0.6226543841692255; 'macro avg': {'precision': 0.5782784517619873; 'recall': 0.6035108380812936; 'f1-score': 0.570075924359985; 'support': 2931}; 'weighted avg': {'precision': 0.7052220324147085; 'recall': 0.6226543841692255; 'f1-score': 0.6479946369943619; 'support': 2931}}
