lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,26373,2931,3296,[8; 9],262,124.897881,0.758444,4,[X1 == 5 OR X3 == 7 OR X3 == 14 OR X13 == 7],{'0': {'precision': 0.7787380086007277; 'recall': 0.9405683464016381; 'f1-score': 0.8520370077137106; 'support': 20023}; '1': {'precision': 0.4563727729556875; 'recall': 0.1573228346456693; 'f1-score': 0.23398524417379085; 'support': 6350}; 'accuracy': 0.7519811928866644; 'macro avg': {'precision': 0.6175553907782076; 'recall': 0.5489455905236537; 'f1-score': 0.5430111259437507; 'support': 26373}; 'weighted avg': {'precision': 0.701120018749516; 'recall': 0.7519811928866644; 'f1-score': 0.7032246352692223; 'support': 26373}},{'0': {'precision': 0.7797860568056068; 'recall': 0.9501123595505618; 'f1-score': 0.8565640194489466; 'support': 2225}; '1': {'precision': 0.4954545454545455; 'recall': 0.15439093484419264; 'f1-score': 0.23542116630669546; 'support': 706}; 'accuracy': 0.7584442169907881; 'macro avg': {'precision': 0.6376203011300761; 'recall': 0.5522516471973773; 'f1-score': 0.545992592877821; 'support': 2931}; 'weighted avg': {'precision': 0.7112981526725979; 'recall': 0.7584442169907881; 'f1-score': 0.7069472148367224; 'support': 2931}}
5,1,CNF,1,26373,2931,1648,[16; 17],262,189.084097,0.620948,6,[X0 >= 50.000000 OR X1 == 5 OR X6 == 5 OR X6 == 11 OR X6 == 12 OR X13 == 19],{'0': {'precision': 0.7955313222307829; 'recall': 0.6703790640763122; 'f1-score': 0.7276127493495229; 'support': 20023}; '1': {'precision': 0.30526315789473685; 'recall': 0.4566929133858268; 'f1-score': 0.3659305993690852; 'support': 6350}; 'accuracy': 0.6189284495506768; 'macro avg': {'precision': 0.5503972400627599; 'recall': 0.5635359887310695; 'f1-score': 0.5467716743593041; 'support': 26373}; 'weighted avg': {'precision': 0.6774862441761857; 'recall': 0.6189284495506768; 'f1-score': 0.6405281684381446; 'support': 26373}},{'0': {'precision': 0.7953340402969247; 'recall': 0.6741573033707865; 'f1-score': 0.7297494526879104; 'support': 2225}; '1': {'precision': 0.3062200956937799; 'recall': 0.45325779036827196; 'f1-score': 0.3655054254711593; 'support': 706}; 'accuracy': 0.620948481746844; 'macro avg': {'precision': 0.5507770679953523; 'recall': 0.5637075468695292; 'f1-score': 0.5476274390795348; 'support': 2931}; 'weighted avg': {'precision': 0.6775194906927553; 'recall': 0.620948481746844; 'f1-score': 0.6420127473944862; 'support': 2931}}
5,1,CNF,2,26373,2931,1648,[16; 17],262,205.420746,0.682702,7,[X3 == 10 OR X3 == 14 OR X5 == 2 OR X6 == 14 OR X13 == 1 OR X13 == 30 OR X13 == 32],{'0': {'precision': 0.9406552494415488; 'recall': 0.6309244368975678; 'f1-score': 0.7552685857770605; 'support': 20023}; '1': {'precision': 0.4290349996136908; 'recall': 0.8744881889763779; 'f1-score': 0.5756491991914167; 'support': 6350}; 'accuracy': 0.6895688772608349; 'macro avg': {'precision': 0.6848451245276198; 'recall': 0.7527063129369729; 'f1-score': 0.6654588924842386; 'support': 26373}; 'weighted avg': {'precision': 0.8174690898689974; 'recall': 0.6895688772608349; 'f1-score': 0.7120204492427701; 'support': 26373}},{'0': {'precision': 0.9377958079783637; 'recall': 0.623370786516854; 'f1-score': 0.7489200863930886; 'support': 2225}; '1': {'precision': 0.4228650137741047; 'recall': 0.8696883852691218; 'f1-score': 0.5690454124189064; 'support': 706}; 'accuracy': 0.6827021494370522; 'macro avg': {'precision': 0.6803304108762342; 'recall': 0.7465295858929879; 'f1-score': 0.6589827494059974; 'support': 2931}; 'weighted avg': {'precision': 0.8137626654644754; 'recall': 0.6827021494370522; 'f1-score': 0.7055930581345514; 'support': 2931}}
5,1,CNF,3,26373,2931,1648,[16; 17],262,277.503670,0.700102,6,[X3 == 8 OR X5 == 1 OR X6 == 14 OR X13 == 11 OR X13 == 20 OR X13 == 31],{'0': {'precision': 0.7591932575789341; 'recall': 0.9042601008839835; 'f1-score': 0.8254011670313639; 'support': 20023}; '1': {'precision': 0.24049128367670364; 'recall': 0.09559055118110237; 'f1-score': 0.13680414694613477; 'support': 6350}; 'accuracy': 0.7095514351799188; 'macro avg': {'precision': 0.49984227062781883; 'recall': 0.4999253260325429; 'f1-score': 0.4811026569887493; 'support': 26373}; 'weighted avg': {'precision': 0.6343019849031231; 'recall': 0.7095514351799188; 'f1-score': 0.6596031509717117; 'support': 26373}},{'0': {'precision': 0.7580521472392638; 'recall': 0.8885393258426967; 'f1-score': 0.8181253879577901; 'support': 2225}; '1': {'precision': 0.23219814241486067; 'recall': 0.10623229461756374; 'f1-score': 0.14577259475218657; 'support': 706}; 'accuracy': 0.7001023541453428; 'macro avg': {'precision': 0.49512514482706227; 'recall': 0.49738581023013023; 'f1-score': 0.48194899135498837; 'support': 2931}; 'weighted avg': {'precision': 0.6313878936036348; 'recall': 0.7001023541453428; 'f1-score': 0.6561734698400297; 'support': 2931}}
5,1,CNF,4,26374,2930,1648,[16; 17],262,172.169215,0.748464,3,[X6 == 4 OR X13 == 14 OR X13 == 41],{'0': {'precision': 0.7942517257847437; 'recall': 0.9136493033012036; 'f1-score': 0.8497770345596433; 'support': 20023}; '1': {'precision': 0.48249027237354086; 'recall': 0.2538182963312864; 'f1-score': 0.3326454808089146; 'support': 6351}; 'accuracy': 0.754758474254948; 'macro avg': {'precision': 0.6383709990791423; 'recall': 0.5837337998162451; 'f1-score': 0.591211257684279; 'support': 26374}; 'weighted avg': {'precision': 0.7191779034364253; 'recall': 0.754758474254948; 'f1-score': 0.7252489956625902; 'support': 26374}},{'0': {'precision': 0.7883720930232558; 'recall': 0.9141573033707865; 'f1-score': 0.8466181061394382; 'support': 2225}; '1': {'precision': 0.4542857142857143; 'recall': 0.225531914893617; 'f1-score': 0.3014218009478673; 'support': 705}; 'accuracy': 0.7484641638225256; 'macro avg': {'precision': 0.6213289036544851; 'recall': 0.5698446091322018; 'f1-score': 0.5740199535436528; 'support': 2930}; 'weighted avg': {'precision': 0.7079861213474993; 'recall': 0.7484641638225256; 'f1-score': 0.7154360600097258; 'support': 2930}}
5,1,CNF,5,26374,2930,1648,[16; 17],262,174.055948,0.685666,9,[X1 == 1 OR X3 == 6 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 2 OR X7 == 5 OR X13 == 9 OR X13 == 20],{'0': {'precision': 0.9513479525269197; 'recall': 0.6045048194576237; 'f1-score': 0.7392658645330727; 'support': 20023}; '1': {'precision': 0.41989597831660685; 'recall': 0.9025350338529365; 'f1-score': 0.5731426857314269; 'support': 6351}; 'accuracy': 0.6762720861454463; 'macro avg': {'precision': 0.6856219654217632; 'recall': 0.7535199266552801; 'f1-score': 0.6562042751322499; 'support': 26374}; 'weighted avg': {'precision': 0.8233714799323305; 'recall': 0.6762720861454463; 'f1-score': 0.6992625162139231; 'support': 26374}},{'0': {'precision': 0.9490358126721763; 'recall': 0.6193258426966292; 'f1-score': 0.7495240685341311; 'support': 2225}; '1': {'precision': 0.42692828146143436; 'recall': 0.8950354609929078; 'f1-score': 0.5781035272560695; 'support': 705}; 'accuracy': 0.6856655290102389; 'macro avg': {'precision': 0.6879820470668053; 'recall': 0.7571806518447685; 'f1-score': 0.6638137978951003; 'support': 2930}; 'weighted avg': {'precision': 0.8234092565276121; 'recall': 0.6856655290102388; 'f1-score': 0.7082778290798536; 'support': 2930}}
5,1,CNF,6,26374,2930,1648,[16; 17],262,211.596642,0.702389,6,[X1 == 6 OR X3 == 10 OR X3 == 12 OR X6 == 6 OR X13 == 5 OR X13 == 30],{'0': {'precision': 0.7810150814773311; 'recall': 0.8353893023023523; 'f1-score': 0.8072876447876449; 'support': 20023}; '1': {'precision': 0.33508170264272746; 'recall': 0.2615336167532672; 'f1-score': 0.29377431906614787; 'support': 6351}; 'accuracy': 0.6972017896413134; 'macro avg': {'precision': 0.5580483920600293; 'recall': 0.5484614595278098; 'f1-score': 0.5505309819268964; 'support': 26374}; 'weighted avg': {'precision': 0.6736319431980193; 'recall': 0.6972017896413134; 'f1-score': 0.6836308945162706; 'support': 26374}},{'0': {'precision': 0.7826995403259507; 'recall': 0.8417977528089887; 'f1-score': 0.8111736682546558; 'support': 2225}; '1': {'precision': 0.34450651769087526; 'recall': 0.2624113475177305; 'f1-score': 0.29790660225442833; 'support': 705}; 'accuracy': 0.7023890784982935; 'macro avg': {'precision': 0.563603029008413; 'recall': 0.5521045501633596; 'f1-score': 0.554540135254542; 'support': 2930}; 'weighted avg': {'precision': 0.6772640178147806; 'recall': 0.7023890784982935; 'f1-score': 0.6876742547631335; 'support': 2930}}
5,1,CNF,7,26374,2930,1648,[16; 17],262,178.208826,0.649147,6,[X1 == 7 OR X3 == 10 OR X8 == 2 OR X12 >= 55.000000 OR X13 == 5 OR X13 == 34],{'0': {'precision': 0.7733526069185525; 'recall': 0.7748589122509114; 'f1-score': 0.7741050268180116; 'support': 20023}; '1': {'precision': 0.2858048162230672; 'recall': 0.2840497559439458; 'f1-score': 0.2849245834320462; 'support': 6351}; 'accuracy': 0.6566694471828316; 'macro avg': {'precision': 0.5295787115708098; 'recall': 0.5294543340974286; 'f1-score': 0.5295148051250289; 'support': 26374}; 'weighted avg': {'precision': 0.6559484961008143; 'recall': 0.6566694471828316; 'f1-score': 0.6563077645163408; 'support': 26374}},{'0': {'precision': 0.7670682730923695; 'recall': 0.7725842696629214; 'f1-score': 0.7698163905060457; 'support': 2225}; '1': {'precision': 0.2656023222060958; 'recall': 0.25957446808510637; 'f1-score': 0.26255380200860834; 'support': 705}; 'accuracy': 0.6491467576791808; 'macro avg': {'precision': 0.5163352976492326; 'recall': 0.5160793688740138; 'f1-score': 0.516185096257327; 'support': 2930}; 'weighted avg': {'precision': 0.6464083770600066; 'recall': 0.6491467576791808; 'f1-score': 0.6477617403727033; 'support': 2930}}
5,1,CNF,8,26374,2930,1648,[16; 17],262,165.537218,0.717747,3,[X3 == 14 OR X7 == 0 OR X13 == 9],{'0': {'precision': 0.9045710221762462; 'recall': 0.6987115461446265; 'f1-score': 0.7884252345665098; 'support': 20024}; '1': {'precision': 0.4468689832217842; 'recall': 0.7675590551181103; 'f1-score': 0.5648722257634584; 'support': 6350}; 'accuracy': 0.7152877834230682; 'macro avg': {'precision': 0.6757200026990152; 'recall': 0.7331353006313683; 'f1-score': 0.6766487301649842; 'support': 26374}; 'weighted avg': {'precision': 0.7943712820018003; 'recall': 0.7152877834230682; 'f1-score': 0.7346009528534827; 'support': 26374}},{'0': {'precision': 0.9106407995296885; 'recall': 0.6964928057553957; 'f1-score': 0.7892993630573248; 'support': 2224}; '1': {'precision': 0.45077298616761596; 'recall': 0.7847025495750708; 'f1-score': 0.572609819121447; 'support': 706}; 'accuracy': 0.7177474402730375; 'macro avg': {'precision': 0.6807068928486522; 'recall': 0.7405976776652332; 'f1-score': 0.6809545910893859; 'support': 2930}; 'weighted avg': {'precision': 0.7998330602008068; 'recall': 0.7177474402730375; 'f1-score': 0.7370867971806252; 'support': 2930}}
5,1,CNF,9,26374,2930,1648,[16; 17],262,162.096914,0.716041,5,[X1 == 1 OR X1 == 5 OR X1 == 6 OR X3 == 14 OR X5 == 1],{'0': {'precision': 0.7868889087496649; 'recall': 0.8793947263284059; 'f1-score': 0.8305740295269091; 'support': 20024}; '1': {'precision': 0.39564564564564564; 'recall': 0.2489763779527559; 'f1-score': 0.30562536245892136; 'support': 6350}; 'accuracy': 0.7276105255175551; 'macro avg': {'precision': 0.5912672771976553; 'recall': 0.5641855521405809; 'f1-score': 0.5680996959929152; 'support': 26374}; 'weighted avg': {'precision': 0.6926902767366777; 'recall': 0.7276105255175551; 'f1-score': 0.7041834920323415; 'support': 26374}},{'0': {'precision': 0.7822384428223844; 'recall': 0.8673561151079137; 'f1-score': 0.8226012793176972; 'support': 2224}; '1': {'precision': 0.3642241379310345; 'recall': 0.23937677053824363; 'f1-score': 0.28888888888888886; 'support': 706}; 'accuracy': 0.7160409556313994; 'macro avg': {'precision': 0.5732312903767094; 'recall': 0.5533664428230787; 'f1-score': 0.555745084103293; 'support': 2930}; 'weighted avg': {'precision': 0.6815155420533424; 'recall': 0.7160409556313994; 'f1-score': 0.6940002732962847; 'support': 2930}}
5,1,CNF,0,26373,2931,824,[32; 33],262,72.040682,0.733879,7,[X1 == 1 OR X3 == 0 OR X3 == 14 OR X6 == 4 OR X13 == 10 OR X13 == 35 OR X13 == 41],{'0': {'precision': 0.8031737062673636; 'recall': 0.8518703490985366; 'f1-score': 0.8268056228793019; 'support': 20023}; '1': {'precision': 0.42250778816199375; 'recall': 0.3417322834645669; 'f1-score': 0.37785129723141214; 'support': 6350}; 'accuracy': 0.7290410647252872; 'macro avg': {'precision': 0.6128407472146786; 'recall': 0.5968013162815518; 'f1-score': 0.602328460055357; 'support': 26373}; 'weighted avg': {'precision': 0.7115182791271407; 'recall': 0.7290410647252872; 'f1-score': 0.718707948444687; 'support': 26373}},{'0': {'precision': 0.8034439311213776; 'recall': 0.8597752808988764; 'f1-score': 0.8306556665219279; 'support': 2225}; '1': {'precision': 0.43272727272727274; 'recall': 0.3371104815864023; 'f1-score': 0.37898089171974525; 'support': 706}; 'accuracy': 0.7338792221084954; 'macro avg': {'precision': 0.6180856019243252; 'recall': 0.5984428812426393; 'f1-score': 0.6048182791208365; 'support': 2931}; 'weighted avg': {'precision': 0.7141481410066597; 'recall': 0.7338792221084954; 'f1-score': 0.7218592178660627; 'support': 2931}}
