l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,3296,[8; 9],262,109.907713,0.749232,5,[X3 == 9 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X6 == 11],{'0': {'precision': 0.8425615356829558; 'recall': 0.8154622184487839; 'f1-score': 0.8287904167301151; 'support': 20023}; '1': {'precision': 0.47176554681915656; 'recall': 0.5196032120925839; 'f1-score': 0.4945301963135022; 'support': 6351}; 'accuracy': 0.7442177902479715; 'macro avg': {'precision': 0.6571635412510561; 'recall': 0.6675327152706838; 'f1-score': 0.6616603065218086; 'support': 26374}; 'weighted avg': {'precision': 0.7532718820364104; 'recall': 0.7442177902479715; 'f1-score': 0.7482987711751782; 'support': 26374}},{'0': {'precision': 0.8433179723502304; 'recall': 0.8224719101123595; 'f1-score': 0.832764505119454; 'support': 2225}; '1': {'precision': 0.480946123521682; 'recall': 0.5184135977337111; 'f1-score': 0.49897750511247446; 'support': 706}; 'accuracy': 0.7492323439099283; 'macro avg': {'precision': 0.6621320479359563; 'recall': 0.6704427539230353; 'f1-score': 0.6658710051159642; 'support': 2931}; 'weighted avg': {'precision': 0.7560322250718424; 'recall': 0.7492323439099283; 'f1-score': 0.7523640881952207; 'support': 2931}}
l: 5,1,CNF,0,26374,2931,1648,[16; 17],262,174.251440,0.718867,5,[X1 == 5 OR X3 == 14 OR X5 == 1 OR X6 == 12 OR X13 == 34],{'0': {'precision': 0.781390134529148; 'recall': 0.8702492134045847; 'f1-score': 0.8234293410202489; 'support': 20023}; '1': {'precision': 0.36229749631811486; 'recall': 0.23240434577231933; 'f1-score': 0.2831654676258993; 'support': 6351}; 'accuracy': 0.7166527640858421; 'macro avg': {'precision': 0.5718438154236314; 'recall': 0.551326779588452; 'f1-score': 0.5532974043230741; 'support': 26374}; 'weighted avg': {'precision': 0.6804703898837293; 'recall': 0.7166527640858421; 'f1-score': 0.6933309160590176; 'support': 26374}},{'0': {'precision': 0.7794176306342242; 'recall': 0.8782022471910113; 'f1-score': 0.8258664412510566; 'support': 2225}; '1': {'precision': 0.3608490566037736; 'recall': 0.21671388101983002; 'f1-score': 0.27079646017699116; 'support': 706}; 'accuracy': 0.7188672807915387; 'macro avg': {'precision': 0.5701333436189989; 'recall': 0.5474580641054206; 'f1-score': 0.5483314507140239; 'support': 2931}; 'weighted avg': {'precision': 0.6785955858489979; 'recall': 0.7188672807915387; 'f1-score': 0.6921648354379245; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,1648,[16; 17],262,169.565426,0.682361,7,[X1 == 1 OR X1 == 2 OR X3 == 5 OR X6 == 11 OR X6 == 13 OR X13 == 34 OR X13 == 41],{'0': {'precision': 0.766983362326598; 'recall': 0.8587624232133046; 'f1-score': 0.8102822675651478; 'support': 20023}; '1': {'precision': 0.2849557522123894; 'recall': 0.17745236970555817; 'f1-score': 0.21870754900058217; 'support': 6351}; 'accuracy': 0.6946993250928946; 'macro avg': {'precision': 0.5259695572694937; 'recall': 0.5181073964594314; 'f1-score': 0.5144949082828649; 'support': 26374}; 'weighted avg': {'precision': 0.6509085404628179; 'recall': 0.6946993250928946; 'f1-score': 0.6678279171593103; 'support': 26374}},{'0': {'precision': 0.7561361836896279; 'recall': 0.8584269662921349; 'f1-score': 0.8040412544727427; 'support': 2225}; '1': {'precision': 0.2222222222222222; 'recall': 0.1274787535410765; 'f1-score': 0.162016201620162; 'support': 706}; 'accuracy': 0.6823609689525759; 'macro avg': {'precision': 0.48917920295592504; 'recall': 0.4929528599166057; 'f1-score': 0.48302872804645236; 'support': 2931}; 'weighted avg': {'precision': 0.6275305007159028; 'recall': 0.682360968952576; 'f1-score': 0.6493944829565632; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,1648,[16; 17],262,216.473346,0.718526,4,[X3 == 7 OR X6 == 11 OR X8 == 1 OR X12 >= 55.000000],{'0': {'precision': 0.7837251189211657; 'recall': 0.8475253458522699; 'f1-score': 0.8143775794222095; 'support': 20023}; '1': {'precision': 0.3533149756407541; 'recall': 0.26263580538497877; 'f1-score': 0.3013005780346821; 'support': 6351}; 'accuracy': 0.706680822021688; 'macro avg': {'precision': 0.56852004728096; 'recall': 0.5550805756186243; 'f1-score': 0.5578390787284457; 'support': 26374}; 'weighted avg': {'precision': 0.6800800586355096; 'recall': 0.706680822021688; 'f1-score': 0.690825898379812; 'support': 26374}},{'0': {'precision': 0.7847843775427177; 'recall': 0.8669662921348315; 'f1-score': 0.8238308776425368; 'support': 2225}; '1': {'precision': 0.37420718816067655; 'recall': 0.2507082152974504; 'f1-score': 0.3002544529262086; 'support': 706}; 'accuracy': 0.7185261003070624; 'macro avg': {'precision': 0.5794957828516971; 'recall': 0.5588372537161409; 'f1-score': 0.5620426652843727; 'support': 2931}; 'weighted avg': {'precision': 0.6858872449245939; 'recall': 0.7185261003070624; 'f1-score': 0.6977152325215107; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,1648,[16; 17],262,189.061097,0.721256,4,[X1 == 7 OR X6 == 10 OR X7 == 5 OR X13 == 31],{'0': {'precision': 0.7986725663716814; 'recall': 0.8473755181541227; 'f1-score': 0.8223035355126372; 'support': 20023}; '1': {'precision': 0.40428849902534114; 'recall': 0.3265627460242482; 'f1-score': 0.3612925703335947; 'support': 6351}; 'accuracy': 0.7219610222188519; 'macro avg': {'precision': 0.6014805326985113; 'recall': 0.5869691320891854; 'f1-score': 0.5917980529231159; 'support': 26374}; 'weighted avg': {'precision': 0.7037027774994358; 'recall': 0.7219610222188519; 'f1-score': 0.7112896339485173; 'support': 26374}},{'0': {'precision': 0.7960470984020185; 'recall': 0.8507865168539326; 'f1-score': 0.8225070606126439; 'support': 2225}; '1': {'precision': 0.3996383363471971; 'recall': 0.3130311614730878; 'f1-score': 0.3510722795869738; 'support': 706}; 'accuracy': 0.7212555441828727; 'macro avg': {'precision': 0.5978427173746078; 'recall': 0.5819088391635102; 'f1-score': 0.5867896700998089; 'support': 2931}; 'weighted avg': {'precision': 0.7005627633591306; 'recall': 0.7212555441828727; 'f1-score': 0.7089509516381904; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,1648,[16; 17],262,202.409239,0.646196,7,[X0 >= 58.000000 OR X1 == 1 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X6 == 1 OR X13 == 41],{'0': {'precision': 0.7890926640926641; 'recall': 0.7349048594116766; 'f1-score': 0.7610354012050372; 'support': 20023}; '1': {'precision': 0.31296919492622316; 'recall': 0.38072744449692963; 'f1-score': 0.34353910634368123; 'support': 6351}; 'accuracy': 0.6496170470918329; 'macro avg': {'precision': 0.5510309295094437; 'recall': 0.5578161519543031; 'f1-score': 0.5522872537743593; 'support': 26374}; 'weighted avg': {'precision': 0.6744395908889004; 'recall': 0.6496170470918329; 'f1-score': 0.6605000645604451; 'support': 26374}},{'0': {'precision': 0.7923228346456693; 'recall': 0.7235955056179775; 'f1-score': 0.7564012215175006; 'support': 2225}; '1': {'precision': 0.31590656284760843; 'recall': 0.40226628895184136; 'f1-score': 0.3538940809968847; 'support': 706}; 'accuracy': 0.6461958375980894; 'macro avg': {'precision': 0.5541146987466389; 'recall': 0.5629308972849094; 'f1-score': 0.5551476512571927; 'support': 2931}; 'weighted avg': {'precision': 0.6775668169420082; 'recall': 0.6461958375980893; 'f1-score': 0.6594479491846603; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,1648,[16; 17],262,195.557285,0.675085,6,[X1 == 5 OR X2 < 65716.000000 OR X3 == 8 OR X6 == 10 OR X13 == 21 OR X13 == 22],{'0': {'precision': 0.800646945270517; 'recall': 0.766418618588623; 'f1-score': 0.7831589691247767; 'support': 20023}; '1': {'precision': 0.35113762486126526; 'recall': 0.3984571788413098; 'f1-score': 0.3733038348082596; 'support': 6352}; 'accuracy': 0.6778009478672986; 'macro avg': {'precision': 0.5758922850658912; 'recall': 0.5824378987149664; 'f1-score': 0.5782314019665181; 'support': 26375}; 'weighted avg': {'precision': 0.6923897622093012; 'recall': 0.6778009478672986; 'f1-score': 0.6844518672033163; 'support': 26375}},{'0': {'precision': 0.8009456264775414; 'recall': 0.7613483146067416; 'f1-score': 0.7806451612903227; 'support': 2225}; '1': {'precision': 0.34846625766871164; 'recall': 0.40283687943262414; 'f1-score': 0.3736842105263158; 'support': 705}; 'accuracy': 0.6750853242320819; 'macro avg': {'precision': 0.5747059420731265; 'recall': 0.5820925970196829; 'f1-score': 0.5771646859083193; 'support': 2930}; 'weighted avg': {'precision': 0.6920726042897514; 'recall': 0.6750853242320819; 'f1-score': 0.6827245229665599; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,1648,[16; 17],262,194.777555,0.723891,5,[X1 == 5 OR X2 < 65716.000000 OR X3 == 14 OR X7 == 5 OR X13 == 24],{'0': {'precision': 0.7883232134516581; 'recall': 0.8429306297757578; 'f1-score': 0.8147129099992759; 'support': 20023}; '1': {'precision': 0.36656596173212486; 'recall': 0.2865239294710327; 'f1-score': 0.3216400106035168; 'support': 6352}; 'accuracy': 0.7089289099526066; 'macro avg': {'precision': 0.5774445875918914; 'recall': 0.5647272796233953; 'f1-score': 0.5681764603013963; 'support': 26375}; 'weighted avg': {'precision': 0.6867496755209481; 'recall': 0.7089289099526066; 'f1-score': 0.6959641305883997; 'support': 26375}},{'0': {'precision': 0.7947543713572023; 'recall': 0.8579775280898876; 'f1-score': 0.8251566889993516; 'support': 2225}; '1': {'precision': 0.4015151515151515; 'recall': 0.300709219858156; 'f1-score': 0.34387672343876724; 'support': 705}; 'accuracy': 0.7238907849829351; 'macro avg': {'precision': 0.5981347614361769; 'recall': 0.5793433739740218; 'f1-score': 0.5845167062190594; 'support': 2930}; 'weighted avg': {'precision': 0.700135378187016; 'recall': 0.7238907849829351; 'f1-score': 0.7093538303917707; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,1648,[16; 17],262,169.901223,0.642662,8,[X1 == 6 OR X3 == 8 OR X6 == 3 OR X6 == 4 OR X13 == 12 OR X13 == 21 OR X13 == 31 OR X13 == 40],{'0': {'precision': 0.8055272397780043; 'recall': 0.7103830594815962; 'f1-score': 0.7549693479472414; 'support': 20023}; '1': {'precision': 0.334748193185729; 'recall': 0.4593828715365239; 'f1-score': 0.3872851549538788; 'support': 6352}; 'accuracy': 0.6499336492890996; 'macro avg': {'precision': 0.5701377164818666; 'recall': 0.58488296550906; 'f1-score': 0.5711272514505601; 'support': 26375}; 'weighted avg': {'precision': 0.6921475808603121; 'recall': 0.6499336492890996; 'f1-score': 0.666418447704821; 'support': 26375}},{'0': {'precision': 0.8011247443762781; 'recall': 0.7042696629213483; 'f1-score': 0.7495814398469266; 'support': 2225}; '1': {'precision': 0.324435318275154; 'recall': 0.4482269503546099; 'f1-score': 0.37641453245979745; 'support': 705}; 'accuracy': 0.6426621160409556; 'macro avg': {'precision': 0.5627800313257161; 'recall': 0.5762483066379791; 'f1-score': 0.562997986153362; 'support': 2930}; 'weighted avg': {'precision': 0.6864264353655981; 'recall': 0.6426621160409556; 'f1-score': 0.6597921327793751; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,1648,[16; 17],262,198.226573,0.736860,9,[X3 == 2 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X6 == 10 OR X7 == 5 OR X13 == 7 OR X13 == 13 OR X13 == 31],{'0': {'precision': 0.8128564523924601; 'recall': 0.8398921294446664; 'f1-score': 0.8261531659871298; 'support': 20024}; '1': {'precision': 0.4360598065083553; 'recall': 0.3903322311447016; 'f1-score': 0.41193087404453305; 'support': 6351}; 'accuracy': 0.7316398104265402; 'macro avg': {'precision': 0.6244581294504077; 'recall': 0.615112180294684; 'f1-score': 0.6190420200158314; 'support': 26375}; 'weighted avg': {'precision': 0.722125248676443; 'recall': 0.7316398104265402; 'f1-score': 0.726410008598412; 'support': 26375}},{'0': {'precision': 0.816557734204793; 'recall': 0.8426258992805755; 'f1-score': 0.8293870325293207; 'support': 2224}; '1': {'precision': 0.44881889763779526; 'recall': 0.40368271954674223; 'f1-score': 0.4250559284116331; 'support': 706}; 'accuracy': 0.7368600682593857; 'macro avg': {'precision': 0.6326883159212942; 'recall': 0.6231543094136589; 'f1-score': 0.6272214804704769; 'support': 2930}; 'weighted avg': {'precision': 0.7279489906497417; 'recall': 0.7368600682593857; 'f1-score': 0.7319611760422602; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,1648,[16; 17],262,147.111471,0.688055,6,[X1 == 5 OR X2 < 65716.000000 OR X3 == 7 OR X3 == 12 OR X3 == 14 OR X13 == 0],{'0': {'precision': 0.7959686560544084; 'recall': 0.8065821014782262; 'f1-score': 0.8012402331638349; 'support': 20024}; '1': {'precision': 0.3634122287968442; 'recall': 0.3481341521020312; 'f1-score': 0.3556091676718939; 'support': 6351}; 'accuracy': 0.6961895734597157; 'macro avg': {'precision': 0.5796904424256263; 'recall': 0.5773581267901287; 'f1-score': 0.5784247004178644; 'support': 26375}; 'weighted avg': {'precision': 0.6918107083951557; 'recall': 0.6961895734597157; 'f1-score': 0.6939339621898323; 'support': 26375}},{'0': {'precision': 0.7926720285969616; 'recall': 0.7976618705035972; 'f1-score': 0.7951591214701929; 'support': 2224}; '1': {'precision': 0.34971098265895956; 'recall': 0.34277620396600567; 'f1-score': 0.34620886981402005; 'support': 706}; 'accuracy': 0.6880546075085324; 'macro avg': {'precision': 0.5711915056279606; 'recall': 0.5702190372348014; 'f1-score': 0.5706839956421065; 'support': 2930}; 'weighted avg': {'precision': 0.6859380700876683; 'recall': 0.6880546075085324; 'f1-score': 0.6869820301154973; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [16, 17], 'n_partitions': 1648}, (mean val acc cv) 0.695376 (+- 0.031818), (mean training time) 185.733465 (+- 19.245873)
l: 5,1,CNF,0,26374,2931,824,[32; 33],262,75.356511,0.727738,9,[X1 == 2 OR X3 == 14 OR X5 == 1 OR X13 == 1 OR X13 == 5 OR X13 == 20 OR X13 == 22 OR X13 == 24 OR X13 == 31],{'0': {'precision': 0.7736903570236904; 'recall': 0.9264346002097588; 'f1-score': 0.8432009818404964; 'support': 20023}; '1': {'precision': 0.38573811509591327; 'recall': 0.1456463549047394; 'f1-score': 0.21145273745570922; 'support': 6351}; 'accuracy': 0.7384166224311822; 'macro avg': {'precision': 0.5797142360598018; 'recall': 0.536040477557249; 'f1-score': 0.5273268596481028; 'support': 26374}; 'weighted avg': {'precision': 0.6802693860491202; 'recall': 0.7384166224311822; 'f1-score': 0.6910726319471248; 'support': 26374}},{'0': {'precision': 0.7705726204019719; 'recall': 0.9132584269662921; 'f1-score': 0.8358700123406005; 'support': 2225}; '1': {'precision': 0.3435374149659864; 'recall': 0.14305949008498584; 'f1-score': 0.202; 'support': 706}; 'accuracy': 0.7277379733879222; 'macro avg': {'precision': 0.5570550176839791; 'recall': 0.528158958525639; 'f1-score': 0.5189350061703003; 'support': 2931}; 'weighted avg': {'precision': 0.6677111891369409; 'recall': 0.7277379733879222; 'f1-score': 0.6831875733394187; 'support': 2931}}
