l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,3296,[8; 9],262,264.908865,0.601160,5,[X0 >= 45.000000 OR X1 == 2 OR X1 == 5 OR X3 == 12 OR X6 == 3],{'0': {'precision': 0.835547810934437; 'recall': 0.5747390500923938; 'f1-score': 0.6810273405136702; 'support': 20023}; '1': {'precision': 0.3242599793667169; 'recall': 0.6433632498819084; 'f1-score': 0.4311945968763191; 'support': 6351}; 'accuracy': 0.5912641237582468; 'macro avg': {'precision': 0.5799038951505769; 'recall': 0.6090511499871512; 'f1-score': 0.5561109686949947; 'support': 26374}; 'weighted avg': {'precision': 0.7124269715362952; 'recall': 0.5912641237582468; 'f1-score': 0.6208662820909502; 'support': 26374}},{'0': {'precision': 0.8346007604562737; 'recall': 0.5919101123595506; 'f1-score': 0.692611096502761; 'support': 2225}; '1': {'precision': 0.3288987435328899; 'recall': 0.6303116147308782; 'f1-score': 0.43224866440019427; 'support': 706}; 'accuracy': 0.6011600136472194; 'macro avg': {'precision': 0.5817497519945818; 'recall': 0.6111108635452144; 'f1-score': 0.5624298804514776; 'support': 2931}; 'weighted avg': {'precision': 0.712790585107277; 'recall': 0.6011600136472194; 'f1-score': 0.6298967065114911; 'support': 2931}}
l: 5,1,CNF,0,26374,2931,1648,[16; 17],262,62.435334,0.732856,5,[X1 == 5 OR X3 == 7 OR X3 == 8 OR X3 == 14 OR X13 == 17],{'0': {'precision': 0.779852197588487; 'recall': 0.9012136043549918; 'f1-score': 0.8361521708910615; 'support': 20023}; '1': {'precision': 0.3885625965996909; 'recall': 0.19792158715162966; 'f1-score': 0.26225745879407464; 'support': 6351}; 'accuracy': 0.731857132023963; 'macro avg': {'precision': 0.584207397094089; 'recall': 0.5495675957533107; 'f1-score': 0.5492048148425681; 'support': 26374}; 'weighted avg': {'precision': 0.6856275727352283; 'recall': 0.731857132023963; 'f1-score': 0.6979552604289412; 'support': 26374}},{'0': {'precision': 0.7809820732657833; 'recall': 0.9006741573033707; 'f1-score': 0.8365685660613651; 'support': 2225}; '1': {'precision': 0.39452054794520547; 'recall': 0.20396600566572237; 'f1-score': 0.2689075630252101; 'support': 706}; 'accuracy': 0.7328556806550666; 'macro avg': {'precision': 0.5877513106054943; 'recall': 0.5523200814845466; 'f1-score': 0.5527380645432876; 'support': 2931}; 'weighted avg': {'precision': 0.6878937631749173; 'recall': 0.7328556806550666; 'f1-score': 0.6998341177012404; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,1648,[16; 17],262,133.547886,0.732173,4,[X12 >= 48.000000 OR X13 == 7 OR X13 == 20 OR X13 == 22],{'0': {'precision': 0.807862169376365; 'recall': 0.8313439544523797; 'f1-score': 0.819434872501723; 'support': 20023}; '1': {'precision': 0.4146299185300745; 'recall': 0.3766336010077153; 'f1-score': 0.3947194719471947; 'support': 6351}; 'accuracy': 0.7218472738302874; 'macro avg': {'precision': 0.6112460439532198; 'recall': 0.6039887777300476; 'f1-score': 0.6070771722244588; 'support': 26374}; 'weighted avg': {'precision': 0.7131697440664087; 'recall': 0.7218472738302874; 'f1-score': 0.7171611366663622; 'support': 26374}},{'0': {'precision': 0.8087478559176673; 'recall': 0.8476404494382023; 'f1-score': 0.8277375466315559; 'support': 2225}; '1': {'precision': 0.4340567612687813; 'recall': 0.36827195467422097; 'f1-score': 0.39846743295019155; 'support': 706}; 'accuracy': 0.732173319686114; 'macro avg': {'precision': 0.6214023085932243; 'recall': 0.6079562020562116; 'f1-score': 0.6131024897908737; 'support': 2931}; 'weighted avg': {'precision': 0.7184947297415795; 'recall': 0.732173319686114; 'f1-score': 0.7243377853695145; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,1648,[16; 17],262,144.938055,0.732515,6,[X3 == 9 OR X3 == 10 OR X3 == 14 OR X5 == 1 OR X13 == 1 OR X13 == 19],{'0': {'precision': 0.8138252756573368; 'recall': 0.862558058233032; 'f1-score': 0.8374833313128864; 'support': 20023}; '1': {'precision': 0.4658385093167702; 'recall': 0.3778932451582428; 'f1-score': 0.4172824480570286; 'support': 6351}; 'accuracy': 0.7458481838173959; 'macro avg': {'precision': 0.6398318924870534; 'recall': 0.6202256516956374; 'f1-score': 0.6273828896849575; 'support': 26374}; 'weighted avg': {'precision': 0.7300282045634966; 'recall': 0.7458481838173959; 'f1-score': 0.7362967153442068; 'support': 26374}},{'0': {'precision': 0.8093602404465435; 'recall': 0.8471910112359551; 'f1-score': 0.8278436539306104; 'support': 2225}; '1': {'precision': 0.43521594684385384; 'recall': 0.37110481586402266; 'f1-score': 0.400611620795107; 'support': 706}; 'accuracy': 0.7325145001705903; 'macro avg': {'precision': 0.6222880936451987; 'recall': 0.6091479135499889; 'f1-score': 0.6142276373628587; 'support': 2931}; 'weighted avg': {'precision': 0.7192388241096281; 'recall': 0.7325145001705903; 'f1-score': 0.7249348121040443; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,1648,[16; 17],262,78.656861,0.760150,3,[X3 == 14 OR X6 == 4 OR X13 == 1],{'0': {'precision': 0.8038342882327016; 'recall': 0.9109024621685062; 'f1-score': 0.8540257064593918; 'support': 20023}; '1': {'precision': 0.5157437567861021; 'recall': 0.2991654857502756; 'f1-score': 0.3786746387643249; 'support': 6351}; 'accuracy': 0.7635929324334572; 'macro avg': {'precision': 0.6597890225094019; 'recall': 0.6050339739593908; 'f1-score': 0.6163501726118583; 'support': 26374}; 'weighted avg': {'precision': 0.7344605502628315; 'recall': 0.7635929324334572; 'f1-score': 0.7395586316534705; 'support': 26374}},{'0': {'precision': 0.8027048528241846; 'recall': 0.9069662921348315; 'f1-score': 0.8516564676092002; 'support': 2225}; '1': {'precision': 0.5035971223021583; 'recall': 0.29745042492917845; 'f1-score': 0.37399821905609965; 'support': 706}; 'accuracy': 0.7601501194131696; 'macro avg': {'precision': 0.6531509875631714; 'recall': 0.6022083585320049; 'f1-score': 0.6128273433326499; 'support': 2931}; 'weighted avg': {'precision': 0.7306577502146484; 'recall': 0.7601501194131696; 'f1-score': 0.7366012907144582; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,1648,[16; 17],262,152.319147,0.752644,6,[X3 == 10 OR X3 == 12 OR X6 == 13 OR X7 == 5 OR X13 == 10 OR X13 == 33],{'0': {'precision': 0.7967587087682213; 'recall': 0.9035609049592969; 'f1-score': 0.8468055230517203; 'support': 20023}; '1': {'precision': 0.4734115080447232; 'recall': 0.27334278066446227; 'f1-score': 0.3465761629067678; 'support': 6351}; 'accuracy': 0.7518010161522711; 'macro avg': {'precision': 0.6350851084064723; 'recall': 0.5884518428118796; 'f1-score': 0.596690842979244; 'support': 26374}; 'weighted avg': {'precision': 0.7188949766155354; 'recall': 0.7518010161522711; 'f1-score': 0.7263476226088373; 'support': 26374}},{'0': {'precision': 0.7990430622009569; 'recall': 0.9006741573033707; 'f1-score': 0.8468201986055355; 'support': 2225}; '1': {'precision': 0.47754137115839246; 'recall': 0.28611898016997167; 'f1-score': 0.35783879539415414; 'support': 706}; 'accuracy': 0.7526441487546912; 'macro avg': {'precision': 0.6382922166796747; 'recall': 0.5933965687366712; 'f1-score': 0.6023294969998448; 'support': 2931}; 'weighted avg': {'precision': 0.7216018496878043; 'recall': 0.7526441487546912; 'f1-score': 0.7290375746999622; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,1648,[16; 17],262,151.102720,0.728328,6,[X1 == 5 OR X5 == 1 OR X6 == 4 OR X6 == 14 OR X13 == 5 OR X13 == 24],{'0': {'precision': 0.8012835637770752; 'recall': 0.8480247715127603; 'f1-score': 0.8239918474304849; 'support': 20023}; '1': {'precision': 0.41300154320987653; 'recall': 0.33705919395465994; 'f1-score': 0.3711858529819695; 'support': 6352}; 'accuracy': 0.7249668246445498; 'macro avg': {'precision': 0.6071425534934759; 'recall': 0.5925419827337102; 'f1-score': 0.5975888502062272; 'support': 26375}; 'weighted avg': {'precision': 0.7077720037906167; 'recall': 0.7249668246445498; 'f1-score': 0.714940712767472; 'support': 26375}},{'0': {'precision': 0.8059957173447537; 'recall': 0.8458426966292135; 'f1-score': 0.8254385964912281; 'support': 2225}; '1': {'precision': 0.4235294117647059; 'recall': 0.3574468085106383; 'f1-score': 0.3876923076923077; 'support': 705}; 'accuracy': 0.7283276450511945; 'macro avg': {'precision': 0.6147625645547298; 'recall': 0.6016447525699259; 'f1-score': 0.6065654520917679; 'support': 2930}; 'weighted avg': {'precision': 0.7139688417700324; 'recall': 0.7283276450511945; 'f1-score': 0.7201105645447302; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,1648,[16; 17],262,225.516343,0.633447,4,[X2 >= 329054.000000 OR X3 == 8 OR X6 == 13 OR X7 == 0],{'0': {'precision': 0.9045804435637528; 'recall': 0.5927683164360985; 'f1-score': 0.7162080617909728; 'support': 20023}; '1': {'precision': 0.3847894975101856; 'recall': 0.802896725440806; 'f1-score': 0.5202489033969193; 'support': 6352}; 'accuracy': 0.6433744075829384; 'macro avg': {'precision': 0.6446849705369692; 'recall': 0.6978325209384523; 'f1-score': 0.6182284825939461; 'support': 26375}; 'weighted avg': {'precision': 0.7793970468118189; 'recall': 0.6433744075829384; 'f1-score': 0.6690144096916731; 'support': 26375}},{'0': {'precision': 0.8912304554724677; 'recall': 0.5892134831460674; 'f1-score': 0.7094155844155843; 'support': 2225}; '1': {'precision': 0.37354352296093213; 'recall': 0.7730496453900709; 'f1-score': 0.5036968576709796; 'support': 705}; 'accuracy': 0.6334470989761092; 'macro avg': {'precision': 0.6323869892166999; 'recall': 0.6811315642680691; 'f1-score': 0.606556221043282; 'support': 2930}; 'weighted avg': {'precision': 0.7666675587418764; 'recall': 0.6334470989761092; 'f1-score': 0.6599167098917118; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,1648,[16; 17],262,78.857225,0.736519,7,[X1 == 1 OR X3 == 0 OR X3 == 14 OR X6 == 4 OR X13 == 12 OR X13 == 14 OR X13 == 41],{'0': {'precision': 0.8030737415989097; 'recall': 0.853368626080008; 'f1-score': 0.827457627118644; 'support': 20023}; '1': {'precision': 0.42408787759905847; 'recall': 0.34036523929471035; 'f1-score': 0.37764192139737995; 'support': 6352}; 'accuracy': 0.7298199052132701; 'macro avg': {'precision': 0.6135808095989841; 'recall': 0.5968669326873591; 'f1-score': 0.6025497742580119; 'support': 26375}; 'weighted avg': {'precision': 0.7118010133286896; 'recall': 0.7298199052132701; 'f1-score': 0.7191266560194414; 'support': 26375}},{'0': {'precision': 0.8035938152946093; 'recall': 0.8642696629213483; 'f1-score': 0.8328280640970117; 'support': 2225}; '1': {'precision': 0.4376163873370577; 'recall': 0.3333333333333333; 'f1-score': 0.37842190016103056; 'support': 705}; 'accuracy': 0.736518771331058; 'macro avg': {'precision': 0.6206051013158335; 'recall': 0.5988014981273408; 'f1-score': 0.6056249821290212; 'support': 2930}; 'weighted avg': {'precision': 0.7155344000351984; 'recall': 0.736518771331058; 'f1-score': 0.7234914273820402; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,1648,[16; 17],262,162.529358,0.744710,5,[X1 == 1 OR X3 == 14 OR X6 == 11 OR X7 == 5 OR X13 == 2],{'0': {'precision': 0.7876216193047876; 'recall': 0.9176987614862165; 'f1-score': 0.8476992273094222; 'support': 20024}; '1': {'precision': 0.45860709592641263; 'recall': 0.21980790426704455; 'f1-score': 0.29717935071846724; 'support': 6351}; 'accuracy': 0.7496492890995261; 'macro avg': {'precision': 0.6231143576156001; 'recall': 0.5687533328766305; 'f1-score': 0.5724392890139447; 'support': 26375}; 'weighted avg': {'precision': 0.7083961695237048; 'recall': 0.7496492890995261; 'f1-score': 0.7151361283054732; 'support': 26375}},{'0': {'precision': 0.7827586206896552; 'recall': 0.9186151079136691; 'f1-score': 0.8452627223831196; 'support': 2224}; '1': {'precision': 0.434375; 'recall': 0.19688385269121814; 'f1-score': 0.2709551656920078; 'support': 706}; 'accuracy': 0.7447098976109215; 'macro avg': {'precision': 0.6085668103448276; 'recall': 0.5577494803024436; 'f1-score': 0.5581089440375637; 'support': 2930}; 'weighted avg': {'precision': 0.698813625397199; 'recall': 0.7447098976109215; 'f1-score': 0.7068800824432134; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,1648,[16; 17],262,83.219399,0.703413,7,[X1 == 1 OR X1 == 2 OR X3 == 14 OR X6 == 4 OR X6 == 10 OR X13 == 1 OR X13 == 12],{'0': {'precision': 0.844136647322895; 'recall': 0.7700259688373952; 'f1-score': 0.805379994776704; 'support': 20024}; '1': {'precision': 0.43211246762856087; 'recall': 0.5517241379310345; 'f1-score': 0.4846473029045643; 'support': 6351}; 'accuracy': 0.7174597156398105; 'macro avg': {'precision': 0.6381245574757279; 'recall': 0.6608750533842148; 'f1-score': 0.6450136488406342; 'support': 26375}; 'weighted avg': {'precision': 0.744922787029484; 'recall': 0.7174597156398105; 'f1-score': 0.7281487786220135; 'support': 26375}},{'0': {'precision': 0.8329238329238329; 'recall': 0.7621402877697842; 'f1-score': 0.7959614933082882; 'support': 2224}; '1': {'precision': 0.40893854748603353; 'recall': 0.5184135977337111; 'f1-score': 0.45721424109931297; 'support': 706}; 'accuracy': 0.7034129692832765; 'macro avg': {'precision': 0.6209311902049333; 'recall': 0.6402769427517476; 'f1-score': 0.6265878672038006; 'support': 2930}; 'weighted avg': {'precision': 0.7307621907671481; 'recall': 0.7034129692832765; 'f1-score': 0.7143384352674909; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [16, 17], 'n_partitions': 1648}, (mean val acc cv) 0.725675 (+- 0.033978), (mean training time) 127.312233 (+- 48.263446)
l: 5,1,CNF,0,26374,2931,824,[32; 33],262,73.307932,0.706926,10,[X1 == 2 OR X1 == 5 OR X3 == 8 OR X3 == 10 OR X3 == 14 OR X6 == 14 OR X8 == 0 OR X13 == 31 OR X13 == 32 OR X13 == 34],{'0': {'precision': 0.7898175482746939; 'recall': 0.8150626779203916; 'f1-score': 0.8022415572924347; 'support': 20023}; '1': {'precision': 0.3516021712484679; 'recall': 0.3161706817823965; 'f1-score': 0.3329464433758912; 'support': 6351}; 'accuracy': 0.6949268218700235; 'macro avg': {'precision': 0.5707098597615808; 'recall': 0.565616679851394; 'f1-score': 0.567594000334163; 'support': 26374}; 'weighted avg': {'precision': 0.6842929460340947; 'recall': 0.6949268218700235; 'f1-score': 0.6892327884866424; 'support': 26374}},{'0': {'precision': 0.7901444350042481; 'recall': 0.8359550561797753; 'f1-score': 0.8124044551212055; 'support': 2225}; '1': {'precision': 0.36741767764298094; 'recall': 0.3002832861189802; 'f1-score': 0.33047544816835545; 'support': 706}; 'accuracy': 0.7069259638348686; 'macro avg': {'precision': 0.5787810563236145; 'recall': 0.5681191711493777; 'f1-score': 0.5714399516447805; 'support': 2931}; 'weighted avg': {'precision': 0.6883207943706573; 'recall': 0.7069259638348686; 'f1-score': 0.6963205660360087; 'support': 2931}}
