lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,284,32,35,[8; 9],564,1.018992,0.812500,2,[X4 >= 0.067040 OR X7 < -0.018220],{'0.0': {'precision': 0.9444444444444444; 'recall': 0.3333333333333333; 'f1-score': 0.49275362318840576; 'support': 102}; '1.0': {'precision': 0.7258064516129032; 'recall': 0.989010989010989; 'f1-score': 0.8372093023255814; 'support': 182}; 'accuracy': 0.7535211267605634; 'macro avg': {'precision': 0.8351254480286738; 'recall': 0.6611721611721612; 'f1-score': 0.6649814627569937; 'support': 284}; 'weighted avg': {'precision': 0.8043313645312737; 'recall': 0.7535211267605634; 'f1-score': 0.7134963471425113; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.45454545454545453; 'f1-score': 0.625; 'support': 11}; '1.0': {'precision': 0.7777777777777778; 'recall': 1.0; 'f1-score': 0.8750000000000001; 'support': 21}; 'accuracy': 0.8125; 'macro avg': {'precision': 0.8888888888888888; 'recall': 0.7272727272727273; 'f1-score': 0.75; 'support': 32}; 'weighted avg': {'precision': 0.8541666666666666; 'recall': 0.8125; 'f1-score': 0.7890625000000001; 'support': 32}}
5,1,CNF,1,284,32,17,[16; 17],564,0.737011,0.500000,2,[X2 >= 0.871110 OR X3 >= 0.070880],{'0.0': {'precision': 0.5777777777777777; 'recall': 0.5098039215686274; 'f1-score': 0.5416666666666666; 'support': 102}; '1.0': {'precision': 0.7422680412371134; 'recall': 0.7912087912087912; 'f1-score': 0.7659574468085107; 'support': 182}; 'accuracy': 0.6901408450704225; 'macro avg': {'precision': 0.6600229095074456; 'recall': 0.6505063563887092; 'f1-score': 0.6538120567375887; 'support': 284}; 'weighted avg': {'precision': 0.6831905522481971; 'recall': 0.6901408450704225; 'f1-score': 0.6854023074617921; 'support': 284}},{'0.0': {'precision': 0.2222222222222222; 'recall': 0.18181818181818182; 'f1-score': 0.19999999999999998; 'support': 11}; '1.0': {'precision': 0.6086956521739131; 'recall': 0.6666666666666666; 'f1-score': 0.6363636363636365; 'support': 21}; 'accuracy': 0.5; 'macro avg': {'precision': 0.41545893719806765; 'recall': 0.4242424242424242; 'f1-score': 0.4181818181818182; 'support': 32}; 'weighted avg': {'precision': 0.4758454106280194; 'recall': 0.5; 'f1-score': 0.4863636363636364; 'support': 32}}
5,1,CNF,2,284,32,17,[16; 17],564,0.678901,0.593750,4,[X5 >= 0.090910 OR X7 < -0.018220 OR X9 < -0.073980 OR X10 >= 0.927380],{'0.0': {'precision': 0.5; 'recall': 0.28431372549019607; 'f1-score': 0.3625; 'support': 102}; '1.0': {'precision': 0.6769911504424779; 'recall': 0.8406593406593407; 'f1-score': 0.7500000000000001; 'support': 182}; 'accuracy': 0.6408450704225352; 'macro avg': {'precision': 0.588495575221239; 'recall': 0.5624865330747684; 'f1-score': 0.55625; 'support': 284}; 'weighted avg': {'precision': 0.6134239062694752; 'recall': 0.6408450704225352; 'f1-score': 0.6108274647887325; 'support': 284}},{'0.0': {'precision': 0.375; 'recall': 0.2727272727272727; 'f1-score': 0.3157894736842105; 'support': 11}; '1.0': {'precision': 0.6666666666666666; 'recall': 0.7619047619047619; 'f1-score': 0.7111111111111111; 'support': 21}; 'accuracy': 0.59375; 'macro avg': {'precision': 0.5208333333333333; 'recall': 0.5173160173160173; 'f1-score': 0.5134502923976608; 'support': 32}; 'weighted avg': {'precision': 0.56640625; 'recall': 0.59375; 'f1-score': 0.575219298245614; 'support': 32}}
5,1,CNF,3,284,32,17,[16; 17],564,0.759123,0.718750,2,[X5 >= 0.222800 OR X6 >= 0.554320],{'0.0': {'precision': 0.7285714285714285; 'recall': 0.504950495049505; 'f1-score': 0.5964912280701754; 'support': 101}; '1.0': {'precision': 0.7663551401869159; 'recall': 0.8961748633879781; 'f1-score': 0.8261964735516373; 'support': 183}; 'accuracy': 0.7570422535211268; 'macro avg': {'precision': 0.7474632843791722; 'recall': 0.7005626792187416; 'f1-score': 0.7113438508109063; 'support': 284}; 'weighted avg': {'precision': 0.752917975140563; 'recall': 0.7570422535211268; 'f1-score': 0.7445055235740752; 'support': 284}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.5; 'f1-score': 0.5714285714285715; 'support': 12}; '1.0': {'precision': 0.7391304347826086; 'recall': 0.85; 'f1-score': 0.7906976744186046; 'support': 20}; 'accuracy': 0.71875; 'macro avg': {'precision': 0.7028985507246377; 'recall': 0.675; 'f1-score': 0.6810631229235881; 'support': 32}; 'weighted avg': {'precision': 0.7119565217391304; 'recall': 0.71875; 'f1-score': 0.7084717607973422; 'support': 32}}
5,1,CNF,4,284,32,17,[16; 17],564,0.730354,0.593750,2,[X8 >= 0.684210 OR X33 >= 0.012270],{'0.0': {'precision': 0.5444444444444444; 'recall': 0.48514851485148514; 'f1-score': 0.5130890052356021; 'support': 101}; '1.0': {'precision': 0.7319587628865979; 'recall': 0.7759562841530054; 'f1-score': 0.753315649867374; 'support': 183}; 'accuracy': 0.6725352112676056; 'macro avg': {'precision': 0.6382016036655211; 'recall': 0.6305523995022453; 'f1-score': 0.633202327551488; 'support': 284}; 'weighted avg': {'precision': 0.6652723327363954; 'recall': 0.6725352112676056; 'f1-score': 0.6678829346990325; 'support': 284}},{'0.0': {'precision': 0.4444444444444444; 'recall': 0.3333333333333333; 'f1-score': 0.380952380952381; 'support': 12}; '1.0': {'precision': 0.6521739130434783; 'recall': 0.75; 'f1-score': 0.6976744186046512; 'support': 20}; 'accuracy': 0.59375; 'macro avg': {'precision': 0.5483091787439613; 'recall': 0.5416666666666666; 'f1-score': 0.5393133997785161; 'support': 32}; 'weighted avg': {'precision': 0.5742753623188406; 'recall': 0.59375; 'f1-score': 0.5789036544850499; 'support': 32}}
5,1,CNF,5,284,32,17,[16; 17],564,0.730158,0.500000,2,[X9 >= 0.018290 OR X18 >= 0.840130],{'0.0': {'precision': 0.5316455696202531; 'recall': 0.4158415841584158; 'f1-score': 0.4666666666666667; 'support': 101}; '1.0': {'precision': 0.7121951219512195; 'recall': 0.7978142076502732; 'f1-score': 0.7525773195876289; 'support': 183}; 'accuracy': 0.6619718309859155; 'macro avg': {'precision': 0.6219203457857363; 'recall': 0.6068278959043445; 'f1-score': 0.6096219931271478; 'support': 284}; 'weighted avg': {'precision': 0.6479855980588687; 'recall': 0.6619718309859155; 'f1-score': 0.6508978268234838; 'support': 284}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.3333333333333333; 'f1-score': 0.3333333333333333; 'support': 12}; '1.0': {'precision': 0.6; 'recall': 0.6; 'f1-score': 0.6; 'support': 20}; 'accuracy': 0.5; 'macro avg': {'precision': 0.4666666666666667; 'recall': 0.4666666666666667; 'f1-score': 0.4666666666666667; 'support': 32}; 'weighted avg': {'precision': 0.5; 'recall': 0.5; 'f1-score': 0.5; 'support': 32}}
5,1,CNF,6,285,31,17,[16; 17],564,0.725561,0.645161,2,[X12 >= 0.800000 OR X13 >= 0.030270],{'0.0': {'precision': 0.631578947368421; 'recall': 0.47058823529411764; 'f1-score': 0.5393258426966293; 'support': 102}; '1.0': {'precision': 0.7416267942583732; 'recall': 0.8469945355191257; 'f1-score': 0.7908163265306123; 'support': 183}; 'accuracy': 0.712280701754386; 'macro avg': {'precision': 0.6866028708133971; 'recall': 0.6587913854066216; 'f1-score': 0.6650710846136207; 'support': 285}; 'weighted avg': {'precision': 0.7022412490556534; 'recall': 0.712280701754386; 'f1-score': 0.7008092060005552; 'support': 285}},{'0.0': {'precision': 0.5; 'recall': 0.18181818181818182; 'f1-score': 0.26666666666666666; 'support': 11}; '1.0': {'precision': 0.6666666666666666; 'recall': 0.9; 'f1-score': 0.7659574468085106; 'support': 20}; 'accuracy': 0.6451612903225806; 'macro avg': {'precision': 0.5833333333333333; 'recall': 0.5409090909090909; 'f1-score': 0.5163120567375886; 'support': 31}; 'weighted avg': {'precision': 0.6075268817204301; 'recall': 0.6451612903225806; 'f1-score': 0.5887897506291466; 'support': 31}}
5,1,CNF,7,285,31,17,[16; 17],564,0.755062,0.709677,3,[X3 < 0.136450 OR X5 >= 0.222800 OR X14 < -0.824170],{'0.0': {'precision': 0.696969696969697; 'recall': 0.22549019607843138; 'f1-score': 0.3407407407407408; 'support': 102}; '1.0': {'precision': 0.6865079365079365; 'recall': 0.9453551912568307; 'f1-score': 0.7954022988505748; 'support': 183}; 'accuracy': 0.6877192982456141; 'macro avg': {'precision': 0.6917388167388168; 'recall': 0.585422693667631; 'f1-score': 0.5680715197956578; 'support': 285}; 'weighted avg': {'precision': 0.6902521455153035; 'recall': 0.6877192982456141; 'f1-score': 0.6326813201586342; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.18181818181818182; 'f1-score': 0.3076923076923077; 'support': 11}; '1.0': {'precision': 0.6896551724137931; 'recall': 1.0; 'f1-score': 0.8163265306122449; 'support': 20}; 'accuracy': 0.7096774193548387; 'macro avg': {'precision': 0.8448275862068966; 'recall': 0.5909090909090909; 'f1-score': 0.5620094191522763; 'support': 31}; 'weighted avg': {'precision': 0.799777530589544; 'recall': 0.7096774193548387; 'f1-score': 0.6358434192535575; 'support': 31}}
5,1,CNF,8,285,31,17,[16; 17],564,0.706867,0.612903,2,[X4 < 1.000000 OR X7 >= 0.090910],{'0.0': {'precision': 0.4727272727272727; 'recall': 0.2549019607843137; 'f1-score': 0.33121019108280253; 'support': 102}; '1.0': {'precision': 0.6695652173913044; 'recall': 0.8415300546448088; 'f1-score': 0.7457627118644068; 'support': 183}; 'accuracy': 0.631578947368421; 'macro avg': {'precision': 0.5711462450592886; 'recall': 0.5482160077145612; 'f1-score': 0.5384864514736046; 'support': 285}; 'weighted avg': {'precision': 0.5991179529852299; 'recall': 0.631578947368421; 'f1-score': 0.5973965465320431; 'support': 285}},{'0.0': {'precision': 0.4; 'recall': 0.18181818181818182; 'f1-score': 0.25000000000000006; 'support': 11}; '1.0': {'precision': 0.6538461538461539; 'recall': 0.85; 'f1-score': 0.7391304347826088; 'support': 20}; 'accuracy': 0.6129032258064516; 'macro avg': {'precision': 0.5269230769230769; 'recall': 0.5159090909090909; 'f1-score': 0.49456521739130443; 'support': 31}; 'weighted avg': {'precision': 0.563771712158809; 'recall': 0.6129032258064516; 'f1-score': 0.5655680224403927; 'support': 31}}
5,1,CNF,9,285,31,17,[16; 17],564,0.715352,0.516129,2,[X18 < 0.360870 OR X21 < -0.021790],{'0.0': {'precision': 0.32710280373831774; 'recall': 0.3431372549019608; 'f1-score': 0.33492822966507174; 'support': 102}; '1.0': {'precision': 0.6235955056179775; 'recall': 0.6065573770491803; 'f1-score': 0.6149584487534626; 'support': 183}; 'accuracy': 0.512280701754386; 'macro avg': {'precision': 0.47534915467814765; 'recall': 0.47484731597557056; 'f1-score': 0.4749433392092672; 'support': 285}; 'weighted avg': {'precision': 0.5174823281031519; 'recall': 0.512280701754386; 'f1-score': 0.5147371071849859; 'support': 285}},{'0.0': {'precision': 0.25; 'recall': 0.18181818181818182; 'f1-score': 0.2105263157894737; 'support': 11}; '1.0': {'precision': 0.6086956521739131; 'recall': 0.7; 'f1-score': 0.6511627906976744; 'support': 20}; 'accuracy': 0.5161290322580645; 'macro avg': {'precision': 0.42934782608695654; 'recall': 0.4409090909090909; 'f1-score': 0.430844553243574; 'support': 31}; 'weighted avg': {'precision': 0.48141654978962134; 'recall': 0.5161290322580645; 'f1-score': 0.49480791250444184; 'support': 31}}
5,1,CNF,0,284,32,8,[35; 36],564,0.582966,0.843750,2,[X9 >= 0.328990 OR X20 >= 0.162450],{'0.0': {'precision': 0.88; 'recall': 0.43137254901960786; 'f1-score': 0.5789473684210527; 'support': 102}; '1.0': {'precision': 0.7521367521367521; 'recall': 0.967032967032967; 'f1-score': 0.846153846153846; 'support': 182}; 'accuracy': 0.7746478873239436; 'macro avg': {'precision': 0.816068376068376; 'recall': 0.6992027580262874; 'f1-score': 0.7125506072874493; 'support': 284}; 'weighted avg': {'precision': 0.7980594679186229; 'recall': 0.7746478873239436; 'f1-score': 0.7501853224610822; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.5454545454545454; 'f1-score': 0.7058823529411764; 'support': 11}; '1.0': {'precision': 0.8076923076923077; 'recall': 1.0; 'f1-score': 0.8936170212765957; 'support': 21}; 'accuracy': 0.84375; 'macro avg': {'precision': 0.9038461538461539; 'recall': 0.7727272727272727; 'f1-score': 0.799749687108886; 'support': 32}; 'weighted avg': {'precision': 0.873798076923077; 'recall': 0.84375; 'f1-score': 0.8290832290362953; 'support': 32}}
5,1,CNF,1,284,32,8,[35; 36],564,0.559185,0.593750,4,[X11 >= 0.111470 OR X23 >= 0.020990 OR X25 < -0.015050 OR X29 < -0.050250],{'0.0': {'precision': 0.75; 'recall': 0.23529411764705882; 'f1-score': 0.3582089552238805; 'support': 102}; '1.0': {'precision': 0.6904761904761905; 'recall': 0.9560439560439561; 'f1-score': 0.8018433179723503; 'support': 182}; 'accuracy': 0.6971830985915493; 'macro avg': {'precision': 0.7202380952380952; 'recall': 0.5956690368455074; 'f1-score': 0.5800261365981154; 'support': 284}; 'weighted avg': {'precision': 0.7118544600938967; 'recall': 0.6971830985915493; 'f1-score': 0.6425098496612801; 'support': 284}},{'0.0': {'precision': 0.25; 'recall': 0.09090909090909091; 'f1-score': 0.13333333333333333; 'support': 11}; '1.0': {'precision': 0.6428571428571429; 'recall': 0.8571428571428571; 'f1-score': 0.7346938775510204; 'support': 21}; 'accuracy': 0.59375; 'macro avg': {'precision': 0.44642857142857145; 'recall': 0.474025974025974; 'f1-score': 0.4340136054421769; 'support': 32}; 'weighted avg': {'precision': 0.5078125; 'recall': 0.59375; 'f1-score': 0.5279761904761905; 'support': 32}}
5,1,CNF,2,284,32,8,[35; 36],564,0.557445,0.687500,4,[X14 < -0.824170 OR X27 >= 0.723860 OR X28 >= 0.496640 OR X33 < -0.018320],{'0.0': {'precision': 0.532258064516129; 'recall': 0.3235294117647059; 'f1-score': 0.402439024390244; 'support': 102}; '1.0': {'precision': 0.6891891891891891; 'recall': 0.8406593406593407; 'f1-score': 0.7574257425742573; 'support': 182}; 'accuracy': 0.6549295774647887; 'macro avg': {'precision': 0.610723626852659; 'recall': 0.5820943762120233; 'f1-score': 0.5799323834822506; 'support': 284}; 'weighted avg': {'precision': 0.6328266021587239; 'recall': 0.6549295774647887; 'f1-score': 0.6299305128039426; 'support': 284}},{'0.0': {'precision': 0.5714285714285714; 'recall': 0.36363636363636365; 'f1-score': 0.4444444444444444; 'support': 11}; '1.0': {'precision': 0.72; 'recall': 0.8571428571428571; 'f1-score': 0.782608695652174; 'support': 21}; 'accuracy': 0.6875; 'macro avg': {'precision': 0.6457142857142857; 'recall': 0.6103896103896104; 'f1-score': 0.6135265700483092; 'support': 32}; 'weighted avg': {'precision': 0.6689285714285714; 'recall': 0.6875; 'f1-score': 0.6663647342995169; 'support': 32}}
