lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,26374,2931,3296,[8; 9],296,605.178223,0.476629,3,[X0 < 29.500000 OR X3 == 1 OR X13 == 10],{'0': {'precision': 0.6724013541262002; 'recall': 0.6051041302502123; 'f1-score': 0.6369801798012723; 'support': 20023}; '1': {'precision': 0.05362058647516457; 'recall': 0.07054007242953865; 'f1-score': 0.060927512579899354; 'support': 6351}; 'accuracy': 0.47637825130810646; 'macro avg': {'precision': 0.36301097030068236; 'recall': 0.33782210133987545; 'f1-score': 0.34895384619058584; 'support': 26374}; 'weighted avg': {'precision': 0.5233956418583711; 'recall': 0.47637825130810646; 'f1-score': 0.4982636222247599; 'support': 26374}},{'0': {'precision': 0.6740554156171285; 'recall': 0.6013483146067415; 'f1-score': 0.6356294536817102; 'support': 2225}; '1': {'precision': 0.06236786469344609; 'recall': 0.08356940509915015; 'f1-score': 0.07142857142857142; 'support': 706}; 'accuracy': 0.47662913681337427; 'macro avg': {'precision': 0.3682116401552873; 'recall': 0.34245885985294583; 'f1-score': 0.3535290125551408; 'support': 2931}; 'weighted avg': {'precision': 0.5267161420067157; 'recall': 0.47662913681337427; 'f1-score': 0.4997284564552632; 'support': 2931}}
5,1,CNF,1,26374,2931,1648,[16; 17],296,52.417290,0.688502,8,[X3 == 7 OR X3 == 10 OR X3 == 14 OR X6 == 3 OR X12 >= 65.500000 OR X13 == 21 OR X13 == 23 OR X13 == 41],{'0': {'precision': 0.7766660283416316; 'recall': 0.8102182490136344; 'f1-score': 0.7930874336975386; 'support': 20023}; '1': {'precision': 0.3073277433467007; 'recall': 0.26547000472366555; 'f1-score': 0.2848694770634451; 'support': 6351}; 'accuracy': 0.6790399636005157; 'macro avg': {'precision': 0.5419968858441662; 'recall': 0.53784412686865; 'f1-score': 0.5389784553804919; 'support': 26374}; 'weighted avg': {'precision': 0.6636468637096907; 'recall': 0.6790399636005157; 'f1-score': 0.670705836572221; 'support': 26374}},{'0': {'precision': 0.7847222222222222; 'recall': 0.8125842696629213; 'f1-score': 0.7984102450872157; 'support': 2225}; '1': {'precision': 0.3349282296650718; 'recall': 0.29745042492917845; 'f1-score': 0.3150787696924231; 'support': 706}; 'accuracy': 0.6885022176731491; 'macro avg': {'precision': 0.559825225943647; 'recall': 0.5550173472960499; 'f1-score': 0.5567445073898194; 'support': 2931}; 'weighted avg': {'precision': 0.6763788040218305; 'recall': 0.6885022176731491; 'f1-score': 0.6819885386291047; 'support': 2931}}
5,1,CNF,2,26374,2931,1648,[16; 17],296,52.602411,0.716820,7,[X1 == 2 OR X1 == 5 OR X3 == 10 OR X3 == 14 OR X6 == 14 OR X11 >= 1551.500000 OR X13 == 23],{'0': {'precision': 0.7998294404699863; 'recall': 0.8431304000399541; 'f1-score': 0.8209093119377583; 'support': 20023}; '1': {'precision': 0.4036453389026011; 'recall': 0.33475043300267676; 'f1-score': 0.36598381821311765; 'support': 6351}; 'accuracy': 0.7207097899446424; 'macro avg': {'precision': 0.6017373896862936; 'recall': 0.5889404165213155; 'f1-score': 0.5934465650754379; 'support': 26374}; 'weighted avg': {'precision': 0.7044261937476665; 'recall': 0.7207097899446424; 'f1-score': 0.7113608243877018; 'support': 26374}},{'0': {'precision': 0.798204360837965; 'recall': 0.8391011235955056; 'f1-score': 0.8181419807186678; 'support': 2225}; '1': {'precision': 0.3952702702702703; 'recall': 0.3314447592067989; 'f1-score': 0.3605546995377504; 'support': 706}; 'accuracy': 0.716820197884681; 'macro avg': {'precision': 0.5967373155541176; 'recall': 0.5852729414011523; 'f1-score': 0.5893483401282091; 'support': 2931}; 'weighted avg': {'precision': 0.7011482475862446; 'recall': 0.716820197884681; 'f1-score': 0.7079213664185219; 'support': 2931}}
5,1,CNF,3,26374,2931,1648,[16; 17],296,53.657170,0.744797,4,[X4 >= 13.500000 OR X6 == 14 OR X13 == 9 OR X13 == 11],{'0': {'precision': 0.7938633071419166; 'recall': 0.9032113069969535; 'f1-score': 0.8450144846276049; 'support': 20023}; '1': {'precision': 0.46061786807681604; 'recall': 0.2605888836403716; 'f1-score': 0.332864038616251; 'support': 6351}; 'accuracy': 0.7484643967543793; 'macro avg': {'precision': 0.6272405876093663; 'recall': 0.5819000953186626; 'f1-score': 0.588939261621928; 'support': 26374}; 'weighted avg': {'precision': 0.7136160263539263; 'recall': 0.7484643967543793; 'f1-score': 0.7216859230662904; 'support': 26374}},{'0': {'precision': 0.7927070947284979; 'recall': 0.898876404494382; 'f1-score': 0.8424599831508003; 'support': 2225}; '1': {'precision': 0.4485294117647059; 'recall': 0.25920679886685555; 'f1-score': 0.3285457809694794; 'support': 706}; 'accuracy': 0.7447969976117366; 'macro avg': {'precision': 0.6206182532466019; 'recall': 0.5790416016806188; 'f1-score': 0.5855028820601398; 'support': 2931}; 'weighted avg': {'precision': 0.7098038384431218; 'recall': 0.7447969976117366; 'f1-score': 0.7186717106362958; 'support': 2931}}
5,1,CNF,4,26374,2931,1648,[16; 17],296,53.195542,0.688161,7,[X1 == 5 OR X3 == 7 OR X3 == 10 OR X3 == 14 OR X6 == 1 OR X10 >= 5119.000000 OR X13 == 34],{'0': {'precision': 0.8067527308838133; 'recall': 0.8114668131648604; 'f1-score': 0.8091029056594379; 'support': 20023}; '1': {'precision': 0.39444979146615333; 'recall': 0.3871831207683829; 'f1-score': 0.39078267779102105; 'support': 6351}; 'accuracy': 0.7092970349586715; 'macro avg': {'precision': 0.6006012611749834; 'recall': 0.5993249669666216; 'f1-score': 0.5999427917252295; 'support': 26374}; 'weighted avg': {'precision': 0.7074679819552641; 'recall': 0.7092970349586715; 'f1-score': 0.7083691615481041; 'support': 26374}},{'0': {'precision': 0.7930263746088512; 'recall': 0.7973033707865168; 'f1-score': 0.7951591214701926; 'support': 2225}; '1': {'precision': 0.35014409221902015; 'recall': 0.34419263456090654; 'f1-score': 0.34714285714285714; 'support': 706}; 'accuracy': 0.6881610371886728; 'macro avg': {'precision': 0.5715852334139356; 'recall': 0.5707480026737117; 'f1-score': 0.5711509893065249; 'support': 2931}; 'weighted avg': {'precision': 0.686347803688612; 'recall': 0.6881610371886728; 'f1-score': 0.687243910751974; 'support': 2931}}
5,1,CNF,5,26375,2930,1648,[16; 17],296,52.503276,0.679522,5,[X1 == 1 OR X3 == 1 OR X3 == 14 OR X12 >= 49.500000 OR X13 == 41],{'0': {'precision': 0.8114170792079208; 'recall': 0.785846276781701; 'f1-score': 0.7984269947989344; 'support': 20023}; '1': {'precision': 0.38593727624230273; 'recall': 0.42427581863979846; 'f1-score': 0.4041994750656168; 'support': 6352}; 'accuracy': 0.6987677725118483; 'macro avg': {'precision': 0.5986771777251118; 'recall': 0.6050610477107498; 'f1-score': 0.6013132349322756; 'support': 26375}; 'weighted avg': {'precision': 0.7089470239117083; 'recall': 0.6987677725118483; 'f1-score': 0.7034835557336819; 'support': 26375}},{'0': {'precision': 0.7963133640552995; 'recall': 0.7766292134831461; 'f1-score': 0.7863481228668942; 'support': 2225}; '1': {'precision': 0.3460526315789474; 'recall': 0.3730496453900709; 'f1-score': 0.35904436860068256; 'support': 705}; 'accuracy': 0.6795221843003413; 'macro avg': {'precision': 0.5711829978171235; 'recall': 0.5748394294366085; 'f1-score': 0.5726962457337883; 'support': 2930}; 'weighted avg': {'precision': 0.6879741775720817; 'recall': 0.6795221843003413; 'f1-score': 0.6835327144171742; 'support': 2930}}
5,1,CNF,6,26375,2930,1648,[16; 17],296,54.018058,0.731058,6,[X0 >= 54.500000 OR X3 == 10 OR X3 == 14 OR X5 == 1 OR X10 >= 3048.000000 OR X13 == 11],{'0': {'precision': 0.8143698127774561; 'recall': 0.8428806872097089; 'f1-score': 0.8283800034358358; 'support': 20023}; '1': {'precision': 0.44328437444700053; 'recall': 0.3943639798488665; 'f1-score': 0.4173956510872282; 'support': 6352}; 'accuracy': 0.7348625592417062; 'macro avg': {'precision': 0.6288270936122283; 'recall': 0.6186223335292877; 'f1-score': 0.622887827261532; 'support': 26375}; 'weighted avg': {'precision': 0.7249997765964115; 'recall': 0.7348625592417062; 'f1-score': 0.7294009472796896; 'support': 26375}},{'0': {'precision': 0.8172185430463577; 'recall': 0.8319101123595506; 'f1-score': 0.8244988864142538; 'support': 2225}; '1': {'precision': 0.43759398496240604; 'recall': 0.4127659574468085; 'f1-score': 0.4248175182481752; 'support': 705}; 'accuracy': 0.7310580204778157; 'macro avg': {'precision': 0.6274062640043818; 'recall': 0.6223380349031795; 'f1-score': 0.6246582023312145; 'support': 2930}; 'weighted avg': {'precision': 0.7258754326541441; 'recall': 0.7310580204778157; 'f1-score': 0.7283298200125182; 'support': 2930}}
5,1,CNF,7,26375,2930,1648,[16; 17],296,52.375683,0.752901,7,[X1 == 5 OR X11 >= 1551.500000 OR X12 >= 65.500000 OR X13 == 5 OR X13 == 17 OR X13 == 20 OR X13 == 41],{'0': {'precision': 0.7849091520861373; 'recall': 0.9320281676072517; 'f1-score': 0.8521655745564968; 'support': 20023}; '1': {'precision': 0.47633705271258175; 'recall': 0.1948992443324937; 'f1-score': 0.27661713774997204; 'support': 6352}; 'accuracy': 0.7545023696682465; 'macro avg': {'precision': 0.6306231023993596; 'recall': 0.5634637059698727; 'f1-score': 0.5643913561532344; 'support': 26375}; 'weighted avg': {'precision': 0.7105944610825041; 'recall': 0.7545023696682465; 'f1-score': 0.7135538714059737; 'support': 26375}},{'0': {'precision': 0.7841726618705036; 'recall': 0.9307865168539325; 'f1-score': 0.8512124948623099; 'support': 2225}; '1': {'precision': 0.4671280276816609; 'recall': 0.19148936170212766; 'f1-score': 0.2716297786720322; 'support': 705}; 'accuracy': 0.752901023890785; 'macro avg': {'precision': 0.6256503447760823; 'recall': 0.5611379392780301; 'f1-score': 0.5614211367671711; 'support': 2930}; 'weighted avg': {'precision': 0.7078871782175569; 'recall': 0.752901023890785; 'f1-score': 0.7117565853352976; 'support': 2930}}
5,1,CNF,8,26375,2930,1648,[16; 17],296,52.408952,0.675768,8,[X0 >= 54.500000 OR X3 == 3 OR X3 == 7 OR X3 == 8 OR X4 >= 13.500000 OR X7 == 5 OR X10 >= 57.000000 OR X13 == 20],{'0': {'precision': 0.8434895679413676; 'recall': 0.7126947662804635; 'f1-score': 0.7725956202798907; 'support': 20024}; '1': {'precision': 0.3916032148900169; 'recall': 0.5830577861754055; 'f1-score': 0.46852660213829317; 'support': 6351}; 'accuracy': 0.681478672985782; 'macro avg': {'precision': 0.6175463914156922; 'recall': 0.6478762762279344; 'f1-score': 0.620561111209092; 'support': 26375}; 'weighted avg': {'precision': 0.7346770474397893; 'recall': 0.681478672985782; 'f1-score': 0.6993769535797093; 'support': 26375}},{'0': {'precision': 0.8307372793354102; 'recall': 0.7194244604316546; 'f1-score': 0.7710843373493975; 'support': 2224}; '1': {'precision': 0.3784860557768924; 'recall': 0.5382436260623229; 'f1-score': 0.4444444444444444; 'support': 706}; 'accuracy': 0.6757679180887372; 'macro avg': {'precision': 0.6046116675561513; 'recall': 0.6288340432469888; 'f1-score': 0.607764390896921; 'support': 2930}; 'weighted avg': {'precision': 0.7217648002117537; 'recall': 0.6757679180887372; 'f1-score': 0.6923786157142792; 'support': 2930}}
5,1,CNF,9,26375,2930,1648,[16; 17],296,55.436040,0.754949,7,[X1 == 2 OR X1 == 5 OR X3 == 8 OR X3 == 14 OR X5 == 1 OR X10 >= 4243.500000 OR X13 == 11],{'0': {'precision': 0.8166399698482992; 'recall': 0.8656612065521374; 'f1-score': 0.8404363636363635; 'support': 20024}; '1': {'precision': 0.47756845989512525; 'recall': 0.3871831207683829; 'f1-score': 0.42765217391304344; 'support': 6351}; 'accuracy': 0.7504454976303317; 'macro avg': {'precision': 0.6471042148717122; 'recall': 0.6264221636602602; 'f1-score': 0.6340442687747034; 'support': 26375}; 'weighted avg': {'precision': 0.7349928358307596; 'recall': 0.7504454976303317; 'f1-score': 0.7410394958095273; 'support': 26375}},{'0': {'precision': 0.8196095076400679; 'recall': 0.8682553956834532; 'f1-score': 0.8432314410480349; 'support': 2224}; '1': {'precision': 0.4895470383275261; 'recall': 0.3980169971671388; 'f1-score': 0.4390625; 'support': 706}; 'accuracy': 0.7549488054607508; 'macro avg': {'precision': 0.654578272983797; 'recall': 0.633136196425296; 'f1-score': 0.6411469705240175; 'support': 2930}; 'weighted avg': {'precision': 0.7400790969456466; 'recall': 0.7549488054607508; 'f1-score': 0.7458446586658122; 'support': 2930}}
5,1,CNF,0,26374,2931,824,[32; 33],296,36.862441,0.755032,6,[X4 >= 13.500000 OR X5 == 3 OR X6 == 13 OR X13 == 11 OR X13 == 12 OR X13 == 22],{'0': {'precision': 0.7949074476405666; 'recall': 0.9136493033012036; 'f1-score': 0.8501521946232311; 'support': 20023}; '1': {'precision': 0.48541666666666666; 'recall': 0.2568099511887892; 'f1-score': 0.33590773349809494; 'support': 6351}; 'accuracy': 0.7554788807158566; 'macro avg': {'precision': 0.6401620571536166; 'recall': 0.5852296272449964; 'f1-score': 0.593029964060663; 'support': 26374}; 'weighted avg': {'precision': 0.7203804153373422; 'recall': 0.7554788807158566; 'f1-score': 0.7263193830434275; 'support': 26374}},{'0': {'precision': 0.7953743629949039; 'recall': 0.9119101123595506; 'f1-score': 0.8496649916247907; 'support': 2225}; '1': {'precision': 0.4842105263157895; 'recall': 0.26062322946175637; 'f1-score': 0.33885819521178634; 'support': 706}; 'accuracy': 0.7550324121460252; 'macro avg': {'precision': 0.6397924446553467; 'recall': 0.5862666709106534; 'f1-score': 0.5942615934182885; 'support': 2931}; 'weighted avg': {'precision': 0.7204232648388293; 'recall': 0.7550324121460252; 'f1-score': 0.7266252105713683; 'support': 2931}}
