lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,26374,2931,3296,[8; 9],296,607.465236,0.803139,4,[X3 == 12 OR X3 == 14 OR X10 >= 4243.500000 OR X13 == 30],{'0': {'precision': 0.8198108726628957; 'recall': 0.9482095590071418; 'f1-score': 0.879347876429994; 'support': 20023}; '1': {'precision': 0.6774494556765164; 'recall': 0.34293811998110535; 'f1-score': 0.4553627430482961; 'support': 6351}; 'accuracy': 0.8024569651929931; 'macro avg': {'precision': 0.748630164169706; 'recall': 0.6455738394941235; 'f1-score': 0.667355309739145; 'support': 26374}; 'weighted avg': {'precision': 0.7855294834431908; 'recall': 0.8024569651929931; 'f1-score': 0.7772499928284484; 'support': 26374}},{'0': {'precision': 0.8174114021571649; 'recall': 0.9537078651685393; 'f1-score': 0.8803152872847957; 'support': 2225}; '1': {'precision': 0.6925373134328359; 'recall': 0.3286118980169972; 'f1-score': 0.4457252641690682; 'support': 706}; 'accuracy': 0.8031388604571819; 'macro avg': {'precision': 0.7549743577950003; 'recall': 0.6411598815927683; 'f1-score': 0.6630202757269319; 'support': 2931}; 'weighted avg': {'precision': 0.7873325530819768; 'recall': 0.8031388604571819; 'f1-score': 0.775634101232355; 'support': 2931}}
5,1,CNF,1,26374,2931,1648,[16; 17],296,52.377950,0.746162,5,[X1 == 5 OR X1 == 7 OR X3 == 10 OR X3 == 12 OR X6 == 11],{'0': {'precision': 0.7964464530993841; 'recall': 0.8977176247315587; 'f1-score': 0.8440552216378663; 'support': 20023}; '1': {'precision': 0.4617608409986859; 'recall': 0.2766493465595969; 'f1-score': 0.3460023631350926; 'support': 6351}; 'accuracy': 0.7481610677182073; 'macro avg': {'precision': 0.629103647049035; 'recall': 0.5871834856455778; 'f1-score': 0.5950287923864794; 'support': 26374}; 'weighted avg': {'precision': 0.7158523709559271; 'recall': 0.7481610677182073; 'f1-score': 0.7241214344098722; 'support': 26374}},{'0': {'precision': 0.7965558670404486; 'recall': 0.8939325842696629; 'f1-score': 0.8424396442185516; 'support': 2225}; '1': {'precision': 0.45622119815668205; 'recall': 0.2804532577903683; 'f1-score': 0.34736842105263155; 'support': 706}; 'accuracy': 0.7461617195496417; 'macro avg': {'precision': 0.6263885325985653; 'recall': 0.5871929210300156; 'f1-score': 0.5949040326355916; 'support': 2931}; 'weighted avg': {'precision': 0.7145782907074771; 'recall': 0.7461617195496417; 'f1-score': 0.7231901445409196; 'support': 2931}}
5,1,CNF,2,26374,2931,1648,[16; 17],296,52.550621,0.703855,7,[X0 >= 54.500000 OR X3 == 10 OR X3 == 14 OR X6 == 6 OR X10 >= 6618.500000 OR X13 == 20 OR X13 == 34],{'0': {'precision': 0.8027069749061451; 'recall': 0.8115666982969585; 'f1-score': 0.8071125239029479; 'support': 20023}; '1': {'precision': 0.3845024469820555; 'recall': 0.3711226578491576; 'f1-score': 0.3776940950244372; 'support': 6351}; 'accuracy': 0.7055054220065216; 'macro avg': {'precision': 0.5936047109441003; 'recall': 0.591344678073058; 'f1-score': 0.5924033094636925; 'support': 26374}; 'weighted avg': {'precision': 0.70200109195908; 'recall': 0.7055054220065216; 'f1-score': 0.7037062737396271; 'support': 26374}},{'0': {'precision': 0.8024966562639322; 'recall': 0.8089887640449438; 'f1-score': 0.8057296329453894; 'support': 2225}; '1': {'precision': 0.38226744186046513; 'recall': 0.37252124645892354; 'f1-score': 0.3773314203730273; 'support': 706}; 'accuracy': 0.703855339474582; 'macro avg': {'precision': 0.5923820490621987; 'recall': 0.5907550052519337; 'f1-score': 0.5915305266592084; 'support': 2931}; 'weighted avg': {'precision': 0.7012746073492794; 'recall': 0.703855339474582; 'f1-score': 0.7025398894871541; 'support': 2931}}
5,1,CNF,3,26374,2931,1648,[16; 17],296,55.206893,0.780280,8,[X3 == 6 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X8 == 0 OR X10 >= 4668.500000 OR X13 == 2 OR X13 == 41],{'0': {'precision': 0.8147053634438955; 'recall': 0.9224891374918843; 'f1-score': 0.8652535425693875; 'support': 20023}; '1': {'precision': 0.5807671528903295; 'recall': 0.33852936545425916; 'f1-score': 0.4277330150203919; 'support': 6351}; 'accuracy': 0.7818685068628194; 'macro avg': {'precision': 0.6977362581671125; 'recall': 0.6305092514730717; 'f1-score': 0.6464932787948897; 'support': 26374}; 'weighted avg': {'precision': 0.7583717934421629; 'recall': 0.7818685068628194; 'f1-score': 0.7598962637924227; 'support': 26374}},{'0': {'precision': 0.8160735705717713; 'recall': 0.9173033707865168; 'f1-score': 0.8637325433770631; 'support': 2225}; '1': {'precision': 0.5720930232558139; 'recall': 0.34844192634560905; 'f1-score': 0.43309859154929575; 'support': 706}; 'accuracy': 0.7802797679972705; 'macro avg': {'precision': 0.6940832969137927; 'recall': 0.632872648566063; 'f1-score': 0.6484155674631794; 'support': 2931}; 'weighted avg': {'precision': 0.7573051412285213; 'recall': 0.7802797679972705; 'f1-score': 0.7600042697535886; 'support': 2931}}
5,1,CNF,4,26374,2931,1648,[16; 17],296,52.056424,0.621972,8,[X1 == 2 OR X3 == 12 OR X3 == 15 OR X5 == 1 OR X10 >= 57.000000 OR X13 == 12 OR X13 == 17 OR X13 == 18],{'0': {'precision': 0.8031515299578574; 'recall': 0.6567447435449233; 'f1-score': 0.7226068798769095; 'support': 20023}; '1': {'precision': 0.3127687231276872; 'recall': 0.49252086285624314; 'f1-score': 0.3825831702544031; 'support': 6351}; 'accuracy': 0.6171987563509517; 'macro avg': {'precision': 0.5579601265427723; 'recall': 0.5746328032005832; 'f1-score': 0.5525950250656563; 'support': 26374}; 'weighted avg': {'precision': 0.6850647321198954; 'recall': 0.6171987563509517; 'f1-score': 0.6407273553522815; 'support': 26374}},{'0': {'precision': 0.8017287952458131; 'recall': 0.6669662921348315; 'f1-score': 0.7281648675171737; 'support': 2225}; '1': {'precision': 0.3138888888888889; 'recall': 0.4801699716713881; 'f1-score': 0.3796192609182531; 'support': 706}; 'accuracy': 0.6219720232002729; 'macro avg': {'precision': 0.557808842067351; 'recall': 0.5735681319031098; 'f1-score': 0.5538920642177134; 'support': 2931}; 'weighted avg': {'precision': 0.6842211275938211; 'recall': 0.6219720232002729; 'f1-score': 0.6442094945185937; 'support': 2931}}
5,1,CNF,5,26375,2930,1648,[16; 17],296,53.556708,0.761092,7,[X3 == 8 OR X4 >= 14.500000 OR X5 == 1 OR X6 == 2 OR X10 >= 57.000000 OR X12 >= 65.500000 OR X13 == 11],{'0': {'precision': 0.8101219567898414; 'recall': 0.8857813514458373; 'f1-score': 0.8462639564843973; 'support': 20023}; '1': {'precision': 0.4897367246764837; 'recall': 0.3455604534005038; 'f1-score': 0.40520583348717; 'support': 6352}; 'accuracy': 0.7556777251184834; 'macro avg': {'precision': 0.6499293407331626; 'recall': 0.6156709024231706; 'f1-score': 0.6257348949857837; 'support': 26375}; 'weighted avg': {'precision': 0.732962260320304; 'recall': 0.7556777251184834; 'f1-score': 0.7400421101420888; 'support': 26375}},{'0': {'precision': 0.8133990957665433; 'recall': 0.8894382022471911; 'f1-score': 0.849720910261915; 'support': 2225}; '1': {'precision': 0.5050301810865191; 'recall': 0.35602836879432626; 'f1-score': 0.4176372712146422; 'support': 705}; 'accuracy': 0.7610921501706485; 'macro avg': {'precision': 0.6592146384265312; 'recall': 0.6227332855207587; 'f1-score': 0.6336790907382785; 'support': 2930}; 'weighted avg': {'precision': 0.7392011145892678; 'recall': 0.7610921501706485; 'f1-score': 0.7457553930167521; 'support': 2930}}
5,1,CNF,6,26375,2930,1648,[16; 17],296,60.902734,0.734812,6,[X1 == 5 OR X3 == 10 OR X6 == 10 OR X11 >= 1551.500000 OR X13 == 1 OR X13 == 5],{'0': {'precision': 0.8133584195672625; 'recall': 0.8636068521200619; 'f1-score': 0.8377298161470823; 'support': 20023}; '1': {'precision': 0.46608015640273703; 'recall': 0.37531486146095716; 'f1-score': 0.415801866224819; 'support': 6352}; 'accuracy': 0.7460094786729858; 'macro avg': {'precision': 0.6397192879849998; 'recall': 0.6194608567905096; 'f1-score': 0.6267658411859507; 'support': 26375}; 'weighted avg': {'precision': 0.729721963543715; 'recall': 0.7460094786729858; 'f1-score': 0.7361151682643821; 'support': 26375}},{'0': {'precision': 0.8060016906170753; 'recall': 0.8570786516853932; 'f1-score': 0.8307558266172947; 'support': 2225}; '1': {'precision': 0.43617021276595747; 'recall': 0.34893617021276596; 'f1-score': 0.3877068557919621; 'support': 705}; 'accuracy': 0.7348122866894198; 'macro avg': {'precision': 0.6210859516915164; 'recall': 0.6030074109490796; 'f1-score': 0.6092313412046284; 'support': 2930}; 'weighted avg': {'precision': 0.717014935707506; 'recall': 0.7348122866894198; 'f1-score': 0.7241518933641005; 'support': 2930}}
5,1,CNF,7,26375,2930,1648,[16; 17],296,57.010832,0.765529,4,[X1 == 2 OR X10 >= 5119.000000 OR X13 == 11 OR X13 == 17],{'0': {'precision': 0.8000171181580862; 'recall': 0.933626329720821; 'f1-score': 0.8616731965890759; 'support': 20023}; '1': {'precision': 0.5581781914893617; 'recall': 0.26432619647355166; 'f1-score': 0.35876068376068376; 'support': 6352}; 'accuracy': 0.7724360189573459; 'macro avg': {'precision': 0.679097654823724; 'recall': 0.5989762630971863; 'f1-score': 0.6102169401748798; 'support': 26375}; 'weighted avg': {'precision': 0.7417740522926932; 'recall': 0.7724360189573459; 'f1-score': 0.7405547025043007; 'support': 26375}},{'0': {'precision': 0.7964533538936006; 'recall': 0.9285393258426966; 'f1-score': 0.8574393027599085; 'support': 2225}; '1': {'precision': 0.5267857142857143; 'recall': 0.251063829787234; 'f1-score': 0.34005763688760804; 'support': 705}; 'accuracy': 0.7655290102389078; 'macro avg': {'precision': 0.6616195340896575; 'recall': 0.5898015778149653; 'f1-score': 0.5987484698237583; 'support': 2930}; 'weighted avg': {'precision': 0.7315674542609863; 'recall': 0.7655290102389078; 'f1-score': 0.7329498575585529; 'support': 2930}}
5,1,CNF,8,26375,2930,1648,[16; 17],296,55.199206,0.659727,5,[X0 >= 43.500000 OR X3 == 14 OR X13 == 5 OR X13 == 18 OR X13 == 41],{'0': {'precision': 0.825204678362573; 'recall': 0.7047043547742708; 'f1-score': 0.7602090291994397; 'support': 20024}; '1': {'precision': 0.3624797843665768; 'recall': 0.5293654542591718; 'f1-score': 0.43030846025854347; 'support': 6351}; 'accuracy': 0.6624834123222749; 'macro avg': {'precision': 0.5938422313645749; 'recall': 0.6170349045167214; 'f1-score': 0.5952587447289915; 'support': 26375}; 'weighted avg': {'precision': 0.7137822782955182; 'recall': 0.6624834123222749; 'f1-score': 0.6807702230063162; 'support': 26375}},{'0': {'precision': 0.8244315177154945; 'recall': 0.7009892086330936; 'f1-score': 0.7577156743620901; 'support': 2224}; '1': {'precision': 0.3599615014436959; 'recall': 0.5297450424929179; 'f1-score': 0.42865329512893985; 'support': 706}; 'accuracy': 0.6597269624573379; 'macro avg': {'precision': 0.5921965095795951; 'recall': 0.6153671255630058; 'f1-score': 0.593184484745515; 'support': 2930}; 'weighted avg': {'precision': 0.7125148516786721; 'recall': 0.6597269624573379; 'f1-score': 0.6784262410042047; 'support': 2930}}
5,1,CNF,9,26375,2930,1648,[16; 17],296,66.679384,0.799317,4,[X3 == 10 OR X3 == 14 OR X7 == 5 OR X10 >= 4932.500000],{'0': {'precision': 0.819245494042242; 'recall': 0.9511086695964842; 'f1-score': 0.8802662291141873; 'support': 20024}; '1': {'precision': 0.6870204603580563; 'recall': 0.33837190993544325; 'f1-score': 0.4534233568941872; 'support': 6351}; 'accuracy': 0.803563981042654; 'macro avg': {'precision': 0.7531329772001492; 'recall': 0.6447402897659638; 'f1-score': 0.6668447930041872; 'support': 26375}; 'weighted avg': {'precision': 0.787406207258232; 'recall': 0.803563981042654; 'f1-score': 0.7774840838452121; 'support': 26375}},{'0': {'precision': 0.8153430994602929; 'recall': 0.9509892086330936; 'f1-score': 0.8779576587795765; 'support': 2224}; '1': {'precision': 0.6755952380952381; 'recall': 0.32152974504249293; 'f1-score': 0.43570057581573896; 'support': 706}; 'accuracy': 0.7993174061433447; 'macro avg': {'precision': 0.7454691687777655; 'recall': 0.6362594768377933; 'f1-score': 0.6568291172976577; 'support': 2930}; 'weighted avg': {'precision': 0.7816700652883719; 'recall': 0.7993174061433447; 'f1-score': 0.7713933241132047; 'support': 2930}}
5,1,CNF,0,26374,2931,824,[32; 33],296,76.402481,0.780962,8,[X3 == 12 OR X5 == 1 OR X6 == 11 OR X10 >= 6618.500000 OR X12 >= 65.500000 OR X13 == 10 OR X13 == 22 OR X13 == 41],{'0': {'precision': 0.8133193037835942; 'recall': 0.9264845427758078; 'f1-score': 0.8662215166230856; 'support': 20023}; '1': {'precision': 0.5870967741935483; 'recall': 0.3295544008817509; 'f1-score': 0.42214602662363854; 'support': 6351}; 'accuracy': 0.782740577841814; 'macro avg': {'precision': 0.7002080389885712; 'recall': 0.6280194718287794; 'f1-score': 0.644183771623362; 'support': 26374}; 'weighted avg': {'precision': 0.7588437109487424; 'recall': 0.782740577841814; 'f1-score': 0.7592857678937882; 'support': 26374}},{'0': {'precision': 0.8107577542206518; 'recall': 0.9280898876404494; 'f1-score': 0.8654652137468566; 'support': 2225}; '1': {'precision': 0.5833333333333334; 'recall': 0.31728045325779036; 'f1-score': 0.41100917431192663; 'support': 706}; 'accuracy': 0.7809621289662231; 'macro avg': {'precision': 0.6970455437769926; 'recall': 0.6226851704491199; 'f1-score': 0.6382371940293916; 'support': 2931}; 'weighted avg': {'precision': 0.7559772557059992; 'recall': 0.7809621289662231; 'f1-score': 0.755998832361302; 'support': 2931}}
