l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,58,[8; 9],158,1.548115,0.603774,3,[X2 >= 1.400000 OR X2 < 0.800000 OR X6 < 19.000000],{'0.0': {'precision': 0.3945578231292517; 'recall': 0.43283582089552236; 'f1-score': 0.4128113879003559; 'support': 134}; '1.0': {'precision': 0.7632398753894081; 'recall': 0.7335329341317365; 'f1-score': 0.7480916030534351; 'support': 334}; 'accuracy': 0.6474358974358975; 'macro avg': {'precision': 0.5788988492593299; 'recall': 0.5831843775136294; 'f1-score': 0.5804514954768956; 'support': 468}; 'weighted avg': {'precision': 0.6576770655542351; 'recall': 0.6474358974358974; 'f1-score': 0.6520925670908013; 'support': 468}},{'0.0': {'precision': 0.3125; 'recall': 0.3333333333333333; 'f1-score': 0.3225806451612903; 'support': 15}; '1.0': {'precision': 0.7297297297297297; 'recall': 0.7105263157894737; 'f1-score': 0.7200000000000001; 'support': 38}; 'accuracy': 0.6037735849056604; 'macro avg': {'precision': 0.5211148648648649; 'recall': 0.5219298245614035; 'f1-score': 0.5212903225806452; 'support': 53}; 'weighted avg': {'precision': 0.6116458439571646; 'recall': 0.6037735849056604; 'f1-score': 0.607522824102252; 'support': 53}}
l: 5,1,CNF,0,468,53,29,[16; 17],158,0.893790,0.698113,3,[X2 >= 3.300000 OR X6 >= 71.600000 OR X8 < 4.100000],{'0.0': {'precision': 0.5576923076923077; 'recall': 0.21641791044776118; 'f1-score': 0.3118279569892473; 'support': 134}; '1.0': {'precision': 0.7475961538461539; 'recall': 0.9311377245508982; 'f1-score': 0.8293333333333334; 'support': 334}; 'accuracy': 0.7264957264957265; 'macro avg': {'precision': 0.6526442307692308; 'recall': 0.5737778174993297; 'f1-score': 0.5705806451612904; 'support': 468}; 'weighted avg': {'precision': 0.6932219756738988; 'recall': 0.7264957264957265; 'f1-score': 0.6811587170296848; 'support': 468}},{'0.0': {'precision': 0.4; 'recall': 0.13333333333333333; 'f1-score': 0.2; 'support': 15}; '1.0': {'precision': 0.7291666666666666; 'recall': 0.9210526315789473; 'f1-score': 0.8139534883720931; 'support': 38}; 'accuracy': 0.6981132075471698; 'macro avg': {'precision': 0.5645833333333333; 'recall': 0.5271929824561403; 'f1-score': 0.5069767441860465; 'support': 53}; 'weighted avg': {'precision': 0.636006289308176; 'recall': 0.6981132075471698; 'f1-score': 0.6401930671347082; 'support': 53}}
l: 5,1,CNF,1,469,52,29,[16; 17],158,1.086790,0.711538,4,[X2 >= 1.000000 OR X2 < 0.700000 OR X3 < 0.200000 OR X4 < 182.000000],{'0.0': {'precision': 0.4095238095238095; 'recall': 0.31851851851851853; 'f1-score': 0.3583333333333333; 'support': 135}; '1.0': {'precision': 0.7472527472527473; 'recall': 0.8143712574850299; 'f1-score': 0.7793696275071633; 'support': 334}; 'accuracy': 0.6716417910447762; 'macro avg': {'precision': 0.5783882783882783; 'recall': 0.5664448880017743; 'f1-score': 0.5688514804202482; 'support': 469}; 'weighted avg': {'precision': 0.6500386606996414; 'recall': 0.6716417910447762; 'f1-score': 0.6581758114869778; 'support': 469}},{'0.0': {'precision': 0.42857142857142855; 'recall': 0.21428571428571427; 'f1-score': 0.2857142857142857; 'support': 14}; '1.0': {'precision': 0.7555555555555555; 'recall': 0.8947368421052632; 'f1-score': 0.8192771084337349; 'support': 38}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.5920634920634921; 'recall': 0.5545112781954887; 'f1-score': 0.5524956970740103; 'support': 52}; 'weighted avg': {'precision': 0.6675213675213675; 'recall': 0.7115384615384616; 'f1-score': 0.6756255792400372; 'support': 52}}
l: 5,1,CNF,2,469,52,29,[16; 17],158,1.019129,0.673077,5,[X2 >= 1.400000 OR X3 < 0.200000 OR X4 >= 236.800000 OR X4 < 167.600000 OR X6 >= 105.000000],{'0.0': {'precision': 0.48936170212765956; 'recall': 0.34328358208955223; 'f1-score': 0.4035087719298245; 'support': 134}; '1.0': {'precision': 0.7653333333333333; 'recall': 0.8567164179104477; 'f1-score': 0.808450704225352; 'support': 335}; 'accuracy': 0.7100213219616205; 'macro avg': {'precision': 0.6273475177304965; 'recall': 0.6; 'f1-score': 0.6059797380775882; 'support': 469}; 'weighted avg': {'precision': 0.686484295845998; 'recall': 0.7100213219616205; 'f1-score': 0.6927530092837728; 'support': 469}},{'0.0': {'precision': 0.4375; 'recall': 0.4666666666666667; 'f1-score': 0.45161290322580644; 'support': 15}; '1.0': {'precision': 0.7777777777777778; 'recall': 0.7567567567567568; 'f1-score': 0.7671232876712328; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.6076388888888888; 'recall': 0.6117117117117117; 'f1-score': 0.6093680954485197; 'support': 52}; 'weighted avg': {'precision': 0.6796207264957265; 'recall': 0.6730769230769231; 'f1-score': 0.6761106767735138; 'support': 52}}
l: 5,1,CNF,3,469,52,29,[16; 17],158,0.989762,0.615385,3,[X0 >= 66.000000 OR X7 >= 6.600000 OR X7 < 6.000000],{'0.0': {'precision': 0.3246753246753247; 'recall': 0.1865671641791045; 'f1-score': 0.2369668246445498; 'support': 134}; '1.0': {'precision': 0.7219387755102041; 'recall': 0.844776119402985; 'f1-score': 0.7785419532324622; 'support': 335}; 'accuracy': 0.6567164179104478; 'macro avg': {'precision': 0.5233070500927643; 'recall': 0.5156716417910447; 'f1-score': 0.507754388938506; 'support': 469}; 'weighted avg': {'precision': 0.6084349324145242; 'recall': 0.6567164179104478; 'f1-score': 0.6238062022073444; 'support': 469}},{'0.0': {'precision': 0.2222222222222222; 'recall': 0.13333333333333333; 'f1-score': 0.16666666666666669; 'support': 15}; '1.0': {'precision': 0.6976744186046512; 'recall': 0.8108108108108109; 'f1-score': 0.75; 'support': 37}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.4599483204134367; 'recall': 0.4720720720720721; 'f1-score': 0.45833333333333337; 'support': 52}; 'weighted avg': {'precision': 0.5605247465712582; 'recall': 0.6153846153846154; 'f1-score': 0.5817307692307693; 'support': 52}}
l: 5,1,CNF,4,469,52,29,[16; 17],158,1.161061,0.692308,2,[X0 >= 45.000000 OR X2 >= 1.400000],{'0.0': {'precision': 0.4626865671641791; 'recall': 0.4626865671641791; 'f1-score': 0.4626865671641791; 'support': 134}; '1.0': {'precision': 0.7850746268656716; 'recall': 0.7850746268656716; 'f1-score': 0.7850746268656718; 'support': 335}; 'accuracy': 0.6929637526652452; 'macro avg': {'precision': 0.6238805970149254; 'recall': 0.6238805970149254; 'f1-score': 0.6238805970149255; 'support': 469}; 'weighted avg': {'precision': 0.6929637526652452; 'recall': 0.6929637526652452; 'f1-score': 0.6929637526652453; 'support': 469}},{'0.0': {'precision': 0.47619047619047616; 'recall': 0.6666666666666666; 'f1-score': 0.5555555555555556; 'support': 15}; '1.0': {'precision': 0.8387096774193549; 'recall': 0.7027027027027027; 'f1-score': 0.7647058823529411; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.6574500768049155; 'recall': 0.6846846846846847; 'f1-score': 0.6601307189542484; 'support': 52}; 'weighted avg': {'precision': 0.7341368309110246; 'recall': 0.6923076923076923; 'f1-score': 0.7043740573152337; 'support': 52}}
l: 5,1,CNF,5,469,52,29,[16; 17],158,0.932115,0.615385,5,[X0 >= 66.000000 OR X0 < 31.000000 OR X3 >= 1.000000 OR X4 >= 512.600000 OR X6 < 19.000000],{'0.0': {'precision': 0.41040462427745666; 'recall': 0.5298507462686567; 'f1-score': 0.46254071661237783; 'support': 134}; '1.0': {'precision': 0.7871621621621622; 'recall': 0.6955223880597015; 'f1-score': 0.7385103011093503; 'support': 335}; 'accuracy': 0.6481876332622601; 'macro avg': {'precision': 0.5987833932198094; 'recall': 0.612686567164179; 'f1-score': 0.6005255088608641; 'support': 469}; 'weighted avg': {'precision': 0.6795171513379605; 'recall': 0.6481876332622601; 'f1-score': 0.6596618483959297; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.3333333333333333; 'f1-score': 0.3333333333333333; 'support': 15}; '1.0': {'precision': 0.7297297297297297; 'recall': 0.7297297297297297; 'f1-score': 0.7297297297297297; 'support': 37}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.5315315315315315; 'recall': 0.5315315315315315; 'f1-score': 0.5315315315315315; 'support': 52}; 'weighted avg': {'precision': 0.6153846153846154; 'recall': 0.6153846153846154; 'f1-score': 0.6153846153846154; 'support': 52}}
l: 5,1,CNF,6,469,52,29,[16; 17],158,1.094388,0.615385,4,[(NOT X1) OR X2 >= 1.400000 OR X5 < 18.000000 OR X6 < 19.000000],{'0.0': {'precision': 0.3870967741935484; 'recall': 0.44776119402985076; 'f1-score': 0.41522491349480967; 'support': 134}; '1.0': {'precision': 0.7643312101910829; 'recall': 0.7164179104477612; 'f1-score': 0.7395993836671801; 'support': 335}; 'accuracy': 0.6396588486140725; 'macro avg': {'precision': 0.5757139921923156; 'recall': 0.582089552238806; 'f1-score': 0.5774121485809949; 'support': 469}; 'weighted avg': {'precision': 0.6565499427632159; 'recall': 0.6396588486140725; 'f1-score': 0.6469209636179315; 'support': 469}},{'0.0': {'precision': 0.35294117647058826; 'recall': 0.4; 'f1-score': 0.37500000000000006; 'support': 15}; '1.0': {'precision': 0.7428571428571429; 'recall': 0.7027027027027027; 'f1-score': 0.7222222222222223; 'support': 37}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.5478991596638656; 'recall': 0.5513513513513514; 'f1-score': 0.5486111111111112; 'support': 52}; 'weighted avg': {'precision': 0.6303813833225599; 'recall': 0.6153846153846154; 'f1-score': 0.6220619658119659; 'support': 52}}
l: 5,1,CNF,7,469,52,29,[16; 17],158,1.069390,0.653846,6,[X2 >= 3.300000 OR X5 >= 74.000000 OR X5 < 18.000000 OR X7 >= 7.900000 OR X7 < 5.100000 OR X9 < 0.800000],{'0.0': {'precision': 0.4161849710982659; 'recall': 0.5373134328358209; 'f1-score': 0.46905537459283386; 'support': 134}; '1.0': {'precision': 0.7905405405405406; 'recall': 0.6985074626865672; 'f1-score': 0.7416798732171156; 'support': 335}; 'accuracy': 0.652452025586354; 'macro avg': {'precision': 0.6033627558194032; 'recall': 0.6179104477611941; 'f1-score': 0.6053676239049748; 'support': 469}; 'weighted avg': {'precision': 0.6835818064141764; 'recall': 0.652452025586354; 'f1-score': 0.6637871593244636; 'support': 469}},{'0.0': {'precision': 0.42105263157894735; 'recall': 0.5333333333333333; 'f1-score': 0.47058823529411764; 'support': 15}; '1.0': {'precision': 0.7878787878787878; 'recall': 0.7027027027027027; 'f1-score': 0.7428571428571429; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.6044657097288676; 'recall': 0.618018018018018; 'f1-score': 0.6067226890756303; 'support': 52}; 'weighted avg': {'precision': 0.6820635504846031; 'recall': 0.6538461538461539; 'f1-score': 0.6643180349062702; 'support': 52}}
l: 5,1,CNF,8,469,52,29,[16; 17],158,1.069770,0.634615,4,[X2 >= 1.400000 OR X2 < 0.700000 OR X4 >= 282.000000 OR X5 < 18.000000],{'0.0': {'precision': 0.46107784431137727; 'recall': 0.5746268656716418; 'f1-score': 0.5116279069767442; 'support': 134}; '1.0': {'precision': 0.8112582781456954; 'recall': 0.7313432835820896; 'f1-score': 0.7692307692307692; 'support': 335}; 'accuracy': 0.6865671641791045; 'macro avg': {'precision': 0.6361680612285363; 'recall': 0.6529850746268657; 'f1-score': 0.6404293381037567; 'support': 469}; 'weighted avg': {'precision': 0.7112067256216045; 'recall': 0.6865671641791045; 'f1-score': 0.6956299514439048; 'support': 469}},{'0.0': {'precision': 0.375; 'recall': 0.4; 'f1-score': 0.38709677419354843; 'support': 15}; '1.0': {'precision': 0.75; 'recall': 0.7297297297297297; 'f1-score': 0.7397260273972601; 'support': 37}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.5625; 'recall': 0.5648648648648649; 'f1-score': 0.5634114007954043; 'support': 52}; 'weighted avg': {'precision': 0.6418269230769231; 'recall': 0.6346153846153846; 'f1-score': 0.6380060505115741; 'support': 52}}
l: 5,1,CNF,9,469,52,29,[16; 17],158,1.081244,0.730769,6,[X2 >= 2.000000 OR X2 < 0.900000 OR X3 >= 4.100000 OR X4 >= 282.000000 OR X5 >= 35.000000 OR X6 >= 54.000000],{'0.0': {'precision': 0.46296296296296297; 'recall': 0.1865671641791045; 'f1-score': 0.26595744680851063; 'support': 134}; '1.0': {'precision': 0.7373493975903614; 'recall': 0.9134328358208955; 'f1-score': 0.8160000000000001; 'support': 335}; 'accuracy': 0.7057569296375267; 'macro avg': {'precision': 0.6001561802766622; 'recall': 0.55; 'f1-score': 0.5409787234042553; 'support': 469}; 'weighted avg': {'precision': 0.6589532734111048; 'recall': 0.7057569296375267; 'f1-score': 0.6588449848024317; 'support': 469}},{'0.0': {'precision': 0.6; 'recall': 0.2; 'f1-score': 0.3; 'support': 15}; '1.0': {'precision': 0.7446808510638298; 'recall': 0.9459459459459459; 'f1-score': 0.8333333333333334; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.6723404255319149; 'recall': 0.572972972972973; 'f1-score': 0.5666666666666667; 'support': 52}; 'weighted avg': {'precision': 0.7029459901800327; 'recall': 0.7307692307692307; 'f1-score': 0.6794871794871795; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [16, 17], 'n_partitions': 29}, (mean val acc cv) 0.664042 (+- 0.041015), (mean training time) 1.039744 (+- 0.076961)
l: 5,1,CNF,0,468,53,14,[33; 34],158,0.725573,0.622642,7,[(NOT X1) OR X3 < 0.200000 OR X4 >= 282.000000 OR X5 >= 74.000000 OR X7 < 5.600000 OR X9 >= 1.060000 OR X9 < 0.800000],{'0.0': {'precision': 0.423728813559322; 'recall': 0.1865671641791045; 'f1-score': 0.25906735751295334; 'support': 134}; '1.0': {'precision': 0.7334963325183375; 'recall': 0.8982035928143712; 'f1-score': 0.8075370121130552; 'support': 334}; 'accuracy': 0.6944444444444444; 'macro avg': {'precision': 0.5786125730388297; 'recall': 0.5423853784967378; 'f1-score': 0.5333021848130043; 'support': 468}; 'weighted avg': {'precision': 0.6448022138420382; 'recall': 0.6944444444444444; 'f1-score': 0.6504965554540516; 'support': 468}},{'0.0': {'precision': 0.2727272727272727; 'recall': 0.2; 'f1-score': 0.23076923076923075; 'support': 15}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.7894736842105263; 'f1-score': 0.7500000000000001; 'support': 38}; 'accuracy': 0.6226415094339622; 'macro avg': {'precision': 0.4935064935064935; 'recall': 0.49473684210526314; 'f1-score': 0.4903846153846154; 'support': 53}; 'weighted avg': {'precision': 0.5893163440333251; 'recall': 0.6226415094339622; 'f1-score': 0.6030478955007257; 'support': 53}}
