l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,58,[8; 9],158,1.917161,0.566038,2,[X2 >= 1.400000 OR X2 < 0.800000],{'0.0': {'precision': 0.3712574850299401; 'recall': 0.46616541353383456; 'f1-score': 0.41333333333333333; 'support': 133}; '1.0': {'precision': 0.7641196013289037; 'recall': 0.6865671641791045; 'f1-score': 0.7232704402515723; 'support': 335}; 'accuracy': 0.6239316239316239; 'macro avg': {'precision': 0.5676885431794219; 'recall': 0.5763662888564696; 'f1-score': 0.5683018867924527; 'support': 468}; 'weighted avg': {'precision': 0.6524728887909503; 'recall': 0.6239316239316239; 'f1-score': 0.6351900231145514; 'support': 468}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.5333333333333333; 'f1-score': 0.4102564102564102; 'support': 15}; '1.0': {'precision': 0.7586206896551724; 'recall': 0.5789473684210527; 'f1-score': 0.6567164179104478; 'support': 38}; 'accuracy': 0.5660377358490566; 'macro avg': {'precision': 0.5459770114942528; 'recall': 0.5561403508771929; 'f1-score': 0.533486414083429; 'support': 53}; 'weighted avg': {'precision': 0.6382563435263501; 'recall': 0.5660377358490566; 'f1-score': 0.5869635855555314; 'support': 53}}
l: 5,1,CNF,0,468,53,29,[16; 17],158,1.029472,0.698113,3,[X0 >= 31.000000 OR X5 >= 53.600000 OR X9 < 0.546000],{'0.0': {'precision': 0.5238095238095238; 'recall': 0.24812030075187969; 'f1-score': 0.336734693877551; 'support': 133}; '1.0': {'precision': 0.7530864197530864; 'recall': 0.9104477611940298; 'f1-score': 0.8243243243243243; 'support': 335}; 'accuracy': 0.7222222222222222; 'macro avg': {'precision': 0.6384479717813052; 'recall': 0.5792840309729548; 'f1-score': 0.5805295091009377; 'support': 468}; 'weighted avg': {'precision': 0.687928669410151; 'recall': 0.7222222222222222; 'f1-score': 0.6857571857571857; 'support': 468}},{'0.0': {'precision': 0.4; 'recall': 0.13333333333333333; 'f1-score': 0.2; 'support': 15}; '1.0': {'precision': 0.7291666666666666; 'recall': 0.9210526315789473; 'f1-score': 0.8139534883720931; 'support': 38}; 'accuracy': 0.6981132075471698; 'macro avg': {'precision': 0.5645833333333333; 'recall': 0.5271929824561403; 'f1-score': 0.5069767441860465; 'support': 53}; 'weighted avg': {'precision': 0.636006289308176; 'recall': 0.6981132075471698; 'f1-score': 0.6401930671347082; 'support': 53}}
l: 5,1,CNF,1,469,52,29,[16; 17],158,0.919392,0.692308,2,[X7 >= 7.100000 OR X8 < 3.600000],{'0.0': {'precision': 0.3829787234042553; 'recall': 0.13432835820895522; 'f1-score': 0.19889502762430938; 'support': 134}; '1.0': {'precision': 0.7251184834123223; 'recall': 0.9134328358208955; 'f1-score': 0.8084544253632762; 'support': 335}; 'accuracy': 0.6908315565031983; 'macro avg': {'precision': 0.5540486034082888; 'recall': 0.5238805970149254; 'f1-score': 0.5036747264937927; 'support': 469}; 'weighted avg': {'precision': 0.6273642662671604; 'recall': 0.6908315565031983; 'f1-score': 0.6342945974378572; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.14285714285714285; 'f1-score': 0.2; 'support': 14}; '1.0': {'precision': 0.7391304347826086; 'recall': 0.8947368421052632; 'f1-score': 0.8095238095238095; 'support': 38}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.536231884057971; 'recall': 0.518796992481203; 'f1-score': 0.5047619047619047; 'support': 52}; 'weighted avg': {'precision': 0.6298773690078038; 'recall': 0.6923076923076923; 'f1-score': 0.6454212454212455; 'support': 52}}
l: 5,1,CNF,2,469,52,29,[16; 17],158,1.055529,0.634615,6,[X0 >= 66.000000 OR X0 < 35.000000 OR X2 < 0.700000 OR X4 < 182.000000 OR X7 < 5.600000 OR X8 < 2.700000],{'0.0': {'precision': 0.288; 'recall': 0.26865671641791045; 'f1-score': 0.277992277992278; 'support': 134}; '1.0': {'precision': 0.7151162790697675; 'recall': 0.7343283582089553; 'f1-score': 0.7245949926362298; 'support': 335}; 'accuracy': 0.6012793176972282; 'macro avg': {'precision': 0.5015581395348837; 'recall': 0.5014925373134329; 'f1-score': 0.5012936353142539; 'support': 469}; 'weighted avg': {'precision': 0.5930830564784054; 'recall': 0.6012793176972282; 'f1-score': 0.5969942170236722; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.35714285714285715; 'f1-score': 0.3448275862068965; 'support': 14}; '1.0': {'precision': 0.7567567567567568; 'recall': 0.7368421052631579; 'f1-score': 0.7466666666666667; 'support': 38}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.545045045045045; 'recall': 0.5469924812030075; 'f1-score': 0.5457471264367816; 'support': 52}; 'weighted avg': {'precision': 0.6427581427581427; 'recall': 0.6346153846153846; 'f1-score': 0.6384792219274978; 'support': 52}}
l: 5,1,CNF,3,469,52,29,[16; 17],158,1.005891,0.711538,4,[X0 >= 66.000000 OR X3 >= 0.600000 OR X5 >= 35.000000 OR X6 >= 54.000000],{'0.0': {'precision': 0.4755244755244755; 'recall': 0.5112781954887218; 'f1-score': 0.49275362318840576; 'support': 133}; '1.0': {'precision': 0.8006134969325154; 'recall': 0.7767857142857143; 'f1-score': 0.7885196374622356; 'support': 336}; 'accuracy': 0.7014925373134329; 'macro avg': {'precision': 0.6380689862284954; 'recall': 0.644031954887218; 'f1-score': 0.6406366303253207; 'support': 469}; 'weighted avg': {'precision': 0.708424072951131; 'recall': 0.7014925373134329; 'f1-score': 0.7046456931159255; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.4666666666666667; 'f1-score': 0.4827586206896552; 'support': 15}; '1.0': {'precision': 0.7894736842105263; 'recall': 0.8108108108108109; 'f1-score': 0.8; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6447368421052632; 'recall': 0.6387387387387388; 'f1-score': 0.6413793103448276; 'support': 52}; 'weighted avg': {'precision': 0.7059716599190283; 'recall': 0.7115384615384616; 'f1-score': 0.7084880636604775; 'support': 52}}
l: 5,1,CNF,4,469,52,29,[16; 17],158,1.023331,0.807692,4,[X0 >= 31.000000 OR X3 >= 0.300000 OR X5 >= 53.600000 OR X6 >= 192.000000],{'0.0': {'precision': 0.4358974358974359; 'recall': 0.12781954887218044; 'f1-score': 0.19767441860465113; 'support': 133}; '1.0': {'precision': 0.7302325581395349; 'recall': 0.9345238095238095; 'f1-score': 0.8198433420365536; 'support': 336}; 'accuracy': 0.7057569296375267; 'macro avg': {'precision': 0.5830649970184854; 'recall': 0.531171679197995; 'f1-score': 0.5087588803206023; 'support': 469}; 'weighted avg': {'precision': 0.6467643891455067; 'recall': 0.7057569296375267; 'f1-score': 0.6434073786752679; 'support': 469}},{'0.0': {'precision': 0.8571428571428571; 'recall': 0.4; 'f1-score': 0.5454545454545455; 'support': 15}; '1.0': {'precision': 0.8; 'recall': 0.972972972972973; 'f1-score': 0.8780487804878049; 'support': 37}; 'accuracy': 0.8076923076923077; 'macro avg': {'precision': 0.8285714285714285; 'recall': 0.6864864864864866; 'f1-score': 0.7117516629711752; 'support': 52}; 'weighted avg': {'precision': 0.8164835164835165; 'recall': 0.8076923076923077; 'f1-score': 0.7821081357666724; 'support': 52}}
l: 5,1,CNF,5,469,52,29,[16; 17],158,1.106434,0.692308,4,[X2 >= 2.000000 OR X2 < 0.700000 OR X4 >= 167.600000 OR X5 >= 35.000000],{'0.0': {'precision': 0.5471698113207547; 'recall': 0.21804511278195488; 'f1-score': 0.3118279569892473; 'support': 133}; '1.0': {'precision': 0.75; 'recall': 0.9285714285714286; 'f1-score': 0.8297872340425532; 'support': 336}; 'accuracy': 0.7270788912579957; 'macro avg': {'precision': 0.6485849056603774; 'recall': 0.5733082706766918; 'f1-score': 0.5708075955159002; 'support': 469}; 'weighted avg': {'precision': 0.6924809912700647; 'recall': 0.7270788912579957; 'f1-score': 0.6829032599528099; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.06666666666666667; 'f1-score': 0.1111111111111111; 'support': 15}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.9459459459459459; 'f1-score': 0.813953488372093; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5238095238095238; 'recall': 0.5063063063063064; 'f1-score': 0.46253229974160204; 'support': 52}; 'weighted avg': {'precision': 0.6043956043956045; 'recall': 0.6923076923076923; 'f1-score': 0.6112104949314252; 'support': 52}}
l: 5,1,CNF,6,469,52,29,[16; 17],158,0.941507,0.653846,5,[X0 >= 66.000000 OR (NOT X1) OR X2 >= 1.400000 OR X5 >= 74.000000 OR X7 < 5.100000],{'0.0': {'precision': 0.49264705882352944; 'recall': 0.5037593984962406; 'f1-score': 0.49814126394052044; 'support': 133}; '1.0': {'precision': 0.8018018018018018; 'recall': 0.7946428571428571; 'f1-score': 0.7982062780269059; 'support': 336}; 'accuracy': 0.7121535181236673; 'macro avg': {'precision': 0.6472244303126656; 'recall': 0.6492011278195489; 'f1-score': 0.6481737709837132; 'support': 469}; 'weighted avg': {'precision': 0.714131053793038; 'recall': 0.7121535181236673; 'f1-score': 0.7131132143307668; 'support': 469}},{'0.0': {'precision': 0.4117647058823529; 'recall': 0.4666666666666667; 'f1-score': 0.43749999999999994; 'support': 15}; '1.0': {'precision': 0.7714285714285715; 'recall': 0.7297297297297297; 'f1-score': 0.75; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.5915966386554622; 'recall': 0.5981981981981982; 'f1-score': 0.59375; 'support': 52}; 'weighted avg': {'precision': 0.6676793794440853; 'recall': 0.6538461538461539; 'f1-score': 0.6598557692307693; 'support': 52}}
l: 5,1,CNF,7,469,52,29,[16; 17],158,1.060563,0.692308,3,[X2 >= 0.900000 OR X2 < 0.700000 OR X8 >= 4.100000],{'0.0': {'precision': 0.43119266055045874; 'recall': 0.3533834586466165; 'f1-score': 0.3884297520661157; 'support': 133}; '1.0': {'precision': 0.7611111111111111; 'recall': 0.8154761904761905; 'f1-score': 0.7873563218390804; 'support': 336}; 'accuracy': 0.6844349680170576; 'macro avg': {'precision': 0.5961518858307849; 'recall': 0.5844298245614035; 'f1-score': 0.5878930369525981; 'support': 469}; 'weighted avg': {'precision': 0.6675521475192843; 'recall': 0.6844349680170576; 'f1-score': 0.6742278916049562; 'support': 469}},{'0.0': {'precision': 0.45454545454545453; 'recall': 0.3333333333333333; 'f1-score': 0.3846153846153846; 'support': 15}; '1.0': {'precision': 0.7560975609756098; 'recall': 0.8378378378378378; 'f1-score': 0.7948717948717948; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.6053215077605322; 'recall': 0.5855855855855856; 'f1-score': 0.5897435897435896; 'support': 52}; 'weighted avg': {'precision': 0.6691113764284496; 'recall': 0.6923076923076923; 'f1-score': 0.6765285996055226; 'support': 52}}
l: 5,1,CNF,8,469,52,29,[16; 17],158,0.984520,0.711538,5,[X2 < 0.800000 OR X3 < 0.200000 OR X4 >= 282.000000 OR X8 >= 3.900000 OR X9 < 0.800000],{'0.0': {'precision': 0.3617021276595745; 'recall': 0.38345864661654133; 'f1-score': 0.3722627737226277; 'support': 133}; '1.0': {'precision': 0.75; 'recall': 0.7321428571428571; 'f1-score': 0.7409638554216866; 'support': 336}; 'accuracy': 0.6332622601279317; 'macro avg': {'precision': 0.5558510638297872; 'recall': 0.5578007518796992; 'f1-score': 0.5566133145721572; 'support': 469}; 'weighted avg': {'precision': 0.6398856779930137; 'recall': 0.6332622601279317; 'f1-score': 0.6364068322532968; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.26666666666666666; 'f1-score': 0.3478260869565218; 'support': 15}; '1.0': {'precision': 0.75; 'recall': 0.8918918918918919; 'f1-score': 0.8148148148148148; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.625; 'recall': 0.5792792792792792; 'f1-score': 0.5813204508856683; 'support': 52}; 'weighted avg': {'precision': 0.6778846153846154; 'recall': 0.7115384615384616; 'f1-score': 0.6801065279326148; 'support': 52}}
l: 5,1,CNF,9,469,52,29,[16; 17],158,1.041388,0.634615,2,[X4 >= 208.000000 OR X4 < 167.600000],{'0.0': {'precision': 0.3805970149253731; 'recall': 0.38345864661654133; 'f1-score': 0.3820224719101123; 'support': 133}; '1.0': {'precision': 0.755223880597015; 'recall': 0.7529761904761905; 'f1-score': 0.7540983606557377; 'support': 336}; 'accuracy': 0.6481876332622601; 'macro avg': {'precision': 0.567910447761194; 'recall': 0.5682174185463659; 'f1-score': 0.568060416282925; 'support': 469}; 'weighted avg': {'precision': 0.6489864112274448; 'recall': 0.6481876332622601; 'f1-score': 0.648584302653247; 'support': 469}},{'0.0': {'precision': 0.4; 'recall': 0.5333333333333333; 'f1-score': 0.4571428571428572; 'support': 15}; '1.0': {'precision': 0.78125; 'recall': 0.6756756756756757; 'f1-score': 0.7246376811594203; 'support': 37}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.590625; 'recall': 0.6045045045045045; 'f1-score': 0.5908902691511387; 'support': 52}; 'weighted avg': {'precision': 0.6712740384615384; 'recall': 0.6346153846153846; 'f1-score': 0.647475712693104; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [16, 17], 'n_partitions': 29}, (mean val acc cv) 0.692888 (+- 0.047138), (mean training time) 1.016803 (+- 0.053456)
l: 5,1,CNF,0,468,53,14,[33; 34],158,0.673797,0.566038,6,[X3 >= 1.000000 OR X4 >= 328.000000 OR X4 < 150.000000 OR X6 >= 54.000000 OR X7 >= 7.900000 OR X7 < 5.100000],{'0.0': {'precision': 0.46715328467153283; 'recall': 0.48120300751879697; 'f1-score': 0.4740740740740741; 'support': 133}; '1.0': {'precision': 0.7915407854984894; 'recall': 0.7820895522388059; 'f1-score': 0.7867867867867867; 'support': 335}; 'accuracy': 0.6965811965811965; 'macro avg': {'precision': 0.6293470350850111; 'recall': 0.6316462798788014; 'f1-score': 0.6304304304304305; 'support': 468}; 'weighted avg': {'precision': 0.6993537393233072; 'recall': 0.6965811965811965; 'f1-score': 0.6979175756953533; 'support': 468}},{'0.0': {'precision': 0.3181818181818182; 'recall': 0.4666666666666667; 'f1-score': 0.3783783783783784; 'support': 15}; '1.0': {'precision': 0.7419354838709677; 'recall': 0.6052631578947368; 'f1-score': 0.6666666666666666; 'support': 38}; 'accuracy': 0.5660377358490566; 'macro avg': {'precision': 0.5300586510263929; 'recall': 0.5359649122807018; 'f1-score': 0.5225225225225225; 'support': 53}; 'weighted avg': {'precision': 0.6220052011287557; 'recall': 0.5660377358490566; 'f1-score': 0.5850756416794153; 'support': 53}}
