l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,58,[8; 9],158,1.352684,0.698113,3,[(NOT X1) OR X5 >= 35.000000 OR X6 >= 71.600000],{'0.0': {'precision': 0.4206896551724138; 'recall': 0.45864661654135336; 'f1-score': 0.43884892086330934; 'support': 133}; '1.0': {'precision': 0.7770897832817337; 'recall': 0.7492537313432835; 'f1-score': 0.7629179331306991; 'support': 335}; 'accuracy': 0.6666666666666666; 'macro avg': {'precision': 0.5988897192270738; 'recall': 0.6039501739423184; 'f1-score': 0.6008834269970043; 'support': 468}; 'weighted avg': {'precision': 0.6758051314899826; 'recall': 0.6666666666666666; 'f1-score': 0.6708213975931716; 'support': 468}},{'0.0': {'precision': 0.4666666666666667; 'recall': 0.4666666666666667; 'f1-score': 0.4666666666666667; 'support': 15}; '1.0': {'precision': 0.7894736842105263; 'recall': 0.7894736842105263; 'f1-score': 0.7894736842105263; 'support': 38}; 'accuracy': 0.6981132075471698; 'macro avg': {'precision': 0.6280701754385964; 'recall': 0.6280701754385964; 'f1-score': 0.6280701754385964; 'support': 53}; 'weighted avg': {'precision': 0.6981132075471698; 'recall': 0.6981132075471698; 'f1-score': 0.6981132075471698; 'support': 53}}
l: 5,1,CNF,0,468,53,29,[16; 17],158,0.857301,0.660377,3,[(NOT X1) OR X3 >= 0.600000 OR X4 >= 208.000000],{'0.0': {'precision': 0.48672566371681414; 'recall': 0.41353383458646614; 'f1-score': 0.44715447154471544; 'support': 133}; '1.0': {'precision': 0.780281690140845; 'recall': 0.826865671641791; 'f1-score': 0.8028985507246377; 'support': 335}; 'accuracy': 0.7094017094017094; 'macro avg': {'precision': 0.6335036769288296; 'recall': 0.6201997531141286; 'f1-score': 0.6250265111346766; 'support': 468}; 'weighted avg': {'precision': 0.6968565800673491; 'recall': 0.7094017094017094; 'f1-score': 0.7018003401884633; 'support': 468}},{'0.0': {'precision': 0.36363636363636365; 'recall': 0.26666666666666666; 'f1-score': 0.30769230769230765; 'support': 15}; '1.0': {'precision': 0.7380952380952381; 'recall': 0.8157894736842105; 'f1-score': 0.775; 'support': 38}; 'accuracy': 0.660377358490566; 'macro avg': {'precision': 0.550865800865801; 'recall': 0.5412280701754386; 'f1-score': 0.5413461538461538; 'support': 53}; 'weighted avg': {'precision': 0.6321163113615944; 'recall': 0.660377358490566; 'f1-score': 0.6427431059506531; 'support': 53}}
l: 5,1,CNF,1,469,52,29,[16; 17],158,0.859559,0.788462,4,[X2 >= 1.400000 OR X4 >= 208.000000 OR X4 < 150.000000 OR X6 < 19.000000],{'0.0': {'precision': 0.4956521739130435; 'recall': 0.4253731343283582; 'f1-score': 0.45783132530120485; 'support': 134}; '1.0': {'precision': 0.7824858757062146; 'recall': 0.826865671641791; 'f1-score': 0.8040638606676341; 'support': 335}; 'accuracy': 0.7121535181236673; 'macro avg': {'precision': 0.6390690248096291; 'recall': 0.6261194029850746; 'f1-score': 0.6309475929844195; 'support': 469}; 'weighted avg': {'precision': 0.7005333894795943; 'recall': 0.7121535181236673; 'f1-score': 0.7051402791343685; 'support': 469}},{'0.0': {'precision': 0.6363636363636364; 'recall': 0.5; 'f1-score': 0.56; 'support': 14}; '1.0': {'precision': 0.8292682926829268; 'recall': 0.8947368421052632; 'f1-score': 0.860759493670886; 'support': 38}; 'accuracy': 0.7884615384615384; 'macro avg': {'precision': 0.7328159645232816; 'recall': 0.6973684210526316; 'f1-score': 0.710379746835443; 'support': 52}; 'weighted avg': {'precision': 0.7773324236738871; 'recall': 0.7884615384615384; 'f1-score': 0.7797857838364167; 'support': 52}}
l: 5,1,CNF,2,469,52,29,[16; 17],158,0.870452,0.788462,5,[X0 >= 66.000000 OR X0 < 35.000000 OR X2 >= 0.900000 OR X3 >= 0.600000 OR X5 >= 43.000000],{'0.0': {'precision': 0.4470588235294118; 'recall': 0.2835820895522388; 'f1-score': 0.34703196347031967; 'support': 134}; '1.0': {'precision': 0.75; 'recall': 0.8597014925373134; 'f1-score': 0.8011126564673157; 'support': 335}; 'accuracy': 0.6950959488272921; 'macro avg': {'precision': 0.5985294117647059; 'recall': 0.5716417910447761; 'f1-score': 0.5740723099688176; 'support': 469}; 'weighted avg': {'precision': 0.6634453781512605; 'recall': 0.6950959488272921; 'f1-score': 0.6713753156110311; 'support': 469}},{'0.0': {'precision': 0.8; 'recall': 0.2857142857142857; 'f1-score': 0.4210526315789473; 'support': 14}; '1.0': {'precision': 0.7872340425531915; 'recall': 0.9736842105263158; 'f1-score': 0.8705882352941177; 'support': 38}; 'accuracy': 0.7884615384615384; 'macro avg': {'precision': 0.7936170212765958; 'recall': 0.6296992481203008; 'f1-score': 0.6458204334365325; 'support': 52}; 'weighted avg': {'precision': 0.7906710310965631; 'recall': 0.7884615384615384; 'f1-score': 0.7495594189092641; 'support': 52}}
l: 5,1,CNF,3,469,52,29,[16; 17],158,0.855379,0.692308,5,[X0 >= 49.000000 OR X3 < 0.200000 OR X4 >= 208.000000 OR X6 < 19.000000 OR X8 < 2.000000],{'0.0': {'precision': 0.47368421052631576; 'recall': 0.3383458646616541; 'f1-score': 0.3947368421052631; 'support': 133}; '1.0': {'precision': 0.7647058823529411; 'recall': 0.8511904761904762; 'f1-score': 0.8056338028169012; 'support': 336}; 'accuracy': 0.7057569296375267; 'macro avg': {'precision': 0.6191950464396284; 'recall': 0.5947681704260651; 'f1-score': 0.6001853224610821; 'support': 469}; 'weighted avg': {'precision': 0.6821773485513608; 'recall': 0.7057569296375267; 'f1-score': 0.6891107841076307; 'support': 469}},{'0.0': {'precision': 0.46153846153846156; 'recall': 0.4; 'f1-score': 0.42857142857142855; 'support': 15}; '1.0': {'precision': 0.7692307692307693; 'recall': 0.8108108108108109; 'f1-score': 0.7894736842105263; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.6153846153846154; 'recall': 0.6054054054054054; 'f1-score': 0.6090225563909775; 'support': 52}; 'weighted avg': {'precision': 0.6804733727810651; 'recall': 0.6923076923076923; 'f1-score': 0.6853672643146328; 'support': 52}}
l: 5,1,CNF,4,469,52,29,[16; 17],158,0.841699,0.692308,5,[X0 >= 49.000000 OR X2 >= 1.400000 OR X4 >= 512.600000 OR X6 >= 54.000000 OR X7 >= 7.900000],{'0.0': {'precision': 0.5048543689320388; 'recall': 0.39097744360902253; 'f1-score': 0.4406779661016949; 'support': 133}; '1.0': {'precision': 0.7786885245901639; 'recall': 0.8482142857142857; 'f1-score': 0.811965811965812; 'support': 336}; 'accuracy': 0.7185501066098081; 'macro avg': {'precision': 0.6417714467611013; 'recall': 0.6195958646616542; 'f1-score': 0.6263218890337534; 'support': 469}; 'weighted avg': {'precision': 0.7010340625378598; 'recall': 0.7185501066098081; 'f1-score': 0.7066752288103161; 'support': 469}},{'0.0': {'precision': 0.4444444444444444; 'recall': 0.26666666666666666; 'f1-score': 0.33333333333333337; 'support': 15}; '1.0': {'precision': 0.7441860465116279; 'recall': 0.8648648648648649; 'f1-score': 0.8; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5943152454780362; 'recall': 0.5657657657657658; 'f1-score': 0.5666666666666667; 'support': 52}; 'weighted avg': {'precision': 0.6577221228384018; 'recall': 0.6923076923076923; 'f1-score': 0.6653846153846155; 'support': 52}}
l: 5,1,CNF,5,469,52,29,[16; 17],158,0.836288,0.634615,6,[X0 >= 66.000000 OR X0 < 23.000000 OR X2 >= 3.300000 OR X5 >= 35.000000 OR X5 < 21.000000 OR X8 >= 3.900000],{'0.0': {'precision': 0.4411764705882353; 'recall': 0.22556390977443608; 'f1-score': 0.29850746268656714; 'support': 133}; '1.0': {'precision': 0.743142144638404; 'recall': 0.8869047619047619; 'f1-score': 0.8086838534599727; 'support': 336}; 'accuracy': 0.6993603411513859; 'macro avg': {'precision': 0.5921593076133196; 'recall': 0.5562343358395989; 'f1-score': 0.5535956580732699; 'support': 469}; 'weighted avg': {'precision': 0.657510087818207; 'recall': 0.6993603411513859; 'f1-score': 0.6640069665242309; 'support': 469}},{'0.0': {'precision': 0.3; 'recall': 0.2; 'f1-score': 0.24; 'support': 15}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.8108108108108109; 'f1-score': 0.759493670886076; 'support': 37}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.5071428571428571; 'recall': 0.5054054054054055; 'f1-score': 0.499746835443038; 'support': 52}; 'weighted avg': {'precision': 0.5947802197802198; 'recall': 0.6346153846153846; 'f1-score': 0.6096397273612464; 'support': 52}}
l: 5,1,CNF,6,469,52,29,[16; 17],158,0.876075,0.692308,6,[X2 >= 1.400000 OR X4 < 150.000000 OR X5 >= 43.000000 OR X5 < 21.000000 OR X6 >= 192.000000 OR X8 < 3.600000],{'0.0': {'precision': 0.5; 'recall': 0.21052631578947367; 'f1-score': 0.2962962962962963; 'support': 133}; '1.0': {'precision': 0.7457627118644068; 'recall': 0.9166666666666666; 'f1-score': 0.822429906542056; 'support': 336}; 'accuracy': 0.7164179104477612; 'macro avg': {'precision': 0.6228813559322034; 'recall': 0.5635964912280702; 'f1-score': 0.5593631014191762; 'support': 469}; 'weighted avg': {'precision': 0.6760688084998735; 'recall': 0.7164179104477612; 'f1-score': 0.6732278379649003; 'support': 469}},{'0.0': {'precision': 0.42857142857142855; 'recall': 0.2; 'f1-score': 0.27272727272727276; 'support': 15}; '1.0': {'precision': 0.7333333333333333; 'recall': 0.8918918918918919; 'f1-score': 0.8048780487804879; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5809523809523809; 'recall': 0.5459459459459459; 'f1-score': 0.5388026607538803; 'support': 52}; 'weighted avg': {'precision': 0.6454212454212455; 'recall': 0.6923076923076923; 'f1-score': 0.6513730172266758; 'support': 52}}
l: 5,1,CNF,7,469,52,29,[16; 17],158,0.931211,0.519231,3,[X2 >= 3.300000 OR X4 >= 236.800000 OR X4 < 150.000000],{'0.0': {'precision': 0.4321608040201005; 'recall': 0.6466165413533834; 'f1-score': 0.5180722891566265; 'support': 133}; '1.0': {'precision': 0.825925925925926; 'recall': 0.6636904761904762; 'f1-score': 0.735973597359736; 'support': 336}; 'accuracy': 0.6588486140724946; 'macro avg': {'precision': 0.6290433649730132; 'recall': 0.6551535087719298; 'f1-score': 0.6270229432581813; 'support': 469}; 'weighted avg': {'precision': 0.7142611898630798; 'recall': 0.6588486140724946; 'f1-score': 0.6741806890633317; 'support': 469}},{'0.0': {'precision': 0.32142857142857145; 'recall': 0.6; 'f1-score': 0.41860465116279066; 'support': 15}; '1.0': {'precision': 0.75; 'recall': 0.4864864864864865; 'f1-score': 0.5901639344262296; 'support': 37}; 'accuracy': 0.5192307692307693; 'macro avg': {'precision': 0.5357142857142857; 'recall': 0.5432432432432432; 'f1-score': 0.5043842927945101; 'support': 52}; 'weighted avg': {'precision': 0.6263736263736264; 'recall': 0.5192307692307693; 'f1-score': 0.5406756796386991; 'support': 52}}
l: 5,1,CNF,8,469,52,29,[16; 17],158,0.828662,0.711538,4,[X0 >= 40.000000 OR X2 >= 1.000000 OR X4 < 150.000000 OR X9 < 0.700000],{'0.0': {'precision': 0.4430379746835443; 'recall': 0.2631578947368421; 'f1-score': 0.330188679245283; 'support': 133}; '1.0': {'precision': 0.7487179487179487; 'recall': 0.8690476190476191; 'f1-score': 0.8044077134986226; 'support': 336}; 'accuracy': 0.697228144989339; 'macro avg': {'precision': 0.5958779617007465; 'recall': 0.5661027568922306; 'f1-score': 0.5672981963719528; 'support': 469}; 'weighted avg': {'precision': 0.6620325829469983; 'recall': 0.697228144989339; 'f1-score': 0.669927688859616; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.4; 'f1-score': 0.4444444444444445; 'support': 15}; '1.0': {'precision': 0.775; 'recall': 0.8378378378378378; 'f1-score': 0.8051948051948051; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6375; 'recall': 0.6189189189189189; 'f1-score': 0.6248196248196248; 'support': 52}; 'weighted avg': {'precision': 0.6956730769230769; 'recall': 0.7115384615384616; 'f1-score': 0.7011322011322011; 'support': 52}}
l: 5,1,CNF,9,469,52,29,[16; 17],158,0.861058,0.673077,5,[X0 >= 66.000000 OR X3 >= 0.600000 OR X4 < 150.000000 OR X6 < 23.000000 OR X9 >= 1.060000],{'0.0': {'precision': 0.35514018691588783; 'recall': 0.2857142857142857; 'f1-score': 0.3166666666666667; 'support': 133}; '1.0': {'precision': 0.7375690607734806; 'recall': 0.7946428571428571; 'f1-score': 0.7650429799426933; 'support': 336}; 'accuracy': 0.650319829424307; 'macro avg': {'precision': 0.5463546238446843; 'recall': 0.5401785714285714; 'f1-score': 0.54085482330468; 'support': 469}; 'weighted avg': {'precision': 0.629119081619835; 'recall': 0.650319829424307; 'f1-score': 0.6378914881181484; 'support': 469}},{'0.0': {'precision': 0.375; 'recall': 0.2; 'f1-score': 0.26086956521739135; 'support': 15}; '1.0': {'precision': 0.7272727272727273; 'recall': 0.8648648648648649; 'f1-score': 0.7901234567901235; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.5511363636363636; 'recall': 0.5324324324324324; 'f1-score': 0.5254965110037575; 'support': 52}; 'weighted avg': {'precision': 0.6256555944055944; 'recall': 0.6730769230769231; 'f1-score': 0.6374540649902969; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [16, 17], 'n_partitions': 29}, (mean val acc cv) 0.685269 (+- 0.072828), (mean training time) 0.861768 (+- 0.027049)
l: 5,1,CNF,0,468,53,14,[33; 34],158,0.547415,0.735849,8,[X0 >= 66.000000 OR X0 < 35.000000 OR X2 >= 1.400000 OR X3 < 0.200000 OR X4 >= 236.800000 OR X5 >= 140.200000 OR X6 >= 54.000000 OR X9 < 0.546000],{'0.0': {'precision': 0.5256410256410257; 'recall': 0.3082706766917293; 'f1-score': 0.3886255924170616; 'support': 133}; '1.0': {'precision': 0.764102564102564; 'recall': 0.8895522388059701; 'f1-score': 0.8220689655172413; 'support': 335}; 'accuracy': 0.7243589743589743; 'macro avg': {'precision': 0.6448717948717948; 'recall': 0.5989114577488497; 'f1-score': 0.6053472789671515; 'support': 468}; 'weighted avg': {'precision': 0.6963346482577252; 'recall': 0.7243589743589743; 'f1-score': 0.6988895453840706; 'support': 468}},{'0.0': {'precision': 0.5333333333333333; 'recall': 0.5333333333333333; 'f1-score': 0.5333333333333333; 'support': 15}; '1.0': {'precision': 0.8157894736842105; 'recall': 0.8157894736842105; 'f1-score': 0.8157894736842104; 'support': 38}; 'accuracy': 0.7358490566037735; 'macro avg': {'precision': 0.6745614035087719; 'recall': 0.6745614035087719; 'f1-score': 0.6745614035087719; 'support': 53}; 'weighted avg': {'precision': 0.7358490566037735; 'recall': 0.7358490566037735; 'f1-score': 0.7358490566037735; 'support': 53}}
