l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,58,[8; 9],158,1.684230,0.754717,3,[X0 >= 49.000000 OR X2 >= 1.000000 OR X5 >= 43.000000],{'0.0': {'precision': 0.49056603773584906; 'recall': 0.39097744360902253; 'f1-score': 0.4351464435146443; 'support': 133}; '1.0': {'precision': 0.7762430939226519; 'recall': 0.8388059701492537; 'f1-score': 0.8063127690100431; 'support': 335}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6334045658292504; 'recall': 0.6148917068791382; 'f1-score': 0.6207296062623437; 'support': 468}; 'weighted avg': {'precision': 0.6950570929122998; 'recall': 0.7115384615384616; 'f1-score': 0.7008317406107096; 'support': 468}},{'0.0': {'precision': 0.5833333333333334; 'recall': 0.4666666666666667; 'f1-score': 0.5185185185185186; 'support': 15}; '1.0': {'precision': 0.8048780487804879; 'recall': 0.868421052631579; 'f1-score': 0.8354430379746836; 'support': 38}; 'accuracy': 0.7547169811320755; 'macro avg': {'precision': 0.6941056910569106; 'recall': 0.6675438596491228; 'f1-score': 0.6769807782466011; 'support': 53}; 'weighted avg': {'precision': 0.7421767142199724; 'recall': 0.7547169811320755; 'f1-score': 0.7457474192606746; 'support': 53}}
l: 5,1,CNF,0,468,53,29,[16; 17],158,0.954462,0.735849,4,[X0 >= 31.000000 OR X2 >= 1.400000 OR X4 >= 208.000000 OR X5 >= 35.000000],{'0.0': {'precision': 0.6296296296296297; 'recall': 0.12781954887218044; 'f1-score': 0.2125; 'support': 133}; '1.0': {'precision': 0.7369614512471655; 'recall': 0.9701492537313433; 'f1-score': 0.8376288659793814; 'support': 335}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.6832955404383976; 'recall': 0.5489844013017618; 'f1-score': 0.5250644329896906; 'support': 468}; 'weighted avg': {'precision': 0.7064590318558572; 'recall': 0.7307692307692307; 'f1-score': 0.6599747224425058; 'support': 468}},{'0.0': {'precision': 0.6; 'recall': 0.2; 'f1-score': 0.3; 'support': 15}; '1.0': {'precision': 0.75; 'recall': 0.9473684210526315; 'f1-score': 0.8372093023255814; 'support': 38}; 'accuracy': 0.7358490566037735; 'macro avg': {'precision': 0.675; 'recall': 0.5736842105263158; 'f1-score': 0.5686046511627907; 'support': 53}; 'weighted avg': {'precision': 0.7075471698113207; 'recall': 0.7358490566037735; 'f1-score': 0.6851689337428697; 'support': 53}}
l: 5,1,CNF,1,469,52,29,[16; 17],158,1.007674,0.673077,2,[X2 >= 2.000000 OR X4 >= 167.600000],{'0.0': {'precision': 0.5176470588235295; 'recall': 0.3283582089552239; 'f1-score': 0.4018264840182649; 'support': 134}; '1.0': {'precision': 0.765625; 'recall': 0.8776119402985074; 'f1-score': 0.8178025034770514; 'support': 335}; 'accuracy': 0.720682302771855; 'macro avg': {'precision': 0.6416360294117647; 'recall': 0.6029850746268657; 'f1-score': 0.6098144937476582; 'support': 469}; 'weighted avg': {'precision': 0.6947741596638656; 'recall': 0.720682302771855; 'f1-score': 0.6989522122031123; 'support': 469}},{'0.0': {'precision': 0.2; 'recall': 0.07142857142857142; 'f1-score': 0.10526315789473682; 'support': 14}; '1.0': {'precision': 0.723404255319149; 'recall': 0.8947368421052632; 'f1-score': 0.8; 'support': 38}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.4617021276595745; 'recall': 0.4830827067669173; 'f1-score': 0.45263157894736844; 'support': 52}; 'weighted avg': {'precision': 0.5824877250409165; 'recall': 0.6730769230769231; 'f1-score': 0.6129554655870446; 'support': 52}}
l: 5,1,CNF,2,469,52,29,[16; 17],158,0.899291,0.615385,4,[X2 >= 3.300000 OR X4 >= 208.000000 OR X4 < 182.000000 OR X7 < 5.100000],{'0.0': {'precision': 0.4935064935064935; 'recall': 0.2835820895522388; 'f1-score': 0.36018957345971564; 'support': 134}; '1.0': {'precision': 0.7551020408163265; 'recall': 0.8835820895522388; 'f1-score': 0.8143053645116919; 'support': 335}; 'accuracy': 0.7121535181236673; 'macro avg': {'precision': 0.62430426716141; 'recall': 0.5835820895522388; 'f1-score': 0.5872474689857038; 'support': 469}; 'weighted avg': {'precision': 0.6803604558706599; 'recall': 0.7121535181236673; 'f1-score': 0.6845579956396987; 'support': 469}},{'0.0': {'precision': 0.2; 'recall': 0.14285714285714285; 'f1-score': 0.16666666666666666; 'support': 14}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.7894736842105263; 'f1-score': 0.7500000000000001; 'support': 38}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.4571428571428572; 'recall': 0.46616541353383456; 'f1-score': 0.45833333333333337; 'support': 52}; 'weighted avg': {'precision': 0.5758241758241758; 'recall': 0.6153846153846154; 'f1-score': 0.592948717948718; 'support': 52}}
l: 5,1,CNF,3,469,52,29,[16; 17],158,0.902555,0.500000,3,[X0 >= 66.000000 OR X4 < 150.000000 OR X6 >= 42.000000],{'0.0': {'precision': 0.4444444444444444; 'recall': 0.5714285714285714; 'f1-score': 0.5; 'support': 133}; '1.0': {'precision': 0.8087248322147651; 'recall': 0.7172619047619048; 'f1-score': 0.7602523659305993; 'support': 336}; 'accuracy': 0.67590618336887; 'macro avg': {'precision': 0.6265846383296048; 'recall': 0.6443452380952381; 'f1-score': 0.6301261829652997; 'support': 469}; 'weighted avg': {'precision': 0.7054214386679577; 'recall': 0.67590618336887; 'f1-score': 0.686449456189086; 'support': 469}},{'0.0': {'precision': 0.28; 'recall': 0.4666666666666667; 'f1-score': 0.35000000000000003; 'support': 15}; '1.0': {'precision': 0.7037037037037037; 'recall': 0.5135135135135135; 'f1-score': 0.59375; 'support': 37}; 'accuracy': 0.5; 'macro avg': {'precision': 0.4918518518518519; 'recall': 0.4900900900900901; 'f1-score': 0.47187500000000004; 'support': 52}; 'weighted avg': {'precision': 0.5814814814814815; 'recall': 0.5; 'f1-score': 0.5234375; 'support': 52}}
l: 5,1,CNF,4,469,52,29,[16; 17],158,0.922151,0.692308,6,[X0 >= 66.000000 OR X2 >= 2.000000 OR X4 >= 208.000000 OR X4 < 150.000000 OR X5 >= 74.000000 OR X9 < 0.546000],{'0.0': {'precision': 0.556390977443609; 'recall': 0.556390977443609; 'f1-score': 0.556390977443609; 'support': 133}; '1.0': {'precision': 0.8244047619047619; 'recall': 0.8244047619047619; 'f1-score': 0.8244047619047619; 'support': 336}; 'accuracy': 0.7484008528784648; 'macro avg': {'precision': 0.6903978696741855; 'recall': 0.6903978696741855; 'f1-score': 0.6903978696741855; 'support': 469}; 'weighted avg': {'precision': 0.7484008528784648; 'recall': 0.7484008528784648; 'f1-score': 0.7484008528784648; 'support': 469}},{'0.0': {'precision': 0.46153846153846156; 'recall': 0.4; 'f1-score': 0.42857142857142855; 'support': 15}; '1.0': {'precision': 0.7692307692307693; 'recall': 0.8108108108108109; 'f1-score': 0.7894736842105263; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.6153846153846154; 'recall': 0.6054054054054054; 'f1-score': 0.6090225563909775; 'support': 52}; 'weighted avg': {'precision': 0.6804733727810651; 'recall': 0.6923076923076923; 'f1-score': 0.6853672643146328; 'support': 52}}
l: 5,1,CNF,5,469,52,29,[16; 17],158,0.906163,0.653846,4,[X2 >= 3.300000 OR X4 >= 282.000000 OR X4 < 167.600000 OR X9 < 0.900000],{'0.0': {'precision': 0.39849624060150374; 'recall': 0.39849624060150374; 'f1-score': 0.39849624060150374; 'support': 133}; '1.0': {'precision': 0.7619047619047619; 'recall': 0.7619047619047619; 'f1-score': 0.7619047619047619; 'support': 336}; 'accuracy': 0.6588486140724946; 'macro avg': {'precision': 0.5802005012531328; 'recall': 0.5802005012531328; 'f1-score': 0.5802005012531328; 'support': 469}; 'weighted avg': {'precision': 0.6588486140724946; 'recall': 0.6588486140724946; 'f1-score': 0.6588486140724946; 'support': 469}},{'0.0': {'precision': 0.42105263157894735; 'recall': 0.5333333333333333; 'f1-score': 0.47058823529411764; 'support': 15}; '1.0': {'precision': 0.7878787878787878; 'recall': 0.7027027027027027; 'f1-score': 0.7428571428571429; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.6044657097288676; 'recall': 0.618018018018018; 'f1-score': 0.6067226890756303; 'support': 52}; 'weighted avg': {'precision': 0.6820635504846031; 'recall': 0.6538461538461539; 'f1-score': 0.6643180349062702; 'support': 52}}
l: 5,1,CNF,6,469,52,29,[16; 17],158,0.998639,0.596154,3,[X2 >= 1.000000 OR X2 < 0.700000 OR X3 >= 4.100000],{'0.0': {'precision': 0.4065934065934066; 'recall': 0.556390977443609; 'f1-score': 0.46984126984126984; 'support': 133}; '1.0': {'precision': 0.794425087108014; 'recall': 0.6785714285714286; 'f1-score': 0.7319422150882826; 'support': 336}; 'accuracy': 0.6439232409381663; 'macro avg': {'precision': 0.6005092468507103; 'recall': 0.6174812030075187; 'f1-score': 0.6008917424647762; 'support': 469}; 'weighted avg': {'precision': 0.6844429687531254; 'recall': 0.6439232409381663; 'f1-score': 0.6576150813615178; 'support': 469}},{'0.0': {'precision': 0.36363636363636365; 'recall': 0.5333333333333333; 'f1-score': 0.43243243243243246; 'support': 15}; '1.0': {'precision': 0.7666666666666667; 'recall': 0.6216216216216216; 'f1-score': 0.6865671641791045; 'support': 37}; 'accuracy': 0.5961538461538461; 'macro avg': {'precision': 0.5651515151515152; 'recall': 0.5774774774774775; 'f1-score': 0.5594997983057685; 'support': 52}; 'weighted avg': {'precision': 0.6504079254079254; 'recall': 0.5961538461538461; 'f1-score': 0.6132590684829491; 'support': 52}}
l: 5,1,CNF,7,469,52,29,[16; 17],158,0.970260,0.538462,4,[X0 < 35.000000 OR X2 >= 1.400000 OR X6 >= 105.000000 OR X8 >= 3.900000],{'0.0': {'precision': 0.38686131386861317; 'recall': 0.39849624060150374; 'f1-score': 0.3925925925925926; 'support': 133}; '1.0': {'precision': 0.7590361445783133; 'recall': 0.75; 'f1-score': 0.7544910179640718; 'support': 336}; 'accuracy': 0.650319829424307; 'macro avg': {'precision': 0.5729487292234632; 'recall': 0.5742481203007519; 'f1-score': 0.5735418052783322; 'support': 469}; 'weighted avg': {'precision': 0.6534940284069057; 'recall': 0.650319829424307; 'f1-score': 0.6518631062915627; 'support': 469}},{'0.0': {'precision': 0.2; 'recall': 0.2; 'f1-score': 0.20000000000000004; 'support': 15}; '1.0': {'precision': 0.6756756756756757; 'recall': 0.6756756756756757; 'f1-score': 0.6756756756756757; 'support': 37}; 'accuracy': 0.5384615384615384; 'macro avg': {'precision': 0.4378378378378378; 'recall': 0.4378378378378378; 'f1-score': 0.43783783783783786; 'support': 52}; 'weighted avg': {'precision': 0.5384615384615384; 'recall': 0.5384615384615384; 'f1-score': 0.5384615384615384; 'support': 52}}
l: 5,1,CNF,8,469,52,29,[16; 17],158,0.971326,0.711538,5,[X2 < 0.700000 OR X4 >= 195.000000 OR X4 < 150.000000 OR X6 >= 105.000000 OR X9 < 1.060000],{'0.0': {'precision': 0.5434782608695652; 'recall': 0.18796992481203006; 'f1-score': 0.27932960893854747; 'support': 133}; '1.0': {'precision': 0.7446808510638298; 'recall': 0.9375; 'f1-score': 0.8300395256916995; 'support': 336}; 'accuracy': 0.7249466950959488; 'macro avg': {'precision': 0.6440795559666974; 'recall': 0.5627349624060151; 'f1-score': 0.5546845673151235; 'support': 469}; 'weighted avg': {'precision': 0.6876234001132174; 'recall': 0.7249466950959488; 'f1-score': 0.6738680567617011; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.13333333333333333; 'f1-score': 0.2105263157894737; 'support': 15}; '1.0': {'precision': 0.7291666666666666; 'recall': 0.9459459459459459; 'f1-score': 0.8235294117647058; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6145833333333333; 'recall': 0.5396396396396397; 'f1-score': 0.5170278637770898; 'support': 52}; 'weighted avg': {'precision': 0.6630608974358974; 'recall': 0.7115384615384616; 'f1-score': 0.6467015956180042; 'support': 52}}
l: 5,1,CNF,9,469,52,29,[16; 17],158,0.980220,0.615385,4,[X0 < 23.000000 OR X4 >= 236.800000 OR X6 < 19.000000 OR X9 < 0.700000],{'0.0': {'precision': 0.39285714285714285; 'recall': 0.5789473684210527; 'f1-score': 0.46808510638297873; 'support': 133}; '1.0': {'precision': 0.7948717948717948; 'recall': 0.6458333333333334; 'f1-score': 0.7126436781609194; 'support': 336}; 'accuracy': 0.6268656716417911; 'macro avg': {'precision': 0.5938644688644689; 'recall': 0.6123903508771931; 'f1-score': 0.590364392271949; 'support': 469}; 'weighted avg': {'precision': 0.6808676398228636; 'recall': 0.6268656716417911; 'f1-score': 0.6432912473582199; 'support': 469}},{'0.0': {'precision': 0.38095238095238093; 'recall': 0.5333333333333333; 'f1-score': 0.4444444444444444; 'support': 15}; '1.0': {'precision': 0.7741935483870968; 'recall': 0.6486486486486487; 'f1-score': 0.7058823529411764; 'support': 37}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.5775729646697388; 'recall': 0.590990990990991; 'f1-score': 0.5751633986928104; 'support': 52}; 'weighted avg': {'precision': 0.6607585962424671; 'recall': 0.6153846153846154; 'f1-score': 0.6304675716440422; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [16, 17], 'n_partitions': 29}, (mean val acc cv) 0.633200 (+- 0.071350), (mean training time) 0.951274 (+- 0.038722)
l: 5,1,CNF,0,468,53,14,[33; 34],158,0.541530,0.679245,4,[X0 >= 66.000000 OR X4 >= 236.800000 OR X4 < 150.000000 OR X7 < 5.100000],{'0.0': {'precision': 0.4153846153846154; 'recall': 0.6090225563909775; 'f1-score': 0.49390243902439024; 'support': 133}; '1.0': {'precision': 0.8095238095238095; 'recall': 0.6597014925373135; 'f1-score': 0.7269736842105264; 'support': 335}; 'accuracy': 0.6452991452991453; 'macro avg': {'precision': 0.6124542124542125; 'recall': 0.6343620244641455; 'f1-score': 0.6104380616174583; 'support': 468}; 'weighted avg': {'precision': 0.697514166744936; 'recall': 0.6452991452991453; 'f1-score': 0.6607376252153211; 'support': 468}},{'0.0': {'precision': 0.45; 'recall': 0.6; 'f1-score': 0.5142857142857143; 'support': 15}; '1.0': {'precision': 0.8181818181818182; 'recall': 0.7105263157894737; 'f1-score': 0.7605633802816901; 'support': 38}; 'accuracy': 0.6792452830188679; 'macro avg': {'precision': 0.6340909090909091; 'recall': 0.6552631578947368; 'f1-score': 0.6374245472837022; 'support': 53}; 'weighted avg': {'precision': 0.7139794168096055; 'recall': 0.6792452830188679; 'f1-score': 0.6908621540564139; 'support': 53}}
